fii_derivatives,buy_contracts,buy_value_in_Cr,sell_contracts,sell_value_in_Cr,open_contracts,open_contracts_value_in_Cr
BANKNIFTY FUTURES,2257.0,382.72,1406.0,238.69,58699.0,9960.2
FINNIFTY FUTURES,7.0,1.07,4.0,0.61,362.0,55.55
MIDCPNIFTY FUTURES,500.0,87.18,179.0,31.21,22969.0,4003.83
NIFTY FUTURES,6844.0,1039.59,6403.0,975.04,302713.0,46046.7
NIFTYFPI FUTURES,0.0,0.0,0.0,0.0,0.0,0.0
NIFTYNXT50 FUTURES,2.0,0.36,5.0,0.9,497.0,89.47
INDEX OPTIONS,5451316.0,833775.01,5419083.0,829370.24,3618073.0,559755.87
BANKNIFTY OPTIONS,322617.0,54964.42,328096.0,55892.48,521161.0,88115.87
FINNIFTY OPTIONS,10694.0,1644.97,9925.0,1526.99,13898.0,2127.23
MIDCPNIFTY OPTIONS,47502.0,8243.01,46497.0,8053.26,74032.0,12882.23
NIFTY OPTIONS,5070408.0,768905.4,5034447.0,763876.08,3008513.0,456546.73
NIFTYFPI OPTIONS,4.0,0.65,4.0,0.7,51.0,8.54
NIFTYNXT50 OPTIONS,91.0,16.55,114.0,20.71,418.0,75.27
STOCK FUTURES,246628.0,16326.1,285398.0,18523.62,6396207.0,420388.97
STOCK OPTIONS,678322.0,43195.05,670471.0,42737.81,1387113.0,91449.92
