mode,dataset,session_date,captured_ist,status,rows,source_timestamp,sha256,path,error
eod,participant_oi,2026-09-18,2026-09-20T02:05:27.195271+05:30,ok,5,,46f0e3895861dc9cf5a7381b413ab8f1f98ed228ed1aa2000ccb27fa8c560ac8,data/forward/2026-09-18/020527/participant_oi.csv,
eod,participant_volume,2026-09-18,2026-09-20T02:05:27.195271+05:30,ok,5,,e99957fdbe9eef2f4ba12f469375b607583b9f39922128f5ee772295b940dc26,data/forward/2026-09-18/020527/participant_volume.csv,
eod,fii_derivatives,2026-09-18,2026-09-20T02:05:27.195271+05:30,ok,15,,f305a2a382066bac54729d46ac190216cf499b7a787ef7155581503f7265b2ba,data/forward/2026-09-18/020527/fii_derivatives.csv,
eod,india_vix,2026-09-18,2026-09-20T02:05:27.195271+05:30,failed,0,,,,either or both from_date = 2026-09-18 00:00:00 || to_date = 2026-09-18 00:00:00 are not valid value
eod,fii_dii_cash_latest,2026-09-18,2026-09-20T02:05:27.195271+05:30,ok,2,,63cd12b099c4d8ff683e13dd1e0a50223fea3498bf4b21e2536c1842cf99e70e,data/forward/2026-09-18/020527/fii_dii_cash_latest.json,
eod,participant_oi,2026-09-18,2026-09-20T02:06:01.388322+05:30,ok,5,,46f0e3895861dc9cf5a7381b413ab8f1f98ed228ed1aa2000ccb27fa8c560ac8,data/forward/2026-09-18/020601/participant_oi.csv,
eod,participant_volume,2026-09-18,2026-09-20T02:06:01.388322+05:30,ok,5,,e99957fdbe9eef2f4ba12f469375b607583b9f39922128f5ee772295b940dc26,data/forward/2026-09-18/020601/participant_volume.csv,
eod,fii_derivatives,2026-09-18,2026-09-20T02:06:01.388322+05:30,ok,15,,f305a2a382066bac54729d46ac190216cf499b7a787ef7155581503f7265b2ba,data/forward/2026-09-18/020601/fii_derivatives.csv,
eod,india_vix,2026-09-18,2026-09-20T02:06:01.388322+05:30,ok,1,,51a29016b34a1dd78d6f90918eb8f1936fe63c8b15c6436afd86a5d34df86521,data/forward/2026-09-18/020601/india_vix.csv,
eod,fii_dii_cash_latest,2026-09-18,2026-09-20T02:06:01.388322+05:30,ok,2,,63cd12b099c4d8ff683e13dd1e0a50223fea3498bf4b21e2536c1842cf99e70e,data/forward/2026-09-18/020601/fii_dii_cash_latest.json,
