date,fii_index_future_net,fii_stock_future_net,fii_index_call_net,fii_index_put_net,fii_index_option_direction,fii_total_net,dii_index_future_net,dii_stock_future_net,dii_index_call_net,dii_index_put_net,dii_index_option_direction,dii_total_net,client_index_future_net,client_stock_future_net,client_index_call_net,client_index_put_net,client_index_option_direction,client_total_net,pro_index_future_net,pro_stock_future_net,pro_index_call_net,pro_index_put_net,pro_index_option_direction,pro_total_net
2024-09-20,359062.0,765227.0,820931.0,710915.0,110016.0,2342272.0,-49858.0,-2874775.0,2078.0,626492.0,-624414.0,-2537132.0,-251049.0,1793792.0,-1032700.0,-852706.0,-179994.0,627329.0,-58155.0,315756.0,209691.0,-484701.0,694392.0,-432469.0
2024-09-23,359805.0,772392.0,882499.0,762698.0,119801.0,2463380.0,-45580.0,-2866077.0,2078.0,488516.0,-486438.0,-2654914.0,-255142.0,1793846.0,-811070.0,-482495.0,-328575.0,1197896.0,-59083.0,299839.0,-73507.0,-768719.0,695212.0,-1006362.0
2024-09-24,338558.0,810738.0,767982.0,671661.0,96321.0,2308764.0,-45633.0,-2887316.0,2078.0,384551.0,-382473.0,-2777109.0,-242246.0,1806574.0,-530698.0,-427991.0,-102707.0,1471589.0,-50679.0,270004.0,-239362.0,-628221.0,388859.0,-1003244.0
2024-09-25,352051.0,769694.0,745020.0,666680.0,78340.0,2276075.0,-46949.0,-2889155.0,2078.0,292540.0,-290462.0,-2865641.0,-232709.0,1848670.0,-835630.0,-591810.0,-243820.0,915520.0,-72393.0,270791.0,88532.0,-367410.0,455942.0,-325954.0
2024-09-26,336047.0,884214.0,489584.0,306565.0,183019.0,2001589.0,-54625.0,-2937279.0,2078.0,197993.0,-195915.0,-2791428.0,-237001.0,1761446.0,-656457.0,-358539.0,-297918.0,634201.0,-44421.0,291619.0,164795.0,-146019.0,310814.0,155638.0
2024-09-27,361047.0,934360.0,821901.0,616799.0,205102.0,2731127.0,-54542.0,-3018045.0,2078.0,197993.0,-195915.0,-2889649.0,-249571.0,1778121.0,-640712.0,-692310.0,51598.0,330856.0,-56934.0,305564.0,-183267.0,-122482.0,-60785.0,-172334.0
2024-09-30,338427.0,821674.0,658769.0,532775.0,125994.0,2354254.0,-56516.0,-3053755.0,2078.0,182993.0,-180915.0,-2982407.0,-192402.0,1874575.0,-82428.0,-683138.0,600710.0,1126873.0,-89509.0,357506.0,-578419.0,-32630.0,-545789.0,-498720.0
2024-10-01,318137.0,800578.0,631596.0,588757.0,42839.0,2316667.0,-60299.0,-3088905.0,2078.0,182993.0,-180915.0,-3113035.0,-176401.0,1910490.0,-442641.0,-785257.0,342616.0,805802.0,-81437.0,377837.0,-191033.0,13507.0,-204540.0,-9434.0
2024-10-03,162855.0,714057.0,448802.0,514256.0,-65454.0,1753333.0,-66712.0,-3157206.0,2078.0,170187.0,-168109.0,-3249371.0,-40335.0,2002188.0,-143032.0,-848516.0,705484.0,1442103.0,-55808.0,440961.0,-307848.0,164073.0,-471921.0,53935.0
2024-10-04,82987.0,679046.0,731177.0,820201.0,-89024.0,2139888.0,-77441.0,-3192173.0,2078.0,167418.0,-165340.0,-3309199.0,31319.0,2024647.0,-460144.0,-1229323.0,769179.0,923428.0,-36865.0,488480.0,-273111.0,241704.0,-514815.0,245883.0
