ClientType,Future Index Long,Future Index Short,Option Index Call Long,Option Index Call Short,Option Index Put Long,Option Index Put Short,Future Stock Long,Future Stock Short,Option Stock Call Long,Option Stock Call Short,Option Stock Put Long,Option Stock Put Short,Total Long Contracts,Total Short Contracts,date
Client,297981.0,56561.0,3604780.0,3371765.0,3094248.0,3890845.0,3469998.0,230281.0,2885665.0,1528415.0,878682.0,1278326.0,14231354.0,10356193.0,2026-09-18
DII,40741.0,27774.0,8009.0,2390.0,57485.0,200.0,365915.0,4599506.0,5026.0,403221.0,45742.0,24956.0,522918.0,5058047.0,2026-09-18
FII,48406.0,336834.0,690977.0,959379.0,1299085.0,668632.0,3448501.0,2947706.0,231500.0,501288.0,431865.0,222460.0,6150334.0,5636299.0,2026-09-18
Pro,64601.0,30560.0,1111636.0,1081869.0,1192066.0,1083208.0,906936.0,413857.0,1033584.0,1722851.0,1128123.0,958670.0,5436946.0,5291014.0,2026-09-18
TOTAL,451729.0,451729.0,5415402.0,5415402.0,5642884.0,5642884.0,8191350.0,8191350.0,4155775.0,4155775.0,2484412.0,2484412.0,26341553.0,26341553.0,2026-09-18
Client,295116.0,56168.0,3393646.0,3103248.0,2677261.0,3389439.0,3456527.0,228245.0,2866826.0,1497481.0,855196.0,1247837.0,13544572.0,9522418.0,2026-09-17
DII,40622.0,27764.0,6939.0,2690.0,54885.0,50.0,364586.0,4617954.0,4956.0,404418.0,45751.0,24320.0,517739.0,5077196.0,2026-09-17
FII,47548.0,337589.0,645825.0,928717.0,1186632.0,573922.0,3469011.0,2929446.0,216412.0,479520.0,408857.0,213983.0,5974285.0,5463176.0,2026-09-17
Pro,68177.0,29942.0,1062451.0,1074206.0,1021913.0,977280.0,896062.0,410541.0,1013377.0,1720152.0,1118622.0,942286.0,5180602.0,5154407.0,2026-09-17
TOTAL,451463.0,451463.0,5108861.0,5108861.0,4940690.0,4940690.0,8186186.0,8186186.0,4101571.0,4101571.0,2428426.0,2428426.0,25217197.0,25217197.0,2026-09-17
