date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-08-04,Client,223904,178246,1427081,240828,4279945,3420002,4430885,3952481,1237465,362992,726994,557044,10951389,10086478
2023-08-04,DII,45952,64495,107757,1539518,0,85331,0,0,6,0,110465,0,239046,1714478
2023-08-04,FII,91419,117014,1153252,1129993,960718,1096766,710333,713229,45045,49590,64400,39074,3396790,2774043
2023-08-04,Pro,36299,37819,394643,172394,1379349,1374065,1478794,1310453,401346,510458,782003,326922,4096159,4108385
2023-08-04,TOTAL,397574,397574,3082733,3082733,6620012,5976163,6620012,5976163,1683862,923040,1683862,923040,18683384,18683384
2023-08-07,Client,233137,189572,1443672,253633,5399031,4581867,5526767,5008715,1283837,394613,760430,574131,13336157,12313248
2023-08-07,DII,45984,66195,106474,1556593,0,86942,0,0,6,0,124407,0,239406,1747195
2023-08-07,FII,85227,103970,1168380,1122689,1202455,1255001,883112,899209,46093,50151,65851,40012,3807307,3114843
2023-08-07,Pro,35052,39663,393605,179216,1685846,1730486,1877452,1746371,415133,511008,794381,341629,4771130,4978713
2023-08-07,TOTAL,399400,399400,3112131,3112131,8287332,7654296,8287332,7654296,1745069,955772,1745069,955772,22153999,22153999
2023-08-08,Client,240684,192417,1443227,263378,5060093,4307159,5267867,4810685,1334927,403256,787409,589564,12789346,11911320
2023-08-08,DII,45984,66195,106987,1555204,0,88960,0,0,6,0,133792,0,241937,1755191
2023-08-08,FII,84083,96633,1165911,1120612,1240251,1246744,895110,818748,50531,54069,72479,42352,3841589,3045934
2023-08-08,Pro,30277,45783,401141,178072,1495038,1525021,1632404,1538450,416457,517196,808241,342605,4385130,4545556
2023-08-08,TOTAL,401028,401028,3117266,3117266,7795382,7167884,7795382,7167884,1801921,974521,1801921,974521,21258001,21258001
2023-08-09,Client,240058,190187,1464063,260024,5397073,4745814,5645078,5177516,1366008,426855,809721,603382,13639871,12685908
2023-08-09,DII,46028,67190,107292,1560666,0,91110,0,0,0,0,143140,0,244430,1770996
2023-08-09,FII,78645,97252,1158994,1139864,1327080,1178039,1019013,810841,53270,55399,76985,46487,3851427,3190442
2023-08-09,Pro,30224,40326,409387,179182,1635341,1628008,1695402,1654614,429696,520477,819128,352862,4653133,4741514
2023-08-09,TOTAL,394955,394955,3139736,3139736,8359494,7642971,8359494,7642971,1848974,1002731,1848974,1002731,22388861,22388861
2023-08-10,Client,243684,194453,1484637,248176,2841883,2204056,2889287,2703337,1456284,426537,836534,618145,8657081,7489932
2023-08-10,DII,46173,67156,108837,1561794,0,90530,0,0,0,0,153064,0,245540,1782014
2023-08-10,FII,75157,108717,1158523,1204486,620288,734297,463796,440018,56768,59074,85177,49595,2704107,2351789
2023-08-10,Pro,42178,36866,431569,169110,1072275,1139918,1181362,1025446,433951,535866,872228,353737,3655757,3638749
2023-08-10,TOTAL,407192,407192,3183566,3183566,4534445,4168801,4534446,4168801,1947003,1021477,1947003,1021477,15262485,15262485
2023-08-11,Client,252280,200044,1492064,242283,5219961,3286979,5121435,3818171,1532097,434203,868236,636879,12217584,10887047
2023-08-11,DII,45202,69063,112614,1570171,0,90530,0,0,0,0,158588,0,248346,1797822
2023-08-11,FII,74213,110503,1135253,1202482,994097,949243,801190,636681,61208,62204,92537,51692,3276218,2895085
2023-08-11,Pro,46713,38798,440742,165737,1375857,1360530,1667290,1232430,438448,547343,912392,355179,4209633,4371826
2023-08-11,TOTAL,418408,418408,3180673,3180673,7589915,5687282,7589915,5687282,2031753,1043750,2031753,1043750,19951781,19951781
2023-08-14,Client,249363,186339,1487282,232630,4926823,4013056,5065862,4449426,1573244,439814,881176,635688,12689582,11451120
2023-08-14,DII,45708,69092,115875,1567088,0,87530,0,0,0,0,162696,0,249113,1798876
2023-08-14,FII,74553,116680,1139574,1222940,953587,981989,671715,658858,64330,63592,93774,55082,3277625,2819049
