date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-08-04,Client,194286,209235,349460,361684,48867699,43963340,48995628,43933570,988757,350603,968071,338262,94714145,94806450
2023-08-04,DII,113,2431,21057,32447,0,6836,0,0,0,0,8966,0,28006,43844
2023-08-04,FII,56019,40993,232482,200372,9757118,8934250,9749368,8937597,194324,90979,196832,92327,19265172,19217489
2023-08-04,Pro,155262,153021,425763,434259,71235016,65121680,71114837,65154939,1786113,919875,1795325,930868,139643709,139583249
2023-08-04,TOTAL,405680,405680,1028762,1028762,129859833,118026106,129859833,118026106,2969194,1361457,2969194,1361457,253651032,253651032
2023-08-07,Client,114325,116418,253719,249933,44918143,44605522,44894939,44499891,786901,303626,773965,289092,90982236,90824238
2023-08-07,DII,83,1751,16401,34759,0,2891,0,1280,288,0,14230,0,19663,52020
2023-08-07,FII,35796,28944,159293,136861,6944006,7432767,6875049,7460512,133350,59239,134253,60116,14764451,14695735
2023-08-07,Pro,86872,89963,312323,320183,71292878,71409514,71385039,71489011,1354489,677445,1352580,691102,145133521,145327878
2023-08-07,TOTAL,237076,237076,741736,741736,123155027,123450694,123155027,123450694,2275028,1040310,2275028,1040310,250899871,250899871
2023-08-08,Client,119269,114567,284190,294380,73282985,70961036,73206749,71005999,854233,294845,830122,301635,145796558,145753452
2023-08-08,DII,0,0,28859,26957,0,2408,0,390,0,0,9385,0,31267,36732
2023-08-08,FII,31201,25008,171276,171668,10278777,10723111,10284397,10697620,141317,66475,143007,64397,21412157,21386097
2023-08-08,Pro,80763,91658,354489,345809,127208343,124128300,127278959,124110846,1413718,738347,1426754,733635,253923960,253987661
2023-08-08,TOTAL,231233,231233,838814,838814,210770105,205814855,210770105,205814855,2409268,1099667,2409268,1099667,421163942,421163942
2023-08-09,Client,163890,162286,295916,271726,58694163,63368164,58701749,63166898,865087,316629,856318,306848,123703849,123465825
2023-08-09,DII,59,1010,31978,37135,0,3000,0,850,502,0,9856,0,35539,48851
2023-08-09,FII,37617,43674,150333,176502,8406230,10094198,8482119,10213519,140150,64277,141917,67082,18892805,19124813
2023-08-09,Pro,118488,113084,340606,333470,93132595,91646677,93049120,91730772,1401062,703072,1398710,710048,187342500,187335204
2023-08-09,TOTAL,320054,320054,818833,818833,160232988,165112039,160232988,165112039,2406801,1083978,2406801,1083978,329974693,329974693
2023-08-10,Client,197684,198324,349467,317045,111876500,117523045,111518828,117653242,925471,293973,862008,309054,231166140,230858501
2023-08-10,DII,187,8,31090,30673,0,0,0,580,360,0,10284,0,31637,41545
2023-08-10,FII,34363,49316,177848,242941,20894197,23411811,20942775,23424596,169455,76666,174149,76099,44764340,44909876
2023-08-10,Pro,173694,158280,435048,402794,230377318,230823733,230686412,230680171,1563519,790778,1612364,776264,464164090,464316285
2023-08-10,TOTAL,405928,405928,993453,993453,363148015,371758589,363148015,371758589,2658805,1161417,2658805,1161417,740126207,740126207
2023-08-11,Client,153378,150373,298765,285445,32838706,37446361,32692775,37478272,950425,335460,906314,346528,72023095,71859707
2023-08-11,DII,0,2878,36269,40869,0,0,0,0,67,0,5591,0,36336,49338
2023-08-11,FII,29262,31992,191311,212577,5938180,6451157,5901765,6432874,173522,76929,176442,75896,12860361,12831546
2023-08-11,Pro,126778,124175,369588,357042,53418399,50464940,53600745,50451312,1525709,777386,1561376,767351,106682800,106862001
2023-08-11,TOTAL,309418,309418,895933,895933,92195285,94362458,92195285,94362458,2649723,1189775,2649723,1189775,191602592,191602592
2023-08-14,Client,157672,146884,278209,273338,67319767,67205845,67642925,66969604,907264,372067,879057,365265,136240824,136277073
2023-08-14,DII,629,152,30455,24111,0,0,0,3000,881,0,4989,0,31965,32252
2023-08-14,FII,31644,37481,153971,170108,9391069,9152440,9366307,9198690,191521,85827,189636,87829,19006472,19050051
2023-08-14,Pro,134685,140113,347196,342274,122055588,109963522,121757192,110150513,1516469,788859,1542453,793659,234806319,234726204
2023-08-14,TOTAL,324630,324630,809831,809831,198766424,186321807,198766424,186321807,2616135,1246753,2616135,1246753,390085580,390085580
2023-08-16,Client,135610,133227,243247,233352,60271024,56245923,60129042,55987696,840891,292173,829899,286950,118028868,117600166
2023-08-16,DII,214,0,35517,32664,0,0,0,0,1645,0,13085,0,37376,45749
2023-08-16,FII,33715,32836,146541,163270,8824892,8810844,8897072,8813884,165493,74847,165451,75053,18056332,18147566
2023-08-16,Pro,162725,166201,304881,300900,98575149,87723540,98644951,87978727,1409444,665720,1409038,670737,188841459,189170554
2023-08-16,TOTAL,332264,332264,730186,730186,167671065,152780307,167671065,152780307,2417473,1032740,2417473,1032740,324964035,324964035
2023-08-17,Client,162646,163460,247116,220071,102087796,95470918,102165685,95953444,831527,249020,794880,261998,199049023,199559538
2023-08-17,DII,12,1,35300,34093,0,19490,0,2500,447,0,2584,0,55249,39178
2023-08-17,FII,47091,47626,149410,196365,18742606,19053411,18632299,18769331,152884,70175,158565,67155,38215577,37871341
2023-08-17,Pro,172393,171055,309091,290388,195551522,177557919,195583940,177376463,1347625,614137,1376454,604179,375552687,375402479
2023-08-17,TOTAL,382142,382142,740917,740917,316381924,292101738,316381924,292101738,2332483,933332,2332483,933332,612872536,612872536
2023-08-18,Client,148385,151249,283606,262787,30645909,30840447,30679919,30864076,1128369,371546,1114221,381072,63418262,63453324
2023-08-18,DII,30,460,27693,25089,0,10042,0,230,4729,0,5254,0,42494,31033
2023-08-18,FII,38697,27188,187445,216042,6216719,6045083,6189342,6106639,209940,87829,209934,86825,12785713,12835970
2023-08-18,Pro,115055,123270,349142,343968,45860574,42473028,45853941,42397655,1888835,839111,1902464,830589,91525745,91451887
2023-08-18,TOTAL,302167,302167,847886,847886,82723202,79368600,82723202,79368600,3231873,1298486,3231873,1298486,167772214,167772214
2023-08-21,Client,137150,134552,228396,226387,48830549,42924203,48802420,42638407,946728,322010,978315,289339,93389036,93069420
2023-08-21,DII,241,12,20787,25759,0,2000,0,460,2568,0,2180,0,25596,28411
2023-08-21,FII,33303,30502,138339,113409,6275154,5868318,6298103,5944221,174280,75476,174661,76822,12564870,12637718
2023-08-21,Pro,120869,126497,266045,288012,74980164,67796105,74985344,68007538,1593698,707819,1562118,739144,145464700,145708653
2023-08-21,TOTAL,291563,291563,653567,653567,130085867,116590626,130085867,116590626,2717274,1105305,2717274,1105305,251444202,251444202
2023-08-22,Client,85966,91201,276242,275681,58909467,57177071,58656582,57347909,1061892,342932,1070862,339222,117853570,117781457
2023-08-22,DII,801,0,53759,52615,0,1000,0,0,0,0,2909,0,55560,55524
2023-08-22,FII,20893,21498,155604,158634,7016617,6849902,7056338,6720833,173137,78103,173394,76449,14294256,14207146
2023-08-22,Pro,69410,64371,305233,303908,103355765,101654960,103568929,101614191,1669658,789610,1657522,794974,207844636,208003895
2023-08-22,TOTAL,177070,177070,790838,790838,169281849,165682933,169281849,165682933,2904687,1210645,2904687,1210645,340048022,340048022
2023-08-23,Client,157196,154895,335636,342694,61365571,49242437,61492322,48841260,1300517,436198,1322593,430845,112837555,112584609
2023-08-23,DII,1145,0,64083,69043,0,570,0,570,63,0,2441,0,65861,72054
2023-08-23,FII,41127,31514,173646,155394,9396434,8471422,9432321,8566361,226828,101463,226564,102545,18410920,18514699
2023-08-23,Pro,130142,143201,350580,356814,95261511,81215431,95098873,81521669,2023467,974292,1999277,978563,179955423,180098397
2023-08-23,TOTAL,329610,329610,923945,923945,166023516,138929860,166023516,138929860,3550875,1511953,3550875,1511953,311269759,311269759
2023-08-24,Client,190407,200024,426197,412852,123800192,114681638,123598595,115375029,1327259,456944,1316167,462446,240882637,241365113
2023-08-24,DII,911,620,117822,120402,0,0,0,0,445,0,2572,0,119178,123594
2023-08-24,FII,39610,45301,216915,225060,23715486,24029821,23638306,23848070,246645,116522,245979,112030,48364999,48114746
2023-08-24,Pro,204854,189837,443161,445781,240849791,223982664,241128568,223471024,2109205,1050776,2118836,1049766,468640451,468403812
2023-08-24,TOTAL,435782,435782,1204095,1204095,388365469,362694123,388365469,362694123,3683554,1624242,3683554,1624242,758007265,758007265
2023-08-25,Client,180297,171466,401527,401172,38812519,40298039,38689180,40424767,1306307,515460,1294789,544072,81514149,81525446
2023-08-25,DII,32,50,104370,104746,0,16133,0,13550,2981,0,4331,0,123516,122677
2023-08-25,FII,38571,53470,280516,272133,7266386,7514531,7309597,7479634,263108,134555,260869,130350,15497667,15506053
2023-08-25,Pro,157994,151908,428694,437056,59625329,56845463,59705457,56756215,2253048,1174041,2265455,1149634,120484569,120465725
2023-08-25,TOTAL,376894,376894,1215107,1215107,105704234,104674166,105704234,104674166,3825444,1824056,3825444,1824056,217619901,217619901
2023-08-28,Client,128842,125666,523923,509693,49783628,44445281,49930791,44053249,1182827,461497,1218040,426987,96525998,96264426
2023-08-28,DII,23751,22992,181424,190956,0,8600,0,1163,3904,0,2534,0,217679,217645
2023-08-28,FII,62368,54271,900230,893667,6583261,6117320,6534440,6196658,225883,105473,222636,105965,13994535,14007637
2023-08-28,Pro,117704,129736,468250,479511,78416576,72930924,78318234,73251055,1996878,890958,1966282,924976,154821290,155069794
2023-08-28,TOTAL,332665,332665,2073827,2073827,134783465,123502125,134783465,123502125,3409492,1457928,3409492,1457928,265559502,265559502
