basis,flat_threshold_pct,n,exact_accuracy_pct,majority_baseline_pct,directional_coverage_pct,directional_hit_including_flat_misses_pct,directional_nonflat_n,directional_sign_accuracy_nonflat_pct,sign_accuracy_wilson_95_low,sign_accuracy_wilson_95_high,sign_vs_50_two_sided_p
close_to_close,0.0,757,36.72,52.71,69.75,52.65,527,52.75,48.48,56.98,0.2225
close_to_close,0.1,757,35.93,45.84,69.75,45.83,460,52.61,48.04,57.13,0.2835
close_to_close,0.15,757,36.2,42.14,69.75,42.61,417,53.96,49.16,58.68,0.117
close_to_close,0.25,757,35.27,37.12,69.75,37.31,364,54.12,48.99,59.17,0.1284
close_to_close,0.5,757,35.27,55.35,69.75,25.76,240,56.67,50.34,62.78,0.0452
open_to_close,0.0,757,32.63,52.31,69.75,46.78,528,46.78,42.56,51.04,0.1509
open_to_close,0.1,757,35.01,43.73,69.75,40.91,460,46.96,42.44,51.52,0.208
open_to_close,0.15,757,33.42,38.71,69.75,36.36,411,46.72,41.94,51.55,0.1996
open_to_close,0.25,757,33.95,36.2,69.75,31.63,344,48.55,43.31,53.81,0.6276
open_to_close,0.5,757,32.76,64.33,69.75,18.18,193,49.74,42.76,56.73,1.0
gap,0.0,757,41.22,59.84,69.75,59.09,528,59.09,54.85,63.2,0.0
gap,0.1,757,39.76,46.9,69.75,46.02,406,59.85,55.01,64.51,0.0001
gap,0.15,757,38.84,40.03,69.75,40.34,340,62.65,57.39,67.62,0.0
gap,0.25,757,35.93,52.84,69.75,29.73,243,64.61,58.41,70.35,0.0
gap,0.5,757,32.63,81.37,69.75,12.31,94,69.15,59.21,77.58,0.0003
