version,period,return_basis,samples,forced_exact_hits,forced_exact_accuracy_pct,majority_baseline_pct,directional_calls,directional_coverage_pct,directional_hits_including_flat_misses,directional_hit_rate_including_flat_misses_pct,nonflat_directional_samples,nonflat_sign_hits,nonflat_sign_accuracy_pct,nonflat_sign_ci95_low_pct,nonflat_sign_ci95_high_pct,nonflat_sign_p_two_sided,trigger_eligible_calls,trigger_eligible_coverage_pct,trigger_eligible_hits_including_flat_misses,trigger_eligible_hit_rate_including_flat_misses_pct,trigger_eligible_nonflat_samples,trigger_eligible_nonflat_sign_hits,trigger_eligible_nonflat_sign_accuracy_pct,trigger_eligible_nonflat_ci95_low_pct,trigger_eligible_nonflat_ci95_high_pct
v1,full,close_to_close,757,274,36.2,42.14,528,69.75,225,42.61,417,225,53.96,49.16,58.68,0.116997,528,69.75,225,42.61,417,225,53.96,49.16,58.68
v1,full,overnight_gap,757,294,38.84,40.03,528,69.75,213,40.34,340,213,62.65,57.39,67.62,4e-06,528,69.75,213,40.34,340,213,62.65,57.39,67.62
v1,full,next_open_to_close,757,253,33.42,38.71,528,69.75,192,36.36,411,192,46.72,41.94,51.55,0.199614,528,69.75,192,36.36,411,192,46.72,41.94,51.55
v1,2023-2024 development,close_to_close,342,123,35.96,45.32,248,72.51,103,41.53,190,103,54.21,47.11,61.14,0.276463,248,72.51,103,41.53,190,103,54.21,47.11,61.14
v1,2023-2024 development,overnight_gap,342,141,41.23,45.32,248,72.51,109,43.95,165,109,66.06,58.54,72.85,4.5e-05,248,72.51,109,43.95,165,109,66.06,58.54,72.85
v1,2023-2024 development,next_open_to_close,342,113,33.04,36.84,248,72.51,84,33.87,184,84,45.65,38.62,52.86,0.26876,248,72.51,84,33.87,184,84,45.65,38.62,52.86
v1,2025 validation,close_to_close,248,94,37.9,39.92,169,68.15,76,44.97,136,76,55.88,47.49,63.95,0.198181,169,68.15,76,44.97,136,76,55.88,47.49,63.95
v1,2025 validation,overnight_gap,248,88,35.48,43.15,169,68.15,54,31.95,96,54,56.25,46.28,65.74,0.261469,169,68.15,54,31.95,96,54,56.25,46.28,65.74
v1,2025 validation,next_open_to_close,248,87,35.08,41.94,169,68.15,72,42.6,139,72,51.8,43.56,59.94,0.734539,169,68.15,72,42.6,139,72,51.8,43.56,59.94
v1,2026 confirmation,close_to_close,167,57,34.13,42.51,111,66.47,46,41.44,91,46,50.55,40.46,60.59,1.0,111,66.47,46,41.44,91,46,50.55,40.46,60.59
v1,2026 confirmation,overnight_gap,167,65,38.92,37.13,111,66.47,50,45.05,79,50,63.29,52.28,73.07,0.02382,111,66.47,50,45.05,79,50,63.29,52.28,73.07
v1,2026 confirmation,next_open_to_close,167,53,31.74,38.32,111,66.47,36,32.43,88,36,40.91,31.23,51.35,0.109295,111,66.47,36,32.43,88,36,40.91,31.23,51.35
v2,full,close_to_close,757,287,37.91,42.14,549,72.52,240,43.72,436,240,55.05,50.35,59.65,0.039341,517,68.3,227,43.91,411,227,55.23,50.4,59.97
v2,full,overnight_gap,757,297,39.23,40.03,549,72.52,222,40.44,355,222,62.54,57.39,67.41,3e-06,517,68.3,209,40.43,333,209,62.76,57.45,67.78
v2,full,next_open_to_close,757,264,34.87,38.71,549,72.52,210,38.25,425,210,49.41,44.69,54.15,0.846182,517,68.3,198,38.3,400,198,49.5,44.63,54.38
v2,2023-2024 development,close_to_close,342,130,38.01,45.32,248,72.51,108,43.55,192,108,56.25,49.18,63.08,0.096684,229,66.96,101,44.1,178,101,56.74,49.4,63.8
v2,2023-2024 development,overnight_gap,342,148,43.27,45.32,248,72.51,113,45.56,168,113,67.26,59.85,73.9,9e-06,229,66.96,104,45.41,155,104,67.1,59.36,74.0
v2,2023-2024 development,next_open_to_close,342,116,33.92,36.84,248,72.51,88,35.48,183,88,48.09,40.96,55.29,0.657499,229,66.96,82,35.81,169,82,48.52,41.1,56.0
v2,2025 validation,close_to_close,248,94,37.9,39.92,180,72.58,79,43.89,144,79,54.86,46.71,62.76,0.278615,171,68.95,75,43.86,136,75,55.15,46.76,63.25
v2,2025 validation,overnight_gap,248,84,33.87,43.15,180,72.58,57,31.67,100,57,57.0,47.22,66.27,0.193348,171,68.95,54,31.58,94,54,57.45,47.35,66.96
v2,2025 validation,next_open_to_close,248,88,35.48,41.94,180,72.58,77,42.78,146,77,52.74,44.68,60.66,0.562521,171,68.95,73,42.69,139,73,52.52,44.26,60.64
v2,2026 confirmation,close_to_close,167,63,37.72,42.51,121,72.46,53,43.8,100,53,53.0,43.29,62.49,0.617299,117,70.06,51,43.59,97,51,52.58,42.73,62.23
v2,2026 confirmation,overnight_gap,167,65,38.92,37.13,121,72.46,52,42.98,87,52,59.77,49.26,69.45,0.085689,117,70.06,51,43.59,84,51,60.71,50.02,70.47
v2,2026 confirmation,next_open_to_close,167,60,35.93,38.32,121,72.46,45,37.19,96,45,46.88,37.21,56.78,0.610068,117,70.06,43,36.75,92,43,46.74,36.88,56.86
