period,minimum_setup_strength,trigger_eligible_calls,coverage_pct,nonflat_samples,nonflat_sign_hits,nonflat_sign_accuracy_pct,ci95_low_pct,ci95_high_pct
full,0,517,68.3,411,227,55.23,50.4,59.97
full,20,517,68.3,411,227,55.23,50.4,59.97
full,40,376,49.67,298,167,56.04,50.36,61.56
full,60,256,33.82,208,116,55.77,48.98,62.35
full,80,150,19.82,125,71,56.8,48.04,65.15
2023-2024 development,0,229,66.96,178,101,56.74,49.4,63.8
2023-2024 development,20,229,66.96,178,101,56.74,49.4,63.8
2023-2024 development,40,164,47.95,125,73,58.4,49.64,66.66
2023-2024 development,60,112,32.75,88,53,60.23,49.78,69.82
2023-2024 development,80,64,18.71,51,31,60.78,47.09,72.97
2025 validation,0,171,68.95,136,75,55.15,46.76,63.25
2025 validation,20,171,68.95,136,75,55.15,46.76,63.25
2025 validation,40,120,48.39,98,56,57.14,47.26,66.49
2025 validation,60,76,30.65,64,36,56.25,44.09,67.71
2025 validation,80,42,16.94,37,22,59.46,43.49,73.65
2026 confirmation,0,117,70.06,97,51,52.58,42.73,62.23
2026 confirmation,20,117,70.06,97,51,52.58,42.73,62.23
2026 confirmation,40,92,55.09,75,38,50.67,39.6,61.67
2026 confirmation,60,68,40.72,56,27,48.21,35.67,60.99
2026 confirmation,80,44,26.35,37,18,48.65,33.45,64.11
