basis,period,n,exact_pct,majority_baseline_pct,dir_coverage_pct,dir_hit_incl_flat_pct,nonflat_sign_pct,nonflat_sign_n,wilson,version
close_to_close,2023-2024 development,342,35.96,45.32,72.51,41.53,54.21,190,"[47.11, 61.14]",v1
close_to_close,2023-2024 development,342,38.01,45.32,72.51,43.55,56.25,192,"[49.18, 63.08]",v2
close_to_close,2023-2024 development,342,45.03,45.32,100.0,45.03,58.33,264,"[52.31, 64.12]",v3
close_to_close,2025 validation,248,37.9,39.92,68.15,44.97,55.88,136,"[47.49, 63.95]",v1
close_to_close,2025 validation,248,37.9,39.92,72.58,43.89,54.86,144,"[46.71, 62.76]",v2
close_to_close,2025 validation,248,43.95,39.92,100.0,43.95,55.33,197,"[48.35, 62.1]",v3
close_to_close,2026 confirmation,167,34.13,42.51,66.47,41.44,50.55,91,"[40.46, 60.59]",v1
close_to_close,2026 confirmation,167,37.72,42.51,72.46,43.8,53.0,100,"[43.29, 62.49]",v2
close_to_close,2026 confirmation,167,46.71,42.51,100.0,46.71,57.35,136,"[48.95, 65.35]",v3
close_to_close,full,757,36.2,42.14,69.75,42.61,53.96,417,"[49.16, 58.68]",v1
close_to_close,full,757,37.91,42.14,72.52,43.72,55.05,436,"[50.35, 59.65]",v2
close_to_close,full,757,45.05,42.14,100.0,45.05,57.12,597,"[53.12, 61.03]",v3
overnight_gap,2023-2024 development,342,41.23,45.32,72.51,43.95,66.06,165,"[58.54, 72.85]",v1
overnight_gap,2023-2024 development,342,43.27,45.32,72.51,45.56,67.26,168,"[59.85, 73.9]",v2
overnight_gap,2023-2024 development,342,40.64,45.32,100.0,40.64,61.23,227,"[54.76, 67.33]",v3
overnight_gap,2025 validation,248,35.48,43.15,68.15,31.95,56.25,96,"[46.28, 65.74]",v1
overnight_gap,2025 validation,248,33.87,43.15,72.58,31.67,57.0,100,"[47.22, 66.27]",v2
overnight_gap,2025 validation,248,32.26,43.15,100.0,32.26,56.74,141,"[48.49, 64.63]",v3
overnight_gap,2026 confirmation,167,38.92,37.13,66.47,45.05,63.29,79,"[52.28, 73.07]",v1
overnight_gap,2026 confirmation,167,38.92,37.13,72.46,42.98,59.77,87,"[49.26, 69.45]",v2
overnight_gap,2026 confirmation,167,43.11,37.13,100.0,43.11,60.0,120,"[51.06, 68.32]",v3
overnight_gap,full,757,38.84,40.03,69.75,40.34,62.65,340,"[57.39, 67.62]",v1
overnight_gap,full,757,39.23,40.03,72.52,40.44,62.54,355,"[57.39, 67.41]",v2
overnight_gap,full,757,38.44,40.03,100.0,38.44,59.63,488,"[55.22, 63.89]",v3
next_open_to_close,2023-2024 development,342,33.04,36.84,72.51,33.87,45.65,184,"[38.62, 52.86]",v1
next_open_to_close,2023-2024 development,342,33.92,36.84,72.51,35.48,48.09,183,"[40.96, 55.29]",v2
next_open_to_close,2023-2024 development,342,38.6,36.84,100.0,38.6,53.01,249,"[46.81, 59.12]",v3
next_open_to_close,2025 validation,248,35.08,41.94,68.15,42.6,51.8,139,"[43.56, 59.94]",v1
next_open_to_close,2025 validation,248,35.48,41.94,72.58,42.78,52.74,146,"[44.68, 60.66]",v2
next_open_to_close,2025 validation,248,41.94,41.94,100.0,41.94,51.23,203,"[44.4, 58.02]",v3
next_open_to_close,2026 confirmation,167,31.74,38.32,66.47,32.43,40.91,88,"[31.23, 51.35]",v1
next_open_to_close,2026 confirmation,167,35.93,38.32,72.46,37.19,46.88,96,"[37.21, 56.78]",v2
next_open_to_close,2026 confirmation,167,36.53,38.32,100.0,36.53,48.03,127,"[39.53, 56.65]",v3
next_open_to_close,full,757,33.42,38.71,69.75,36.36,46.72,411,"[41.94, 51.55]",v1
next_open_to_close,full,757,34.87,38.71,72.52,38.25,49.41,425,"[44.69, 54.15]",v2
next_open_to_close,full,757,39.23,38.71,100.0,39.23,51.3,579,"[47.23, 55.34]",v3
