variant,model,features,mean_accuracy,mean_balanced,std_balanced,selection_score
multi_top120,rf,120,0.518,0.522803994448778,0.016921380665512437,0.5185736492823999
structure_all,hist,52,0.516,0.5166490101213159,0.00879241720250602,0.5144509058206894
core_all,logit,25,0.51,0.5157460084829742,0.03218799650848707,0.5076990093558524
multi_top120,logit,120,0.499,0.5089897165863111,0.007386871798870862,0.5071429986365934
nifty_top30,hist,30,0.511,0.5147494002296031,0.0310840187081081,0.5069783955525761
nifty_top60,extra,59,0.508,0.5115706818817634,0.020277298857449905,0.5065013571674009
nifty_top100,extra,59,0.508,0.5115706818817634,0.020277298857449905,0.5065013571674009
nifty_top30,rf,30,0.515,0.5171791978688498,0.043182598570019604,0.5063835482263449
multi_top40,hist,40,0.507,0.5124333770283385,0.027324298920919567,0.5056023022981085
multi_top80,hist,80,0.503,0.5059529797281416,0.009391064868779388,0.5036052135109467
multi_top80,rf,80,0.5,0.5063892622519186,0.011233115501403632,0.5035809833765676
core_all,rf,25,0.508,0.5088047229609444,0.029182583259387527,0.5015090771460975
nifty_top60,hist,59,0.503,0.5078779186788945,0.02568817971149736,0.5014558737510202
nifty_top100,hist,59,0.503,0.5078779186788945,0.02568817971149736,0.5014558737510202
nifty_top60,logit,59,0.494,0.5042452751681591,0.012043928641013233,0.5012342930079058
nifty_top100,logit,59,0.494,0.5042452751681591,0.012043928641013233,0.5012342930079058
structure_all,rf,52,0.508,0.5075893022826714,0.02928865515632255,0.5002671384935907
nifty_top60,rf,59,0.502,0.5066091065994085,0.026093745343090335,0.5000856702636359
nifty_top100,rf,59,0.502,0.5066091065994085,0.026093745343090335,0.5000856702636359
multi_top40,logit,40,0.501,0.5098992465845636,0.039852522359209094,0.4999361159947614
multi_top40,rf,40,0.495,0.5031577267405158,0.013775971865372607,0.49971373377417266
multi_top80,logit,80,0.49,0.5017103010701124,0.008344820217825202,0.4996240960156561
structure_all,extra,52,0.501,0.5009767270071187,0.007395019363590907,0.49912797216622096
multi_top120,hist,120,0.504,0.5039628482855171,0.022518867025314006,0.49833313152918857
multi_top120,extra,120,0.496,0.49941826644155674,0.02039898452433551,0.49431852031047285
structure_all,logit,52,0.495,0.5000550658748628,0.028616213622291584,0.4929010124692899
multi_top40,extra,40,0.493,0.49981316385418534,0.02993259134945307,0.4923300160168221
core_all,hist,25,0.492,0.49518859546127447,0.01908842619891033,0.4904164889115469
core_all,extra,25,0.495,0.49501576291961474,0.028325802674532732,0.48793431225098155
nifty_top30,extra,30,0.491,0.49281360752938363,0.025597547583261184,0.4864142206335683
multi_top80,extra,80,0.481,0.4863682334121056,0.014290508199902026,0.4827956063621301
nifty_top30,logit,30,0.46900000000000003,0.4801136972139398,0.040377598481050714,0.4700192975936771
