features,model,columns,cv_accuracy,cv_balanced,cv_std,selection_score
price_plus_derivatives,logit,89,0.5888888888888889,0.5888723544973544,0.045926188561031235,0.5659092602168388
full,logit,181,0.5944444444444444,0.5705191798941799,0.03710543659224559,0.5519664615980571
full,rf,181,0.5388888888888889,0.5271990740740741,0.00830596070278201,0.5230460937226831
price,logit,49,0.5,0.5270337301587301,0.010940845734182943,0.5215633072916387
participant,extra,92,0.5277777777777778,0.5226521164021164,0.004056826767984585,0.5206237030181241
option_futures,extra,40,0.5333333333333333,0.5295965608465608,0.01853475053914192,0.5203291855769898
full,extra,181,0.5388888888888889,0.5297619047619048,0.025602158532864957,0.5169608254954723
derivatives_participant,extra,132,0.5333333333333333,0.5203373015873015,0.010940845734182886,0.5148668787202101
participant,rf,92,0.5333333333333333,0.527364417989418,0.030398783486349543,0.5121650262462433
derivatives_participant,logit,132,0.5666666666666667,0.5391865079365079,0.05594503673797617,0.5112139895675198
option_futures,logit,40,0.5388888888888889,0.5286044973544973,0.036455427513805136,0.5103767835975948
price_plus_derivatives,rf,89,0.5388888888888889,0.5353835978835979,0.0515691476587585,0.5095990240542186
participant,logit,92,0.5611111111111112,0.5358796296296297,0.05977176822393659,0.5059937455176614
option_futures,hist,40,0.5111111111111112,0.5083498677248677,0.0047764076804412406,0.505961663884647
price,extra,49,0.5444444444444444,0.5433201058201059,0.08003841082146194,0.5033009004093749
derivatives_participant,rf,132,0.5166666666666667,0.5059523809523809,0.005567942539842204,0.5031684096824598
derivatives_participant,hist,132,0.5388888888888889,0.5174437830687831,0.032720762941738264,0.501083401597914
price_plus_derivatives,extra,89,0.5333333333333333,0.533316798941799,0.06549069821503735,0.5005714498342803
price,rf,49,0.5444444444444444,0.5405092592592592,0.09429482457830789,0.49336184697010527
price_plus_derivatives,hist,89,0.5444444444444444,0.541005291005291,0.10855907824170156,0.4867257518844403
participant,hist,92,0.5111111111111111,0.4973544973544974,0.02336298407242414,0.48567300531828533
price,hist,49,0.5333333333333333,0.5237268518518519,0.08395263014541378,0.481750536779145
full,hist,181,0.5111111111111111,0.498015873015873,0.06206544571276611,0.46698315015949
option_futures,rf,40,0.4833333333333334,0.476603835978836,0.033858986330889955,0.45967434281339103
