signal_date,previous_oi_date,target_date,method_version,prediction_raw,predicted_class,actual_class,exact_hit,direction_hit,bias,composite,confidence,actionability,setup_strength,smart_money_conflict,signal_close,target_open,target_high,target_low,target_close,gap_pct,intraday_return_pct,actual_return_pct,option_chain_available,support_level,support_tested,support_held,resistance_level,resistance_tested,resistance_held,level_tests,level_hits,vix_close,abs_return_pct,period,vix_regime,above_typical_move,below_typical_move
2023-08-08,2023-08-07,2023-08-09,v2,RANGE,FLAT,UP,False,,NEUTRAL,-0.055,12.2,NO_DIRECTIONAL_EDGE,12.2,False,19570.85,19578.8,19645.5,19467.5,19632.55,0.040622,0.274532,0.315265,False,,,,,,,0,0,11.33,0.315265,development,QUIET,False,True
2023-08-09,2023-08-08,2023-08-10,v2,SIDEWAYS-UP,UP,DOWN,False,False,BULLISH,0.14,31.1,CONDITIONAL_BULLISH_SETUP,31.1,False,19632.55,19605.55,19623.6,19495.4,19543.1,-0.137527,-0.318532,-0.455621,False,,,,,,,0,0,11.14,0.455621,development,QUIET,True,False
2023-08-10,2023-08-09,2023-08-11,v2,SIDEWAYS-DOWN,DOWN,DOWN,True,True,BEARISH,-0.23,51.0,CONDITIONAL_BEARISH_SETUP,51.0,False,19543.1,19554.25,19557.75,19412.75,19428.3,0.057053,-0.644106,-0.58742,False,,,,,,,0,0,11.4,0.58742,development,QUIET,True,False
2023-08-11,2023-08-10,2023-08-14,v2,SIDEWAYS-DOWN,DOWN,FLAT,False,False,BEARISH,-0.239,53.0,CONDITIONAL_BEARISH_SETUP,53.0,False,19428.3,19383.95,19465.85,19257.9,19434.55,-0.228275,0.261041,0.03217,False,,,,,,,0,0,11.52,0.03217,development,QUIET,False,True
2023-08-14,2023-08-11,2023-08-16,v2,SIDEWAYS-UP,UP,UP,True,True,BULLISH,0.188,41.8,CONDITIONAL_BULLISH_SETUP,41.8,False,19434.55,19369.0,19482.75,19317.2,19465.0,-0.337286,0.495637,0.15668,False,,,,,,,0,0,12.0,0.15668,development,QUIET,False,True
2023-08-16,2023-08-14,2023-08-17,v2,RANGE,FLAT,DOWN,False,,NEUTRAL,0.03,6.7,NO_DIRECTIONAL_EDGE,6.7,False,19465.0,19450.55,19461.55,19326.25,19365.25,-0.074236,-0.438548,-0.512458,False,,,,,,,0,0,12.13,0.512458,development,QUIET,True,False
2023-08-17,2023-08-16,2023-08-18,v2,SIDEWAYS-DOWN,DOWN,DOWN,True,True,BEARISH,-0.106,23.5,CONDITIONAL_BEARISH_SETUP,23.5,False,19365.25,19301.75,19373.8,19253.6,19310.15,-0.327907,0.043519,-0.28453,False,,,,,,,0,0,12.24,0.28453,development,NORMAL,False,True
2023-08-18,2023-08-17,2023-08-21,v2,RANGE,FLAT,UP,False,,NEUTRAL,-0.05,11.1,WAIT_FOR_REVERSAL_CONFIRMATION,11.1,True,19310.15,19320.65,19425.95,19296.3,19393.6,0.054376,0.377575,0.432156,False,,,,,,,0,0,12.14,0.432156,development,QUIET,True,False
2023-08-21,2023-08-18,2023-08-22,v2,SIDEWAYS-UP,UP,FLAT,False,False,BULLISH,0.299,66.4,CONDITIONAL_BULLISH_SETUP,66.4,False,19393.6,19417.1,19443.5,19381.3,19396.45,0.121174,-0.10635,0.014696,False,,,,,,,0,0,11.96,0.014696,development,QUIET,False,True
2023-08-22,2023-08-21,2023-08-23,v2,SIDEWAYS-DOWN,DOWN,UP,False,False,BEARISH,-0.166,36.9,CONDITIONAL_BEARISH_SETUP,36.9,False,19396.45,19439.2,19472.05,19366.6,19444.0,0.220401,0.024692,0.245148,False,,,,,,,0,0,11.75,0.245148,development,QUIET,False,True
