period,vix_regime,observations,v2_exact_3class_accuracy_pct,v2_directional_coverage_pct,mean_next_abs_return_pct
development,QUIET,86,39.53,68.6,0.49
development,NORMAL,169,37.28,72.78,0.53
development,ELEVATED,87,37.93,75.86,0.72
validation_2025,QUIET,102,39.22,80.39,0.42
validation_2025,NORMAL,78,38.46,71.79,0.62
validation_2025,ELEVATED,68,35.29,61.76,0.67
confirmation_2026,QUIET,42,40.48,73.81,0.47
confirmation_2026,NORMAL,56,41.07,73.21,0.56
confirmation_2026,ELEVATED,69,33.33,71.01,0.95
all,QUIET,230,39.57,74.78,0.46
all,NORMAL,303,38.28,72.61,0.56
all,ELEVATED,224,35.71,70.09,0.78
