policy,signals,coverage,oof_accuracy,fold_min,fold_std,stable,score
all,1000,1.0,0.514,0.484,0.03206243908376282,True,0.4871148239397792
bull,894,0.894,0.5134228187919463,0.4780701754385965,0.034626970550929316,True,0.4849698465050799
bull_lowvol,501,0.501,0.5189620758483033,0.42857142857142855,0.054608411349402794,False,0.4807117575554539
above20,652,0.652,0.5138036809815951,0.47333333333333333,0.050499544160038275,True,0.4801965054911818
lowvol,522,0.522,0.5172413793103449,0.42424242424242425,0.056019206920695494,False,0.47969528456547195
predict_down,615,0.615,0.510569105691057,0.45698924731182794,0.036130109961306694,True,0.4764529970560871
predict_up,385,0.385,0.5194805194805194,0.4491525423728814,0.046908261909706456,False,0.4763236718815339
highvol,478,0.478,0.5104602510460251,0.4230769230769231,0.05063190297957911,False,0.4714900539658581
below20,348,0.348,0.514367816091954,0.453125,0.04479772245884827,True,0.46914390687542623
bull_highvol,393,0.393,0.5063613231552163,0.3902439024390244,0.0712027810020302,False,0.4629626044034493
confidence_0.55,448,0.448,0.4955357142857143,0.4827586206896552,0.01842604126705149,True,0.45638551895471685
bear_highvol,85,0.085,0.5294117647058824,0.527027027027027,0.0,False,0.4410897623275279
bear,106,0.106,0.5188679245283019,0.5119047619047619,0.016774891774891776,False,0.4392985855649109
confidence_0.60,119,0.119,0.4957983193277311,0.4166666666666667,0.053792084936635044,False,0.4199460550368622
confidence_0.65,11,0.011,0.6363636363636364,,,False,-0.6053277098851789
bear_lowvol,21,0.021,0.47619047619047616,,,False,-0.6894117105386139
