rule,date,year,gap_pct,direction,entry,target_prev_close,target_distance_pts,stop_multiplier,level_touch,trade_win_conservative,ambiguous_same_minute_counted_loss,exit_timestamp
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-06,2017,-0.09560435999092963,UP,9248.05,9256.9,8.850000000000364,1.0,True,False,False,2017-04-06 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-06,2017,-0.09560435999092963,UP,9248.05,9256.9,8.850000000000364,2.0,True,False,False,2017-04-06 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-06,2017,-0.09560435999092963,UP,9248.05,9256.9,8.850000000000364,3.0,True,False,False,2017-04-06 10:40:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-11,2017,0.07104757027115347,DOWN,9183.47,9176.95,6.519999999998618,1.0,True,False,True,2017-04-11 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-11,2017,0.07104757027115347,DOWN,9183.47,9176.95,6.519999999998618,2.0,True,True,False,2017-04-11 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-11,2017,0.07104757027115347,DOWN,9183.47,9176.95,6.519999999998618,3.0,True,True,False,2017-04-11 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-12,2017,0.08099094807050504,DOWN,9243.08,9235.6,7.479999999999563,1.0,True,True,False,2017-04-12 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-12,2017,0.08099094807050504,DOWN,9243.08,9235.6,7.479999999999563,2.0,True,True,False,2017-04-12 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-12,2017,0.08099094807050504,DOWN,9243.08,9235.6,7.479999999999563,3.0,True,True,False,2017-04-12 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-13,2017,0.06575407974175788,DOWN,9207.0,9200.95,6.049999999999272,1.0,True,True,False,2017-04-13 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-13,2017,0.06575407974175788,DOWN,9207.0,9200.95,6.049999999999272,2.0,True,True,False,2017-04-13 09:15:00
abs_gap_0.02_0.10_both_fill_prev_close,2017-04-13,2017,0.06575407974175788,DOWN,9207.0,9200.95,6.049999999999272,3.0,True,True,False,2017-04-13 09:15:00
