band,entry_minute,filter,stop_multiplier,calls,train_2017_2023_calls,val_2024_2025_calls,confirm_2026_calls,win_rate,train_2017_2023_win_rate,val_2024_2025_win_rate,confirm_2026_win_rate,avg_pnl_pts,train_2017_2023_avg_pnl_pts,val_2024_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts,mean_target_distance_pts,ambiguous_rate
0.03-0.12,5,after_favourable_0.02pct,4.0,10,5,4,1,100.0,100.0,100.0,100.0,8.01498999999967,6.159979999999632,9.699999999999818,10.549999999999272,8.01498999999967,0.0
0.03-0.12,5,after_favourable_0.02pct,5.0,10,5,4,1,100.0,100.0,100.0,100.0,8.01498999999967,6.159979999999632,9.699999999999818,10.549999999999272,8.01498999999967,0.0
0.02-0.10,5,after_favourable_0.02pct,1.5,3,1,1,1,100.0,100.0,100.0,100.0,9.43333333333309,5.5,12.25,10.549999999999272,9.43333333333309,0.0
0.02-0.10,5,after_favourable_0.02pct,2.0,3,1,1,1,100.0,100.0,100.0,100.0,9.43333333333309,5.5,12.25,10.549999999999272,9.43333333333309,0.0
0.02-0.10,5,after_favourable_0.02pct,2.5,3,1,1,1,100.0,100.0,100.0,100.0,9.43333333333309,5.5,12.25,10.549999999999272,9.43333333333309,0.0
0.02-0.10,5,after_favourable_0.02pct,3.0,3,1,1,1,100.0,100.0,100.0,100.0,9.43333333333309,5.5,12.25,10.549999999999272,9.43333333333309,0.0
0.02-0.10,5,after_favourable_0.02pct,4.0,3,1,1,1,100.0,100.0,100.0,100.0,9.43333333333309,5.5,12.25,10.549999999999272,9.43333333333309,0.0
0.02-0.10,5,after_favourable_0.02pct,5.0,3,1,1,1,100.0,100.0,100.0,100.0,9.43333333333309,5.5,12.25,10.549999999999272,9.43333333333309,0.0
0.05-0.15,1,after_favourable_0.02pct,5.0,33,21,11,1,96.96969696969697,95.23809523809523,100.0,100.0,10.098472727272593,6.864266666666351,14.295454545454875,31.849999999998545,11.098472727272593,0.0
0.05-0.15,1,toward_target,5.0,48,28,18,2,91.66666666666666,85.71428571428571,100.0,100.0,6.964535416666156,-1.6679392857150301,17.70833333333313,31.125,13.680210416666531,0.0
0.05-0.15,1,toward_target,3.0,48,28,18,2,85.41666666666666,78.57142857142857,94.44444444444444,100.0,6.8635187499993435,-1.2553964285721122,16.797222222221535,31.125,13.680210416666531,2.083333333333333
