band,entry_minute,filter,stop_multiplier,calls,train_2017_2023_calls,val_2024_2025_calls,confirm_2026_calls,win_rate,train_2017_2023_win_rate,val_2024_2025_win_rate,confirm_2026_win_rate,avg_pnl_pts,train_2017_2023_avg_pnl_pts,val_2024_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts,mean_target_distance_pts,ambiguous_rate
0.03-0.12,0,none,5.0,393,257,104,32,82.69720101781171,80.1556420233463,90.38461538461539,78.125,1.9374109573792286,-0.46556964980524473,10.705326021634741,-7.259375000000887,12.992941014630949,2.2900763358778624
0.03-0.12,0,not_away_more_than_0.03pct,5.0,393,257,104,32,82.69720101781171,80.1556420233463,90.38461538461539,78.125,1.9374109573792286,-0.46556964980524473,10.705326021634741,-7.259375000000887,12.992941014630949,2.2900763358778624
0.03-0.12,0,none,4.0,393,257,104,32,77.60814249363868,73.54085603112841,87.5,78.125,1.2433414201654387,-1.821291439688606,10.110625751202056,-2.962500000000773,12.992941014630949,3.5623409669211195
0.03-0.12,0,not_away_more_than_0.03pct,4.0,393,257,104,32,77.60814249363868,73.54085603112841,87.5,78.125,1.2433414201654387,-1.821291439688606,10.110625751202056,-2.962500000000773,12.992941014630949,3.5623409669211195
0.02-0.10,0,none,5.0,351,231,93,27,79.2022792022792,78.35497835497836,81.72043010752688,77.77777777777779,0.5445732727920174,0.0623203463204987,4.082787298386941,-7.516666666667502,10.222219017093963,4.273504273504273
0.02-0.10,0,not_away_more_than_0.03pct,5.0,351,231,93,27,79.2022792022792,78.35497835497836,81.72043010752688,77.77777777777779,0.5445732727920174,0.0623203463204987,4.082787298386941,-7.516666666667502,10.222219017093963,4.273504273504273
0.02-0.10,0,none,4.0,351,231,93,27,72.93447293447294,70.56277056277057,77.41935483870968,77.77777777777779,-0.6730883725072362,-1.954782683982715,3.308610551075128,-3.42222222222295,10.222219017093963,6.552706552706552
0.02-0.10,0,not_away_more_than_0.03pct,4.0,351,231,93,27,72.93447293447294,70.56277056277057,77.41935483870968,77.77777777777779,-0.6730883725072362,-1.954782683982715,3.308610551075128,-3.42222222222295,10.222219017093963,6.552706552706552
0.05-0.15,0,none,5.0,428,265,122,41,84.57943925233646,82.64150943396227,93.44262295081968,70.73170731707317,3.111418866822354,0.4751966745283357,16.630820952868877,-20.07804878048889,18.247105549065353,0.0
0.05-0.15,0,not_away_more_than_0.03pct,5.0,428,265,122,41,84.57943925233646,82.64150943396227,93.44262295081968,70.73170731707317,3.111418866822354,0.4751966745283357,16.630820952868877,-20.07804878048889,18.247105549065353,0.0
0.05-0.15,0,none,4.0,428,265,122,41,80.60747663551402,76.60377358490567,92.62295081967213,70.73170731707317,2.5251700569508664,-1.5886301179245423,17.081227587090176,-14.198780487805534,18.247105549065353,0.46728971962616817
0.05-0.15,0,not_away_more_than_0.03pct,4.0,428,265,122,41,80.60747663551402,76.60377358490567,92.62295081967213,70.73170731707317,2.5251700569508664,-1.5886301179245423,17.081227587090176,-14.198780487805534,18.247105549065353,0.46728971962616817
0.03-0.12,0,none,3.0,393,257,104,32,71.2468193384224,67.70428015564202,80.76923076923077,68.75,0.27434317748097653,-1.5589050583655897,6.263033353365315,-4.4656250000003865,12.992941014630949,6.106870229007633
0.03-0.12,0,not_away_more_than_0.03pct,3.0,393,257,104,32,71.2468193384224,67.70428015564202,80.76923076923077,68.75,0.27434317748097653,-1.5589050583655897,6.263033353365315,-4.4656250000003865,12.992941014630949,6.106870229007633
0.05-0.15,5,none,5.0,180,109,51,20,71.11111111111111,66.05504587155964,84.31372549019608,65.0,2.7341684895832055,-3.0201804759172948,11.049999999999343,12.889999999999782,38.466972725694504,0.5555555555555556
0.05-0.15,5,none,4.0,180,109,51,20,70.55555555555556,65.13761467889908,84.31372549019608,65.0,2.8527801562499007,-3.5958676318806373,12.31372549019558,13.872499999999855,38.466972725694504,0.5555555555555556
0.05-0.15,1,none,5.0,230,144,64,22,76.95652173913044,73.61111111111111,89.0625,63.63636363636363,5.500847119565191,0.0798252604165681,18.81562500000024,2.249999999999669,33.54414000000011,0.0
0.05-0.15,3,after_adverse_0.02pct,4.0,150,97,37,16,68.66666666666667,65.97938144329896,78.37837837837837,62.5,3.355681395833393,-2.439152480670019,13.321621621621464,15.44062500000041,43.61204314583339,0.0
0.05-0.15,3,after_adverse_0.02pct,5.0,150,97,37,16,68.66666666666667,65.97938144329896,78.37837837837837,62.5,3.2900133958334603,-3.0700823775772283,14.709459459459557,15.44062500000041,43.61204314583339,0.0
0.05-0.15,1,after_adverse_0.02pct,5.0,158,100,40,18,69.62025316455697,66.0,82.5,61.111111111111114,4.428784414557079,-1.7480206249999901,18.017500000000382,8.547222222222343,41.64843607594952,0.0
0.05-0.15,0,none,3.0,428,265,122,41,75.23364485981308,71.69811320754717,87.70491803278688,60.97560975609756,1.3325966705607482,-1.343234787735807,13.349660604508125,-17.1304878048781,18.247105549065353,1.4018691588785046
0.05-0.15,0,not_away_more_than_0.03pct,3.0,428,265,122,41,75.23364485981308,71.69811320754717,87.70491803278688,60.97560975609756,1.3325966705607482,-1.343234787735807,13.349660604508125,-17.1304878048781,18.247105549065353,1.4018691588785046
0.05-0.15,0,none,2.5,428,265,122,41,71.96261682242991,68.67924528301886,82.78688524590164,60.97560975609756,1.6981215646904648,-0.8844806367924252,11.811339331455008,-11.702439024390227,18.247105549065353,1.6355140186915886
0.05-0.15,0,not_away_more_than_0.03pct,2.5,428,265,122,41,71.96261682242991,68.67924528301886,82.78688524590164,60.97560975609756,1.6981215646904648,-0.8844806367924252,11.811339331455008,-11.702439024390227,18.247105549065353,1.6355140186915886
0.05-0.15,1,none,4.0,230,144,64,22,75.21739130434783,72.22222222222221,87.5,59.09090909090909,4.534763206521648,-0.7444754340278779,19.70781250000016,-5.050000000000761,33.54414000000011,0.43478260869565216
0.05-0.15,2,after_adverse_0.02pct,4.0,158,100,41,17,70.88607594936708,67.0,85.36585365853658,58.82352941176471,6.76295023734185,-0.439038624999921,22.859756097560975,10.305882352941433,43.584515822785036,0.0
0.05-0.15,2,after_adverse_0.02pct,5.0,158,100,41,17,70.88607594936708,67.0,85.36585365853658,58.82352941176471,6.322438844936901,-1.61204662499993,22.02926829268321,15.114705882353626,43.584515822785036,0.0
0.05-0.15,2,after_adverse_0.02pct,2.5,158,100,41,17,69.62025316455697,65.0,85.36585365853658,58.82352941176471,5.901842958860862,-3.3083381250000277,25.139634146341784,13.682352941176813,43.584515822785036,0.0
0.05-0.15,2,after_adverse_0.02pct,3.0,158,100,41,17,69.62025316455697,65.0,85.36585365853658,58.82352941176471,5.018006566455703,-4.443049625000076,25.01341463414641,12.447058823529755,43.584515822785036,0.0
0.05-0.15,2,none,5.0,203,126,56,21,74.8768472906404,72.22222222222221,87.5,57.14285714285714,5.017948460591214,-0.37505128968244944,18.116071428571754,2.447619047618424,37.16035320197061,0.0
0.05-0.15,2,none,4.0,203,126,56,21,73.89162561576354,71.42857142857143,85.71428571428571,57.14285714285714,5.5775607758620795,0.49599077380959883,18.749107142857287,0.9428571428564153,37.16035320197061,0.0
0.05-0.15,2,none,3.0,203,126,56,21,71.92118226600985,68.25396825396825,85.71428571428571,57.14285714285714,4.547998214285677,-2.8020346230159268,20.89196428571443,5.064285714285298,37.16035320197061,0.0
0.05-0.15,2,none,2.5,203,126,56,21,70.93596059113301,66.66666666666666,85.71428571428571,57.14285714285714,5.222364963054214,-2.24809454365082,21.267410714285948,7.258333333333125,37.16035320197061,0.0
0.05-0.15,3,none,4.0,193,120,52,21,73.05699481865285,70.83333333333334,84.61538461538461,57.14285714285714,3.667610929404218,-0.8941757552082891,15.674038461538448,0.004761904762355178,37.664785864637416,0.0
0.05-0.15,3,none,5.0,193,120,52,21,73.05699481865285,70.83333333333334,84.61538461538461,57.14285714285714,3.4857440900260923,-1.0058449218748593,16.66153846153863,-3.473809523809039,37.664785864637416,0.0
0.05-0.15,3,none,3.0,193,120,52,21,72.02072538860104,69.16666666666667,84.61538461538461,57.14285714285714,3.6681197376943184,-1.9125240885417345,17.624038461538685,1.0,37.664785864637416,0.0
0.05-0.15,3,none,2.5,193,120,52,21,71.50259067357513,68.33333333333333,84.61538461538461,57.14285714285714,3.784439167746144,-2.28523533854177,18.052403846154167,3.1380952380953073,37.664785864637416,0.0
0.05-0.15,3,none,2.0,193,120,52,21,68.39378238341969,65.83333333333333,78.84615384615384,57.14285714285714,3.206977768782454,-2.5112774218750626,15.208653846154238,6.164285714285749,37.664785864637416,0.0
0.05-0.15,1,after_adverse_0.02pct,4.0,158,100,40,18,68.9873417721519,66.0,82.5,55.55555555555556,3.3104287183545287,-2.2735226249999685,19.95750000000053,-2.6611111111115964,41.64843607594952,0.0
0.05-0.15,1,none,3.0,230,144,64,22,73.91304347826086,70.83333333333334,87.5,54.54545454545454,3.5075740760868226,-1.6306108506945267,20.81406250000009,-13.206818181819306,33.54414000000011,0.43478260869565216
0.05-0.15,2,none,2.0,203,126,56,21,67.98029556650246,65.07936507936508,80.35714285714286,52.38095238095239,3.643545504926125,-3.0500814484127354,20.408928571428792,-0.9023809523811602,37.16035320197061,0.0
