left_rule_id,left_feature,right_rule_id,right_feature,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,DII_ifut_lvl_chg21|1|upper|0.800,DII_ifut_lvl_chg21,10,13.7,10,0,90.0,9,100.0,19,36.54,19,0,57.89,15,73.33,11,31.43,11,0,45.45,8,62.5,45.45,62.5,33.985
FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,DII_futheavy_lvl_chg21|1|upper|0.800,DII_futheavy_lvl_chg21,10,13.7,10,0,90.0,9,100.0,16,30.77,16,0,68.75,14,78.57,11,31.43,11,0,45.45,8,62.5,45.45,62.5,31.1
DII_futheavy_lvl_chg21|1|upper|0.800,DII_futheavy_lvl_chg21,DII_ifut_lvl_chg21|1|upper|0.800,DII_ifut_lvl_chg21,13,17.81,13,0,92.31,12,100.0,16,30.77,16,0,68.75,14,78.57,11,31.43,11,0,45.45,8,62.5,45.45,62.5,31.1
Pro_ifut_lvl_posdays21|1|upper|0.850,Pro_ifut_lvl_posdays21,Pro_v3inst_lvl_posdays21|1|upper|0.850,Pro_v3inst_lvl_posdays21,10,13.7,10,0,90.0,9,100.0,13,25.0,13,0,53.85,13,53.85,16,45.71,16,0,43.75,13,53.85,43.75,53.85,35.355000000000004
Pro_futheavy_lvl_sum15|1|upper|0.850,Pro_futheavy_lvl_sum15,Pro_futheavy_lvl_mean15|1|upper|0.850,Pro_futheavy_lvl_mean15,11,15.07,11,0,81.82,10,90.0,19,36.54,19,0,42.11,16,50.0,18,51.43,18,0,50.0,15,60.0,42.11,50.0,43.985
DII_v3inst_qflow_sum21|1|upper|0.850,DII_v3inst_qflow_sum21,DII_v3inst_qflow_mean21|1|upper|0.850,DII_v3inst_qflow_mean21,11,15.07,11,0,90.91,10,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_v3inst_qflow_sum21|1|upper|0.850,DII_v3inst_qflow_sum21,DII_futheavy_qflow_sum21|1|upper|0.850,DII_futheavy_qflow_sum21,11,15.07,11,0,90.91,10,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_v3inst_qflow_sum21|1|upper|0.850,DII_v3inst_qflow_sum21,DII_futheavy_qflow_mean21|1|upper|0.850,DII_futheavy_qflow_mean21,11,15.07,11,0,90.91,10,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_v3inst_qflow_sum21|1|upper|0.850,DII_v3inst_qflow_sum21,FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,10,13.7,10,0,90.0,9,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_v3inst_qflow_mean21|1|upper|0.850,DII_v3inst_qflow_mean21,DII_futheavy_qflow_sum21|1|upper|0.850,DII_futheavy_qflow_sum21,11,15.07,11,0,90.91,10,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_v3inst_qflow_mean21|1|upper|0.850,DII_v3inst_qflow_mean21,DII_futheavy_qflow_mean21|1|upper|0.850,DII_futheavy_qflow_mean21,11,15.07,11,0,90.91,10,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_v3inst_qflow_mean21|1|upper|0.850,DII_v3inst_qflow_mean21,FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,10,13.7,10,0,90.0,9,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_futheavy_qflow_sum21|1|upper|0.850,DII_futheavy_qflow_sum21,DII_futheavy_qflow_mean21|1|upper|0.850,DII_futheavy_qflow_mean21,11,15.07,11,0,90.91,10,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
