date,target_week_end,target_week_sessions,period,y_week,actual
2023-08-11,2023-08-18,4,dev2023_24,-0.6081334959826545,-1
2023-08-18,2023-08-25,5,dev2023_24,-0.22967196008317758,0
2023-08-25,2023-09-01,5,dev2023_24,0.8797973611269772,1
2023-09-01,2023-09-08,5,dev2023_24,1.9791307569216876,1
2023-09-08,2023-09-15,5,dev2023_24,1.8789149316723597,1
2023-09-15,2023-09-22,4,dev2023_24,-2.56582319541806,-1
2023-09-22,2023-09-29,5,dev2023_24,-0.18272615220402688,0
2023-09-29,2023-10-06,4,dev2023_24,0.07739977492959849,0
2023-10-06,2023-10-13,5,dev2023_24,0.4963492507695788,0
2023-10-13,2023-10-20,5,dev2023_24,-1.0551337776978809,-1
2023-10-20,2023-10-27,4,dev2023_24,-2.5349683896503383,-1
2023-10-27,2023-11-03,5,dev2023_24,0.9626061504941497,1
2023-11-03,2023-11-10,5,dev2023_24,1.0127089118384225,1
2023-11-10,2023-11-17,4,dev2023_24,1.5775777527818002,1
2023-11-17,2023-11-24,5,dev2023_24,0.3187747696611565,0
2023-11-24,2023-12-01,4,dev2023_24,2.3905388816198414,1
2023-12-01,2023-12-08,5,dev2023_24,3.461138055743307,1
2023-12-08,2023-12-15,5,dev2023_24,2.3236239472755438,1
2023-12-15,2023-12-22,5,dev2023_24,-0.49984503638732525,0
2023-12-22,2023-12-29,4,dev2023_24,1.7892774504201459,1
2023-12-29,2024-01-05,5,dev2023_24,-0.09479370864280412,0
2024-01-05,2024-01-12,5,dev2023_24,0.8463529671868475,1
2024-01-12,2024-01-19,5,dev2023_24,-1.2430033958222397,-1
2024-01-19,2024-01-25,3,dev2023_24,-1.247780079917138,-1
2024-01-25,2024-02-02,5,dev2023_24,2.3472551352060167,1
2024-02-02,2024-02-09,5,dev2023_24,-0.3262590487695505,0
2024-02-09,2024-02-16,5,dev2023_24,1.1853552163433978,1
2024-02-16,2024-02-23,5,dev2023_24,0.7803744890135134,1
2024-02-23,2024-03-01,5,dev2023_24,0.567468160106599,1
2024-03-01,2024-03-07,4,dev2023_24,0.6929662581836471,1
2024-03-07,2024-03-15,5,dev2023_24,-2.0903770191899484,-1
2024-03-15,2024-03-22,5,dev2023_24,0.3332826295727065,0
2024-03-22,2024-03-28,3,dev2023_24,1.041555884915213,1
2024-03-28,2024-04-05,5,dev2023_24,0.8366589181659778,1
2024-04-05,2024-04-12,4,dev2023_24,0.025317917534661838,0
2024-04-12,2024-04-19,4,dev2023_24,-1.6536852669254087,-1
2024-04-19,2024-04-26,5,dev2023_24,1.2324468325281002,1
2024-04-26,2024-05-03,4,dev2023_24,0.24933151055197555,0
2024-05-03,2024-05-10,5,dev2023_24,-1.8715643679771743,-1
2024-05-10,2024-05-17,5,dev2023_24,1.8630527041241907,1
2024-05-17,2024-05-24,4,dev2023_24,2.1855150649200406,1
2024-05-24,2024-05-31,5,dev2023_24,-1.857377456211795,-1
2024-05-31,2024-06-07,5,dev2023_24,3.3707341538434354,1
2024-06-07,2024-06-14,5,dev2023_24,0.7533227566159928,1
2024-06-14,2024-06-21,4,dev2023_24,0.15128528569481325,0
2024-06-21,2024-06-28,5,dev2023_24,2.167983626298353,1
2024-06-28,2024-07-05,5,dev2023_24,1.3046321208133094,1
2024-07-05,2024-07-12,5,dev2023_24,0.7330254051065133,1
2024-07-12,2024-07-19,4,dev2023_24,0.11733664188653403,0
2024-07-19,2024-07-26,5,dev2023_24,1.2390495252925682,1
2024-07-26,2024-08-02,5,dev2023_24,-0.47171615693268887,0
2024-08-02,2024-08-09,5,dev2023_24,-1.4167984885325113,-1
2024-08-09,2024-08-16,4,dev2023_24,0.71262952703397,1
2024-08-16,2024-08-23,5,dev2023_24,1.149090405298847,1
2024-08-23,2024-08-30,5,dev2023_24,1.6627623810837822,1
2024-08-30,2024-09-06,5,dev2023_24,-1.520651135881823,-1
2024-09-06,2024-09-13,5,dev2023_24,2.029401882734483,1
2024-09-13,2024-09-20,5,dev2023_24,1.7133673811448702,1
2024-09-20,2024-09-27,5,dev2023_24,1.5044036764834123,1
2024-09-27,2024-10-04,4,dev2023_24,-4.447657373576874,-1
2024-10-04,2024-10-11,5,dev2023_24,-0.2012824510485789,0
2024-10-11,2024-10-18,5,dev2023_24,-0.44143124668275524,0
2024-10-18,2024-10-25,5,dev2023_24,-2.708814056461628,-1
2024-10-25,2024-11-01,5,dev2023_24,0.51094256600277,1
2024-11-01,2024-11-08,5,dev2023_24,-0.6424775811737282,-1
2024-11-08,2024-11-14,4,dev2023_24,-2.54884422027315,-1
2024-11-14,2024-11-22,4,dev2023_24,1.591615071793706,1
2024-11-22,2024-11-29,5,dev2023_24,0.9363268464587016,1
2024-11-29,2024-12-06,5,dev2023_24,2.265541148144923,1
2024-12-06,2024-12-13,5,dev2023_24,0.3667263694494549,0
2024-12-13,2024-12-20,5,dev2023_24,-4.767384115986961,-1
2024-12-20,2024-12-27,4,dev2023_24,0.957710651828303,1
2024-12-27,2025-01-03,5,dev2023_24,0.8035391838208783,1
2025-01-03,2025-01-10,5,val2025,-2.388069028004869,-1
2025-01-10,2025-01-17,5,val2025,-0.9743294283336534,-1
2025-01-17,2025-01-24,5,val2025,-0.4783822920976455,0
2025-01-24,2025-01-31,5,val2025,1.8023401841314346,1
2025-01-31,2025-02-07,5,val2025,0.21928332000475947,0
2025-02-07,2025-02-14,5,val2025,-2.677000587862033,-1
2025-02-14,2025-02-21,5,val2025,-0.5815715734269533,-1
2025-02-21,2025-02-28,4,val2025,-2.944389122605384,-1
2025-02-28,2025-03-07,5,val2025,1.9335855401429125,1
2025-03-07,2025-03-13,4,val2025,-0.6886154528322752,-1
2025-03-13,2025-03-21,5,val2025,4.25588912899828,1
2025-03-21,2025-03-28,5,val2025,0.723542209127026,1
2025-03-28,2025-04-04,4,val2025,-2.6144430011883713,-1
2025-04-04,2025-04-11,4,val2025,-0.3313766538816765,0
2025-04-11,2025-04-17,3,val2025,4.4816687875489425,1
2025-04-17,2025-04-25,5,val2025,0.786947653516612,1
2025-04-25,2025-05-02,4,val2025,1.2785287455775673,1
2025-05-02,2025-05-09,5,val2025,-1.391153626569519,-1
2025-05-09,2025-05-16,5,val2025,4.2144285238253865,1
2025-05-16,2025-05-23,5,val2025,-0.6660724706032739,-1
2025-05-23,2025-05-30,5,val2025,-0.412221388435674,0
2025-05-30,2025-06-06,5,val2025,1.0195671233540704,1
2025-06-06,2025-06-13,5,val2025,-1.1376612053329516,-1
2025-06-13,2025-06-20,5,val2025,1.5931322971365791,1
2025-06-20,2025-06-27,5,val2025,2.092193498032846,1
2025-06-27,2025-07-04,5,val2025,-0.6896067525294702,-1
2025-07-04,2025-07-11,5,val2025,-1.2220651192019205,-1
2025-07-11,2025-07-18,5,val2025,-0.7214754759968578,-1
2025-07-18,2025-07-25,5,val2025,-0.5262651992118061,-1
2025-07-25,2025-08-01,5,val2025,-1.0937311269477057,-1
2025-08-01,2025-08-08,5,val2025,-0.8224999847345926,-1
2025-08-08,2025-08-14,4,val2025,1.100015186776826,1
2025-08-14,2025-08-22,5,val2025,0.96949815884666,1
2025-08-22,2025-08-29,4,val2025,-1.7822606262138052,-1
