rule_id,feature,orientation,mode,quantile,threshold_hi,threshold_lo,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
DII_optheavy_lvl_chg15|1|both|0.750,DII_optheavy_lvl_chg15,1,both,0.75,0.004032897769415492,-0.003930976816794231,0.218721,36,49.32,18,18,47.22,29,58.62,21,40.38,13,8,71.43,18,83.33,19,54.29,8,11,63.16,13,92.31,63.16,83.33,47.335
DII_v2inst_lvl_chg15|1|both|0.900,DII_v2inst_lvl_chg15,1,both,0.9,0.008167530735136826,-0.012692870211327242,0.234258,14,19.18,7,7,50.0,11,63.64,17,32.69,13,4,64.71,14,78.57,13,37.14,7,6,61.54,9,88.89,61.54,78.57,34.915
DII_scall_qflow_sum3|1|both|0.800,DII_scall_qflow_sum3,1,both,0.8,0.06402642106960259,-0.022656094042264856,0.201746,30,41.1,15,15,43.33,22,59.09,16,30.77,8,8,62.5,14,71.43,13,37.14,3,10,61.54,11,72.73,61.54,71.43,33.955
DII_scall_rflow_sum3|1|both|0.800,DII_scall_rflow_sum3,1,both,0.8,0.17428143657545608,-0.02265609404226485,0.208812,30,41.1,15,15,46.67,22,63.64,16,30.77,7,9,62.5,14,71.43,13,37.14,3,10,61.54,11,72.73,61.54,71.43,33.955
Client_sfut_rflow_sum4|-1|both|0.750,Client_sfut_rflow_sum4,-1,both,0.75,0.006773921657813746,-0.010263884937763276,-0.120974,38,52.05,19,19,42.11,25,64.0,13,25.0,5,8,61.54,13,61.54,11,31.43,5,6,63.64,8,87.5,61.54,61.54,28.215
Client_sfut_rflow_mean4|-1|both|0.750,Client_sfut_rflow_mean4,-1,both,0.75,0.0016934804144534364,-0.002565971234440819,-0.120974,38,52.05,19,19,42.11,25,64.0,13,25.0,5,8,61.54,13,61.54,11,31.43,5,6,63.64,8,87.5,61.54,61.54,28.215
Pro_ifut_lvl_sum21|1|both|0.850,Pro_ifut_lvl_sum21,1,both,0.85,0.6185784345533818,-0.9239312327735739,0.115694,22,30.14,11,11,50.0,18,61.11,20,38.46,8,12,60.0,18,66.67,14,40.0,11,3,64.29,12,75.0,60.0,66.67,39.230000000000004
Pro_ifut_lvl_mean21|1|both|0.850,Pro_ifut_lvl_mean21,1,both,0.85,0.02945611593111342,-0.04399672537017019,0.109088,22,30.14,11,11,50.0,18,61.11,20,38.46,8,12,60.0,18,66.67,14,40.0,11,3,64.29,12,75.0,60.0,66.67,39.230000000000004
Pro_scall_rflow_z21|1|both|0.850,Pro_scall_rflow_z21,1,both,0.85,0.7448188248139188,-0.7277503406851321,0.110457,22,30.14,11,11,54.55,18,66.67,13,25.0,5,8,61.54,10,80.0,12,34.29,6,6,58.33,9,77.78,58.33,77.78,29.645
Pro_scall_rflow_z21|1|both|0.900,Pro_scall_rflow_z21,1,both,0.9,0.9078637736573404,-0.8088484749236537,0.110457,16,21.92,8,8,62.5,13,76.92,11,21.15,4,7,63.64,9,77.78,12,34.29,6,6,58.33,9,77.78,58.33,77.78,27.72
Pro_scall_rflow_z63|1|both|0.850,Pro_scall_rflow_z63,1,both,0.85,0.7556876687819145,-0.7317497026534653,0.158604,22,30.14,11,11,63.64,17,82.35,11,21.15,3,8,63.64,9,77.78,12,34.29,6,6,58.33,10,70.0,58.33,70.0,27.72
DII_scall_rflow_sum3|1|both|0.850,DII_scall_rflow_sum3,1,both,0.85,0.18615015180217173,-0.028787898297030774,0.208812,22,30.14,11,11,45.45,16,62.5,10,19.23,6,4,60.0,8,75.0,12,34.29,3,9,58.33,10,70.0,58.33,70.0,26.759999999999998
DII_v3inst_lvl_chg15|1|both|0.850,DII_v3inst_lvl_chg15,1,both,0.85,0.013805627121443656,-0.014138971285898206,0.17631,22,30.14,11,11,45.45,17,58.82,22,42.31,14,8,59.09,17,76.47,19,54.29,8,11,57.89,12,91.67,57.89,76.47,48.3
DII_ifut_qflow_sum7|1|both|0.850,DII_ifut_qflow_sum7,1,both,0.85,0.014703799495649818,-0.018115044361333446,0.165494,22,30.14,11,11,50.0,18,61.11,34,65.38,22,12,64.71,28,78.57,19,54.29,12,7,57.89,16,68.75,57.89,68.75,59.834999999999994
DII_ifut_qflow_mean7|1|both|0.850,DII_ifut_qflow_mean7,1,both,0.85,0.002100542785092831,-0.0025878634801904925,0.169906,22,30.14,11,11,50.0,18,61.11,34,65.38,22,12,64.71,28,78.57,19,54.29,12,7,57.89,16,68.75,57.89,68.75,59.834999999999994
