outcome,strategy,feature,orientation,mode,quantile,threshold_high,threshold_low,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
close_to_close,v3_vix_agree,vix_ret20,1,upper,0.85,15.586310376338087,,0.028539,22,6.45,22,0,68.18,18,83.33,20,8.1,20,0,65.0,17,76.47,24,15.29,24,0,66.67,23,69.57,65.0,69.57,11.695
close_to_close,v3_vix_agree,vix_ret20,1,upper,0.75,10.6896499107624,,0.028539,40,11.73,40,0,47.5,32,59.38,27,10.93,27,0,59.26,23,69.57,25,15.92,25,0,64.0,23,69.57,59.26,69.57,13.425
close_to_close,v3_vix_agree,vix_ret20,1,upper,0.8,12.952901359754708,,0.028539,31,9.09,31,0,51.61,25,64.0,26,10.53,26,0,57.69,22,68.18,25,15.92,25,0,64.0,23,69.57,57.69,68.18,13.225
close_to_close,v3_vix_gate,vix_ret20,1,upper,0.85,15.586310376338087,,0.028539,52,15.25,22,30,50.0,43,60.47,37,14.98,20,17,56.76,32,65.62,39,24.84,24,15,64.1,38,65.79,56.76,65.62,19.91
close_to_close,v3_vix_agree,vix_high,1,both,0.925,18.494999885559082,11.375,0.032041,25,7.33,15,10,64.0,19,84.21,31,12.55,10,21,54.84,24,70.83,30,19.11,27,3,56.67,27,62.96,54.84,62.96,15.83
close_to_close,vix_direct,vix_ret20,1,upper,0.85,15.586310376338087,,0.028539,52,15.25,52,0,55.77,43,67.44,37,14.98,37,0,54.05,32,62.5,39,24.84,39,0,56.41,38,57.89,54.05,57.89,19.91
close_to_close,v3_vix_gate,vix_high,1,both,0.95,20.65999984741211,11.289999961853027,0.032041,36,10.56,23,13,61.11,30,73.33,50,20.24,26,24,54.0,40,67.5,29,18.47,20,9,62.07,27,66.67,54.0,66.67,19.354999999999997
close_to_close,v3_vix_gate,vix_close,1,both,0.95,18.88999938964844,10.899999618530272,0.042152,37,10.85,21,16,56.76,31,67.74,52,21.05,27,25,53.85,40,70.0,33,21.02,22,11,54.55,28,64.29,53.85,64.29,21.035
close_to_close,v3_vix_gate,vix_ret20,1,upper,0.9,20.6870225895591,,0.028539,35,10.26,16,19,51.43,29,62.07,28,11.34,15,13,53.57,23,65.22,34,21.66,21,13,61.76,33,63.64,53.57,63.64,16.5
close_to_close,v3_vix_agree,vix_ret20,1,both,0.75,10.6896499107624,-8.673835517498219,0.028539,74,21.7,40,34,39.19,54,53.7,75,30.36,27,48,53.33,62,64.52,56,35.67,25,31,58.93,51,64.71,53.33,64.52,33.015
close_to_close,vix_direct,vix_ret20,1,upper,0.8,12.952901359754708,,0.028539,69,20.23,69,0,47.83,55,60.0,45,18.22,45,0,53.33,39,61.54,42,26.75,42,0,54.76,40,57.5,53.33,57.5,22.485
close_to_close,v3_vix_agree,vix_ret20,1,upper,0.7,8.878503048593787,,0.028539,51,14.96,51,0,45.1,38,60.53,32,12.96,32,0,53.12,24,70.83,26,16.56,26,0,61.54,24,66.67,53.12,66.67,14.76
