variant,period,n,exact,baseline,coverage,hit_incl_flat,signacc,signacc_n
v2_locked,dev2023_24,343,37.9,45.48,72.3,43.55,56.25,192
v2_locked,val2025,248,37.9,39.52,72.98,43.65,54.86,144
v2_locked,confirm2026,166,37.95,42.77,72.29,44.17,53.0,100
v2_locked,full,757,37.91,42.14,72.52,43.72,55.05,436
A1_closures_full_weight,dev2023_24,343,38.19,45.48,74.34,43.14,55.56,198
A1_closures_full_weight,val2025,248,38.31,39.52,73.79,43.17,53.74,147
A1_closures_full_weight,confirm2026,166,39.76,42.77,75.3,45.6,54.81,104
A1_closures_full_weight,full,757,38.57,42.14,74.37,43.69,54.79,449
A1b_closures_zero_weight,dev2023_24,343,33.82,45.48,53.06,43.96,57.14,140
A1b_closures_zero_weight,val2025,248,34.27,39.52,60.08,44.3,56.9,116
A1b_closures_zero_weight,confirm2026,166,36.14,42.77,57.23,46.32,54.32,81
A1b_closures_zero_weight,full,757,34.48,42.14,56.27,44.6,56.38,337
A1c_closures_75,dev2023_24,343,38.48,45.48,73.76,43.48,55.84,197
A1c_closures_75,val2025,248,38.31,39.52,75.4,42.78,53.33,150
A1c_closures_75,confirm2026,166,39.76,42.77,74.1,45.53,54.37,103
A1c_closures_75,full,757,38.71,42.14,74.37,43.69,54.67,450
A1d_closures_25,dev2023_24,343,34.4,45.48,64.72,42.79,56.89,167
A1d_closures_25,val2025,248,36.29,39.52,69.76,43.93,56.3,135
A1d_closures_25,confirm2026,166,38.55,42.77,69.28,46.09,55.21,96
A1d_closures_25,full,757,35.93,42.14,67.37,43.92,56.28,398
A2_linear_no_tanh,dev2023_24,343,22.74,45.48,0.0,,,0
A2_linear_no_tanh,val2025,248,20.97,39.52,0.0,,,0
A2_linear_no_tanh,confirm2026,166,18.07,42.77,0.0,,,0
A2_linear_no_tanh,full,757,21.14,42.14,0.0,,,0
A2b_loose_squash_5pct,dev2023_24,343,32.65,45.48,52.48,42.78,56.2,137
A2b_loose_squash_5pct,val2025,248,35.08,39.52,55.24,44.53,54.95,111
A2b_loose_squash_5pct,confirm2026,166,31.93,42.77,57.83,41.67,50.63,79
A2b_loose_squash_5pct,full,757,33.29,42.14,54.56,43.1,54.43,327
A2c_tight_squash_1pct,dev2023_24,343,39.36,45.48,80.47,42.75,54.88,215
A2c_tight_squash_1pct,val2025,248,39.92,39.52,79.03,43.37,53.8,158
A2c_tight_squash_1pct,confirm2026,166,40.96,42.77,86.75,43.75,52.94,119
A2c_tight_squash_1pct,full,757,39.89,42.14,81.37,43.18,54.07,492
A3_with_stock_fut_15,dev2023_24,343,36.44,45.48,67.35,43.72,57.06,177
A3_with_stock_fut_15,val2025,248,35.48,39.52,68.15,42.6,54.14,133
A3_with_stock_fut_15,confirm2026,166,36.75,42.77,66.87,45.05,54.35,92
A3_with_stock_fut_15,full,757,36.2,42.14,67.5,43.64,55.47,402
A4_fii_led_participants,dev2023_24,343,34.99,45.48,65.01,42.15,54.97,171
A4_fii_led_participants,val2025,248,37.1,39.52,70.97,43.18,54.29,140
A4_fii_led_participants,confirm2026,166,40.36,42.77,72.29,46.67,55.45,101
A4_fii_led_participants,full,757,36.86,42.14,68.56,43.55,54.85,412
A4b_fii_only,dev2023_24,343,37.9,45.48,65.01,43.5,54.49,178
A4b_fii_only,val2025,248,39.52,39.52,66.53,44.85,54.01,137
A4b_fii_only,confirm2026,166,37.95,42.77,73.49,44.26,53.47,101
A4b_fii_only,full,757,38.44,42.14,67.37,44.12,54.09,416
A4c_pro_only,dev2023_24,343,37.32,45.48,77.55,42.86,56.44,202
A4c_pro_only,val2025,248,39.92,39.52,77.42,44.79,56.21,153
A4c_pro_only,confirm2026,166,36.14,42.77,74.7,41.94,50.98,102
A4c_pro_only,full,757,37.91,42.14,76.88,43.3,55.14,457
A4d_equal_PF_no_client,dev2023_24,343,33.82,45.48,62.68,42.33,56.17,162
A4d_equal_PF_no_client,val2025,248,35.89,39.52,66.13,43.29,54.62,130
A4d_equal_PF_no_client,confirm2026,166,36.75,42.77,66.87,44.14,52.69,93
A4d_equal_PF_no_client,full,757,35.14,42.14,64.73,43.06,54.81,385
A4e_client_not_contra,dev2023_24,343,33.82,45.48,66.18,41.41,54.97,171
A4e_client_not_contra,val2025,248,37.1,39.52,59.68,43.92,52.85,123
A4e_client_not_contra,confirm2026,166,32.53,42.77,61.45,42.16,51.81,83
A4e_client_not_contra,full,757,34.61,42.14,63.01,42.35,53.58,377
A5_dii_included,dev2023_24,343,36.73,45.48,68.8,43.64,56.91,181
A5_dii_included,val2025,248,36.69,39.52,68.55,42.94,53.68,136
A5_dii_included,confirm2026,166,36.75,42.77,66.87,45.05,54.35,92
A5_dii_included,full,757,36.72,42.14,68.3,43.71,55.26,409
