variant,"('exact', 'confirm2026')","('exact', 'dev2023_24')","('exact', 'val2025')","('signacc', 'confirm2026')","('signacc', 'dev2023_24')","('signacc', 'val2025')",exact,signacc,coverage
A1_closures_full_weight,39.76,38.19,38.31,54.81,55.56,53.74,38.57,54.79,74.37
A1b_closures_zero_weight,36.14,33.82,34.27,54.32,57.14,56.9,34.48,56.38,56.27
A1c_closures_75,39.76,38.48,38.31,54.37,55.84,53.33,38.71,54.67,74.37
A1d_closures_25,38.55,34.4,36.29,55.21,56.89,56.3,35.93,56.28,67.37
A2_linear_no_tanh,18.07,22.74,20.97,,,,21.14,,0.0
A2b_loose_squash_5pct,31.93,32.65,35.08,50.63,56.2,54.95,33.29,54.43,54.56
A2c_tight_squash_1pct,40.96,39.36,39.92,52.94,54.88,53.8,39.89,54.07,81.37
A3_with_stock_fut_15,36.75,36.44,35.48,54.35,57.06,54.14,36.2,55.47,67.5
A4_fii_led_participants,40.36,34.99,37.1,55.45,54.97,54.29,36.86,54.85,68.56
A4b_fii_only,37.95,37.9,39.52,53.47,54.49,54.01,38.44,54.09,67.37
A4c_pro_only,36.14,37.32,39.92,50.98,56.44,56.21,37.91,55.14,76.88
A4d_equal_PF_no_client,36.75,33.82,35.89,52.69,56.17,54.62,35.14,54.81,64.73
A4e_client_not_contra,32.53,33.82,37.1,51.81,54.97,52.85,34.61,53.58,63.01
A5_dii_included,36.75,36.73,36.69,54.35,56.91,53.68,36.72,55.26,68.3
A6_threshold_050,37.95,37.9,37.9,53.0,56.25,54.86,37.91,55.05,72.52
A6b_threshold_020,37.95,37.9,37.9,53.0,56.25,54.86,37.91,55.05,72.52
A6c_threshold_015,37.95,37.9,37.9,53.0,56.25,54.86,37.91,55.05,72.52
A6d_threshold_005,37.95,37.9,37.9,53.0,56.25,54.86,37.91,55.05,72.52
A7_no_conflict_rule,37.95,37.9,37.9,53.0,56.25,54.86,37.91,55.05,72.52
v2_locked,37.95,37.9,37.9,53.0,56.25,54.86,37.91,55.05,72.52
