participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
pf_6040,q,c2p2f6,0.0,45.77,100.0,59.25,41.53,100.0,52.55,46.39,100.0,56.62,136,52.510000000000005
pf_6040_c10neg,q,c3p3f4,0.0,45.19,100.0,58.49,43.55,100.0,55.1,47.59,100.0,58.09,136,51.84
v2_p0.53_f0.27_c0.20,q,fut_only,0.0,44.61,100.0,57.74,38.71,100.0,48.98,42.17,100.0,51.47,136,51.175
pf_6040_c10neg,q,c2p2f6,0.0,44.31,100.0,57.36,41.94,100.0,53.06,46.39,100.0,56.62,136,50.835
pf_6040,q,c3p3f4,0.0,44.02,100.0,56.98,41.53,100.0,52.55,46.99,100.0,57.35,136,50.5
pf_6040,q,c2p2f6,0.025,42.57,89.8,57.98,38.71,93.15,51.93,44.58,95.18,56.59,129,50.275
pf_5050,q,c2p2f6,0.025,42.86,90.09,57.5,38.31,93.95,50.0,43.37,92.17,56.0,125,50.18
pf_5050,q,c2p2f6,0.0,43.73,100.0,56.6,39.52,100.0,50.0,46.39,100.0,56.62,136,50.165
pf_4555_c10,q,c3p3f4,0.0,43.73,100.0,56.6,40.73,100.0,51.53,46.39,100.0,56.62,136,50.165
pf_5050,q,c3p3f4,0.0,43.73,100.0,56.6,39.52,100.0,50.0,47.59,100.0,58.09,136,50.165
pf_6040,q,fut_only,0.0,43.73,100.0,56.6,40.32,100.0,51.02,43.98,100.0,53.68,136,50.165
pf_6040_c10neg,q,c2p2f6,0.025,41.98,84.55,58.22,38.31,90.73,53.14,43.37,90.36,56.1,123,50.099999999999994
pf_4555_c10,r,c3p3f4,0.025,44.02,93.88,56.13,38.71,87.9,52.33,44.58,93.98,57.48,127,50.075
pf_5050,r,c3p3f4,0.025,43.73,92.42,56.22,39.11,89.11,52.0,45.78,93.98,57.81,128,49.974999999999994
pf_5050,r,c3p3f4,0.0,43.44,100.0,56.23,39.92,100.0,50.51,48.19,100.0,58.82,136,49.834999999999994
pf_6040,q,c3p3f4,0.025,41.98,90.09,57.56,39.92,88.31,52.0,44.58,88.55,57.85,121,49.769999999999996
pf_6040_c10neg,q,c3p3f4,0.025,41.11,85.71,57.96,41.53,82.26,53.61,44.58,87.35,57.5,120,49.535
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.0,43.15,100.0,55.85,41.53,100.0,52.55,43.98,100.0,53.68,136,49.5
v2_p0.53_f0.27_c0.20,r,fut_only,0.0,43.15,100.0,55.85,39.92,100.0,50.51,43.98,100.0,53.68,136,49.5
pf_5050,q,c3p3f4,0.025,42.57,90.38,56.2,39.52,90.32,51.69,46.39,92.17,57.48,127,49.385000000000005
pf_6040,r,c2p2f6,0.025,42.27,92.13,56.33,39.92,91.53,53.93,44.58,95.78,56.15,130,49.3
pf_4555_c10,q,c3p3f4,0.025,42.57,91.55,55.92,38.71,90.73,51.12,45.78,94.58,56.15,130,49.245000000000005
pf_4555_c10,q,c2p2f6,0.0,42.86,100.0,55.47,40.32,100.0,51.02,45.78,100.0,55.88,136,49.165
v2_p0.53_f0.27_c0.20,q,c2p2f6,0.0,42.86,100.0,55.47,41.13,100.0,52.04,45.18,100.0,55.15,136,49.165
pf_6040,r,c2p2f6,0.05,40.82,82.8,57.27,39.52,85.89,54.17,42.17,88.55,57.14,119,49.045
v2_p0.53_f0.27_c0.20,r,c3p3f4,0.0,42.57,100.0,55.09,42.34,100.0,53.57,45.18,100.0,55.15,136,48.83
pf_4555_c10,r,c3p3f4,0.0,42.57,100.0,55.09,40.73,100.0,51.53,47.59,100.0,58.09,136,48.83
pf_5050,r,c2p2f6,0.0,42.57,100.0,55.09,39.11,100.0,49.49,46.99,100.0,57.35,136,48.83
pf_6040,r,c3p3f4,0.05,40.82,82.51,56.82,39.52,79.03,55.13,44.58,88.55,57.85,121,48.82
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.025,41.69,93.29,55.87,41.13,90.73,52.78,43.37,90.96,54.4,125,48.78
pf_4555_c10,q,c2p2f6,0.025,41.11,92.42,56.38,37.1,94.35,49.73,45.18,93.37,56.25,128,48.745000000000005
pf_6040,q,c3p3f4,0.05,39.36,79.59,57.89,40.73,77.82,54.14,42.77,82.53,57.52,113,48.625
pf_4555_c10,r,c3p3f4,0.05,41.4,86.3,55.84,37.9,82.66,52.47,45.18,89.76,57.72,123,48.620000000000005
pf_6040_c10neg,r,c3p3f4,0.025,40.82,89.5,56.36,42.74,85.08,55.88,46.39,93.98,58.59,128,48.59
pf_6040,q,c2p2f6,0.05,39.07,79.88,57.89,36.29,85.89,52.12,41.57,84.94,56.52,115,48.480000000000004
