date,fii_net,dii_net,cash_combo,y_cc,y_gap,y_oc
2026-01-14,-6440.0000,7353.0000,-2028.2000,0.1120,0.1186,-0.0066
2026-01-16,-12383.0000,12502.0000,-4881.8000,-0.4236,-0.1605,-0.2635
2026-01-19,-4170.0000,7925.0000,585.0000,-1.3797,-0.0203,-1.3596
2026-01-20,-10764.0000,-6325.0000,-14559.0000,-0.2972,-0.3626,0.0656
2026-01-21,-5332.0000,-14412.0000,-13979.2000,0.5263,0.7419,-0.2141
2026-01-22,-3658.0000,9738.0000,2184.8000,-0.9539,0.2163,-1.1677
2026-01-23,-7225.0000,-11290.0000,-13999.0000,0.5060,0.0587,0.4471
2026-01-27,-9087.0000,4219.0000,-6555.6000,0.6647,0.3315,0.3322
2026-01-28,-9620.0000,5975.0000,-6035.0000,0.3005,0.0089,0.2916
2026-01-29,-7788.0000,6559.0000,-3852.6000,-0.3865,-0.6741,0.2895
2026-01-30,-2212.0000,9815.0000,3677.0000,-0.9172,-2.0700,1.1772
2026-02-02,-691.0000,-10749.0000,-7140.4000,2.5476,4.8614,-2.2065
2026-02-03,-2409.0000,3875.0000,-84.0000,0.1883,-0.2041,0.3932
2026-02-04,-2239.0000,9367.0000,3381.2000,-0.5168,-0.0780,-0.4391
2026-02-05,-1285.0000,4567.0000,1455.2000,0.1985,-0.1443,0.3433
2026-02-06,-1309.0000,3188.0000,603.8000,0.6757,0.7589,-0.0827
2026-02-09,-500.0000,1752.0000,551.2000,0.2623,0.2140,0.0482
2026-02-10,-872.0000,1639.0000,111.4000,0.0721,0.2402,-0.1677
2026-02-11,385.0000,1342.0000,1190.2000,-0.5650,-0.1817,-0.3841
2026-02-12,-1438.0000,2095.0000,-181.0000,-1.3023,-0.9147,-0.3913
2026-02-13,-1529.0000,4167.0000,971.2000,0.8309,-0.1865,1.0193
2026-02-16,-1994.0000,11476.0000,4891.6000,0.1661,-0.1744,0.3411
2026-02-17,-1634.0000,4669.0000,1167.4000,0.3652,0.1059,0.2590
2026-02-18,-682.0000,7943.0000,4083.8000,-1.4137,0.2091,-1.6194
2026-02-19,2074.0000,3137.0000,3956.2000,0.4593,-0.1878,0.6483
2026-02-20,-2070.0000,4368.0000,550.8000,0.5543,0.4190,0.1347
2026-02-23,-1395.0000,-1445.0000,-2262.0000,-1.1214,-0.2769,-0.8469
2026-02-24,-692.0000,-5345.0000,-3899.0000,0.2275,0.3459,-0.1180
2026-02-25,-1707.0000,-1851.0000,-2817.6000,0.0551,0.2896,-0.2338
2026-02-26,-1295.0000,3023.0000,518.8000,-1.2468,-0.1439,-1.1045
2026-02-27,-1528.0000,6574.0000,2416.4000,-1.2429,-2.0629,0.8372
2026-03-02,-5453.0000,4801.0000,-2572.4000,-1.5491,-1.9179,0.3760
2026-03-04,-9389.0000,-5911.0000,-12935.6000,1.1658,0.5533,0.6092
2026-03-05,-6168.0000,2314.0000,-4779.6000,-1.2737,-0.4421,-0.8353
2026-03-06,-4876.0000,2151.0000,-3585.4000,-1.7276,-2.3820,0.6704
2026-03-09,4864.0000,1916.0000,6013.6000,0.9720,1.0519,-0.0791
2026-03-10,-7455.0000,7896.0000,-2717.4000,-1.6271,-0.1226,-1.5063
2026-03-11,-4880.0000,4432.0000,-2220.8000,-0.9540,-0.8045,-0.1508
2026-03-12,-9599.0000,-5070.0000,-12641.0000,-2.0646,-0.7473,-1.3272
2026-03-13,-5870.0000,-3831.0000,-8168.6000,1.1131,-0.1512,1.2662
2026-03-16,-2429.0000,-2450.0000,-3899.0000,0.7363,0.3605,0.3744
2026-03-17,2798.0000,5898.0000,6336.8000,0.8339,0.2195,0.6131
2026-03-18,-4879.0000,3132.0000,-2999.8000,-3.2621,-2.4395,-0.8432
2026-03-19,-3999.0000,2642.0000,-2413.8000,0.4884,0.4695,0.0188
2026-03-20,-4189.0000,5751.0000,-738.4000,-2.6038,-1.2553,-1.3656
2026-03-23,-5981.0000,8248.0000,-1032.2000,1.7757,1.6249,0.1484
2026-03-24,-3081.0000,6439.0000,782.4000,1.7198,0.6634,1.0495
2026-03-25,-1608.0000,3623.0000,565.8000,-2.0889,-0.5702,-1.5274
2026-03-27,-3750.0000,3646.0000,-1562.4000,-2.1394,-1.1830,-0.9679
2026-03-30,-11163.0600,14894.7200,-2226.2280,1.5583,2.5417,-0.9590
2026-04-01,-8331.1500,7171.8000,-4028.0700,0.1486,-1.3051,1.4730
2026-04-02,-9931.1300,7208.4100,-5606.0840,1.1234,0.2959,0.8251
2026-04-07,-8692.1100,7979.5000,-3904.4100,3.7784,3.1634,0.5961
2026-04-09,-1711.1900,955.9000,-1137.6500,1.1588,0.4435,0.7121
2026-04-15,666.1500,-568.9800,324.7620,-0.1426,0.6351,-0.7728
2026-04-16,382.3600,-3427.7500,-1674.2900,0.6480,-0.1275,0.7765
2026-04-17,683.2000,-4721.4800,-2149.6880,0.0464,0.1558,-0.1093
2026-04-23,-3254.7100,941.3500,-2689.9000,-1.1380,-0.2999,-0.8406
2026-04-24,-8827.8700,4700.7100,-6007.4440,0.8149,0.1988,0.6149
2026-04-27,-1151.4800,4123.9200,1322.8720,-0.4026,-0.1776,-0.2254
2026-04-28,-2103.7400,1712.0100,-1076.5340,0.7583,0.4217,0.3351
2026-04-29,-2468.4200,2262.1700,-1111.1180,-0.7449,-0.7474,0.0025
2026-05-12,-1959.3900,7990.3200,2834.8020,0.1414,-0.0731,0.2147
2026-05-13,-4703.1500,5869.0500,-1181.7200,1.1831,0.5025,0.6772
2026-05-14,187.4600,684.3300,598.0580,-0.1946,0.1764,-0.3704
2026-05-15,1329.1700,-1958.8200,153.8780,0.0273,-0.6822,0.7144
2026-05-18,2813.6900,2682.1200,4422.9620,-0.1351,0.1072,-0.2420
2026-05-19,-2457.4900,3801.6800,-176.4820,0.1736,-0.6806,0.8601
2026-05-20,-1597.3500,1968.3500,-416.3400,-0.0182,0.7230,-0.7358
2026-05-21,-1891.2100,2492.4200,-395.7580,0.2731,0.0698,0.2032
2026-05-22,-4440.4700,6003.5300,-838.3520,1.3171,0.9315,0.3820
2026-05-25,821.7500,3856.8800,3135.8780,-0.4910,-0.1148,-0.3766
2026-05-26,-2407.8700,1361.4300,-1591.0120,-0.0274,-0.1395,0.1122
2026-05-27,-1042.7000,3821.0000,1249.9000,-1.5033,-0.0209,-1.4827
2026-05-29,-21105.8600,16764.1400,-11047.3760,-0.7013,0.4533,-1.1495
2026-06-01,-3911.6800,5109.1300,-846.2020,0.4317,-0.6563,1.0952
2026-06-02,-8362.9200,9589.3200,-2609.3280,-0.3319,-0.2879,-0.0442
2026-06-03,-5616.5600,5740.8900,-2172.0260,0.0468,-0.5262,0.5760
2026-06-04,-4447.0600,4360.1400,-1830.9760,-0.2129,0.2665,-0.4781
2026-06-05,-8776.2500,9133.5700,-3296.1080,-1.0429,-1.2240,0.1833
2026-06-08,-5555.6700,5165.2400,-2456.5260,0.5151,0.5884,-0.0729
2026-06-09,-4566.0300,6159.4800,-870.3420,-0.1168,-0.0351,-0.0818
2026-06-10,-2124.9800,3123.9500,-250.6100,-0.2298,-0.4762,0.2476
2026-06-11,-1987.0900,4224.5100,547.6160,1.9917,1.0835,0.8984
2026-06-12,-1082.1800,5341.2900,2122.5940,0.9779,1.5322,-0.5460
2026-06-15,200.0500,3189.2600,2113.6060,0.5670,0.2935,0.2727
2026-06-16,-749.1800,0.0600,-749.1440,0.4025,0.2307,0.1713
2026-06-17,101.5900,1561.4000,1038.4300,0.3417,-0.0494,0.3913
2026-06-18,-1025.2000,3516.8100,1084.8860,-0.6409,-0.7315,0.0913
2026-06-19,4859.0700,-1159.6400,4163.2860,0.3740,0.3894,-0.0153
2026-06-22,-635.9100,1035.7200,-14.4780,-1.1567,-0.1311,-1.0269
2026-06-23,17.8600,680.2100,425.9860,0.8292,-0.1188,0.9491
2026-06-24,-1843.4000,3637.2600,338.9560,0.1430,0.4338,-0.2895
2026-06-25,383.7600,5747.7500,3832.4100,-0.4562,0.0239,-0.4800
2026-06-29,-1350.1000,2801.4500,330.7700,-0.3362,0.3583,-0.6920
2026-06-30,-2556.7500,6842.3400,1548.6540,0.5870,0.1337,0.4528
2026-07-01,-1140.5000,3159.2400,755.0440,0.7075,0.2347,0.4717
2026-07-02,-311.8200,1784.4000,758.8200,0.3936,0.8271,-0.4299
2026-07-03,1355.3300,-1953.8900,182.9960,0.6572,0.1483,0.5081
2026-07-06,243.0300,3791.4200,2517.8820,-0.1296,0.1396,-0.2688
2026-07-07,393.1900,-383.4300,163.1320,-2.1175,-0.5703,-1.5561
2026-07-08,1962.8000,790.1600,2436.8960,0.3381,0.1964,0.1415
2026-07-09,-532.8600,2057.7900,701.8140,1.0187,0.6756,0.3407
