feature,ic_cc_dev2023_24,ic_oc_dev2023_24,ic_gap_dev2023_24,ic_5d_dev2023_24,ic_absy_dev2023_24,ic_cc_val2025,ic_oc_val2025,ic_gap_val2025,ic_5d_val2025,ic_absy_val2025,ic_cc_confirm2026,ic_oc_confirm2026,ic_gap_confirm2026,ic_5d_confirm2026,ic_absy_confirm2026
oc_pcr_oi,0.0887,0.0235,0.1334,-0.015,-0.1944,0.0351,-0.0476,0.1081,0.0317,-0.0565,0.0432,-0.0731,0.1255,0.0115,-0.0908
oc_pcr_doi,0.0489,0.0157,0.0516,-0.0111,-0.0465,0.0447,0.0019,0.0938,0.0206,0.037,-0.005,0.004,0.0386,-0.0052,0.129
oc_pcr_near_atm,0.0767,0.0366,0.0791,0.0546,-0.0174,0.074,0.0536,0.0529,0.082,0.0061,0.0622,-0.0474,0.1632,-0.0105,0.1445
oc_maxpain_dist_pct,0.074,-0.0048,0.156,0.0441,-0.1847,-0.0156,-0.1259,0.155,-0.0359,-0.0344,-0.0506,-0.1083,0.0239,-0.1138,-0.2241
oc_put_wall_dist_pct,-0.0321,-0.0381,-0.0541,-0.0413,-0.0156,0.0385,-0.0024,0.1085,0.0218,0.0586,-0.109,-0.0191,-0.1611,0.0569,0.1698
oc_call_wall_dist_pct,-0.071,-0.0625,-0.0602,-0.0417,0.0302,0.0103,0.0124,0.0662,0.0122,0.0427,-0.0751,-0.0075,-0.1018,0.0799,0.2469
oc_wall_build_pct,0.058,-0.0349,0.1492,0.1008,-0.0603,0.0354,-0.0314,0.0567,-0.0146,-0.0246,0.1026,-0.0147,0.1638,-0.1337,0.0312
oc_near_put_doi_pct,0.0284,-0.0532,0.1489,0.0022,-0.1129,0.0703,0.048,0.0263,0.0147,0.0239,0.0183,-0.1393,0.1584,-0.0057,-0.0265
oc_near_call_doi_pct,-0.0036,0.0505,-0.0744,-0.0223,0.0627,-0.0182,0.0206,-0.0167,0.0541,0.0246,0.0107,0.0505,-0.053,0.0379,0.194
oc_straddle_pct,-0.0346,-0.0669,0.0156,0.008,-0.0479,0.0563,0.0331,0.1045,0.0225,0.0133,-0.0508,0.0299,-0.0896,0.0813,0.1699
oc_dte_actual,-0.0629,-0.0811,-0.0063,-0.0383,-0.1148,0.0401,0.0191,0.0565,0.0034,-0.0645,-0.1046,-0.0807,-0.0307,0.0424,-0.047
oc_is_expiry,0.0902,0.1034,0.0301,0.0372,0.1054,-0.0413,-0.0119,-0.0965,-0.0248,0.1676,0.1232,0.081,0.0849,0.0062,-0.0324
oc_oi_total,0.051,0.0775,-0.0326,-0.0292,0.0732,-0.0287,-0.0494,0.0455,0.0481,-0.0454,0.1104,0.0218,0.0897,0.0675,-0.0232
