basis,period,n,up_pct,flat_pct,down_pct,majority_baseline_pct,majority_class,nonflat_up_share_pct
y_cc,full,757,42.14,21.14,36.72,42.14,UP,53.43
y_cc,dev2023_24,343,45.48,22.74,31.78,45.48,UP,58.87
y_cc,val2025,248,39.52,20.97,39.52,39.52,UP,50.0
y_cc,confirm2026,166,39.16,18.07,42.77,42.77,DOWN,47.79
y_oc,full,757,37.78,23.51,38.71,38.71,DOWN,49.4
y_oc,dev2023_24,343,36.15,27.11,36.73,36.73,DOWN,49.6
y_oc,val2025,248,39.52,18.55,41.94,41.94,DOWN,48.51
y_oc,confirm2026,166,38.55,23.49,37.95,38.55,UP,50.39
y_gap,full,757,40.03,35.54,24.44,40.03,UP,62.09
y_gap,dev2023_24,343,45.19,33.82,20.99,45.19,UP,68.28
y_gap,val2025,248,35.08,42.74,22.18,42.74,FLAT,61.27
y_gap,confirm2026,166,36.75,28.31,34.94,36.75,UP,51.26
y_5d,full,757,43.73,20.34,35.93,43.73,UP,54.89
y_5d,dev2023_24,343,50.44,20.12,29.45,50.44,UP,63.14
y_5d,val2025,248,41.53,22.98,35.48,41.53,UP,53.93
y_5d,confirm2026,166,33.13,16.87,50.0,50.0,DOWN,39.86
