part,flow,instr,gap_dev,gap_val,gap_conf,cc_dev,cc_val,cc_conf
v2,q,c4p4f2,62.56,54.93,57.14,41.4,43.15,42.77
pf6040,q,c2p2f6,62.56,57.75,57.98,45.77,41.53,46.39
pf6040,q,c4p4f2,62.11,56.34,57.98,41.11,42.74,43.98
pf5050,q,c4p4f2,62.11,58.45,59.66,41.4,42.34,45.18
pf5050,q,c2p2f6,62.11,57.75,56.3,43.73,39.52,46.39
pf6040c10n,q,c4p4f2,62.11,57.04,57.98,41.4,43.15,45.18
pf6040c10n,q,c2p2f6,61.67,57.75,59.66,44.31,41.94,46.39
v2,q,opt,61.67,54.23,55.46,41.11,41.94,42.77
pf6040,q,opt,61.67,53.52,54.62,41.69,41.53,42.17
pf6040c10n,q,opt,61.67,54.23,54.62,41.69,41.53,42.17
pf6040,r,opt,61.23,53.52,55.46,41.69,43.15,42.77
pf6040c10n,q,c3p3f4,61.23,57.04,60.5,45.19,43.55,47.59
pf5050,q,opt,61.23,54.93,53.78,41.69,43.15,42.17
v2,r,opt,61.23,54.23,56.3,41.69,43.15,42.77
pf5050,r,c2p2f6,61.23,56.34,56.3,42.57,39.11,46.99
v2,q,c3p3f4,60.79,57.04,57.14,43.15,41.53,43.98
v2,r,c3p3f4,60.79,57.04,58.82,42.57,42.34,45.18
pf6040,q,c3p3f4,60.79,57.04,57.98,44.02,41.53,46.99
pf6040,r,c4p4f2,60.79,57.75,59.66,40.23,43.15,44.58
pf6040c10n,r,c4p4f2,60.79,57.75,58.82,40.23,42.74,45.18
pf5050,r,c4p4f2,60.79,59.15,60.5,40.52,43.15,45.78
pf6040c10n,r,opt,60.79,54.23,55.46,41.11,43.55,42.77
pf5050,r,opt,60.79,54.93,53.78,41.4,43.95,42.17
pf5050,q,c3p3f4,60.35,56.34,58.82,43.73,39.52,47.59
pf6040,r,c2p2f6,60.35,56.34,58.82,41.98,43.55,45.78
v2,q,c2p2f6,60.35,58.45,57.98,42.86,41.13,45.18
pf5050,r,c3p3f4,59.91,55.63,59.66,43.44,39.92,48.19
v2,r,c4p4f2,59.91,57.04,57.98,39.65,43.55,43.37
pf6040c10n,r,c2p2f6,59.91,57.04,60.5,41.98,43.15,46.39
pf6040c10n,r,c3p3f4,59.47,57.75,60.5,41.69,43.55,46.99
pf6040,r,c3p3f4,59.47,57.04,58.82,41.69,43.15,46.99
fii_only,r,fut,58.59,50.7,55.46,40.82,39.52,45.78
fii_only,q,fut,58.59,50.7,55.46,40.82,39.52,45.78
v2,r,c2p2f6,58.15,54.93,57.98,41.69,41.13,44.58
fii_only,r,c2p2f6,58.15,52.11,57.14,41.11,40.32,45.78
fii_only,q,c2p2f6,58.15,52.82,56.3,40.82,39.92,45.18
fii_only,q,opt,57.71,52.11,57.98,41.4,45.97,43.98
v2,q,fut,56.39,51.41,55.46,44.61,38.71,42.17
fii_only,q,c3p3f4,56.39,53.52,56.3,41.4,40.73,44.58
fii_only,r,c3p3f4,56.39,52.82,57.14,40.82,39.92,45.78
fii_only,r,opt,56.39,52.11,57.98,41.98,45.16,43.98
pf6040c10n,q,fut,55.51,53.52,51.26,41.4,40.73,42.77
pf5050,q,fut,55.07,56.34,54.62,40.52,39.11,43.37
pf6040,q,fut,54.63,52.82,53.78,43.73,40.32,43.98
fii_only,q,c4p4f2,54.63,54.93,57.98,40.23,41.94,44.58
pf5050,r,fut,54.63,55.63,55.46,41.11,40.73,42.77
v2,r,fut,54.19,52.82,57.14,43.15,39.92,43.98
fii_only,r,c4p4f2,54.19,54.93,54.62,41.11,41.53,42.77
pf6040c10n,r,fut,53.3,48.59,53.78,40.82,39.92,42.77
pf6040,r,fut,52.42,52.11,53.78,41.4,41.13,43.98
