w_call,w_put,w_fut,dev_exact,dev_sign,val_sign,conf_sign,dev_score
0.7,0.3,0.9,39.07,59.34,52.21,55.56,51.232
1.0,0.0,0.4,41.11,57.77,51.25,49.55,51.105999999999995
0.5,0.0,0.2,41.11,57.77,51.25,49.55,51.105999999999995
0.3,0.0,1.0,40.52,57.95,50.36,54.81,50.97800000000001
0.4,0.0,0.2,40.52,57.92,51.59,49.53,50.96000000000001
0.6,0.0,0.3,40.52,57.92,51.59,49.53,50.96000000000001
0.8,0.0,0.4,40.52,57.92,51.59,49.53,50.96000000000001
1.0,0.2,0.5,40.52,57.92,52.32,50.52,50.96000000000001
1.0,0.0,0.5,40.52,57.92,51.59,49.53,50.96000000000001
0.2,0.0,0.1,40.52,57.92,51.59,49.53,50.96000000000001
0.8,0.0,0.3,41.11,57.49,50.62,50.0,50.938
0.8,0.2,0.7,39.07,58.85,50.7,52.53,50.938
0.8,0.3,1.0,38.48,59.24,52.63,54.55,50.93599999999999
0.5,0.2,0.6,38.19,59.34,52.31,55.56,50.879999999999995
1.0,0.3,0.9,39.07,58.73,50.71,53.61,50.866
0.5,0.2,0.9,38.48,59.09,52.24,55.24,50.846000000000004
1.0,0.1,0.5,41.11,57.28,51.9,49.5,50.812
0.1,0.0,0.3,40.52,57.65,49.29,55.24,50.798
0.2,0.0,0.6,40.52,57.65,49.29,55.24,50.798
0.3,0.0,0.9,40.52,57.65,49.29,55.24,50.798
0.8,0.3,0.8,39.36,58.33,51.85,54.55,50.742
0.6,1.0,0.9,39.36,58.29,56.93,54.17,50.717999999999996
0.9,0.0,0.5,40.23,57.71,52.53,50.48,50.717999999999996
0.3,0.1,0.5,38.78,58.66,52.24,54.81,50.708
0.6,0.2,1.0,38.78,58.66,52.24,54.81,50.708
0.7,0.0,0.3,40.82,57.28,50.63,49.09,50.696
0.4,0.1,0.7,37.9,59.22,51.11,54.29,50.69199999999999
0.7,0.3,0.8,38.48,58.79,52.27,55.56,50.666
1.0,0.1,0.8,39.94,57.79,50.34,51.55,50.65
1.0,0.1,0.7,39.94,57.79,51.61,50.51,50.65
0.9,0.1,0.7,39.94,57.79,50.68,51.02,50.65
0.6,0.2,0.6,38.48,58.73,52.21,54.08,50.629999999999995
0.3,0.1,0.3,38.48,58.73,52.21,54.08,50.629999999999995
0.7,0.2,0.6,38.48,58.73,51.06,53.61,50.629999999999995
1.0,0.3,1.0,38.48,58.73,51.11,53.54,50.629999999999995
0.9,0.3,0.9,38.48,58.73,52.21,54.08,50.629999999999995
0.8,0.1,0.6,39.94,57.71,50.99,50.52,50.602
0.2,0.0,0.7,40.23,57.44,50.36,55.24,50.556
0.9,0.4,1.0,38.78,58.38,52.24,55.1,50.54
0.8,0.1,0.4,40.82,57.0,52.23,49.0,50.52799999999999
0.6,1.0,1.0,39.07,58.15,57.35,54.64,50.518
0.3,0.5,0.5,39.07,58.15,57.35,54.64,50.518
0.9,0.2,0.8,38.78,58.33,50.71,52.04,50.51
0.9,0.1,0.4,40.23,57.35,50.96,48.54,50.501999999999995
0.9,0.3,0.8,39.07,58.12,51.06,54.17,50.5
0.5,0.7,0.7,37.9,58.89,57.66,54.08,50.494
0.5,0.8,0.7,38.78,58.29,56.72,54.17,50.486
0.9,0.1,0.6,39.94,57.5,51.92,50.51,50.476
0.9,0.0,0.4,40.52,57.07,50.94,50.0,50.45
0.5,0.8,0.8,38.78,58.15,57.66,54.64,50.402
0.8,0.1,0.7,39.07,57.95,50.0,50.52,50.398
0.5,0.1,0.4,39.07,57.95,51.03,52.04,50.398
1.0,0.2,0.8,39.07,57.95,51.03,52.04,50.398
0.6,0.2,0.5,38.78,58.12,51.41,54.17,50.384
1.0,0.4,0.9,39.36,57.73,51.8,54.08,50.382
0.7,0.2,0.7,38.19,58.51,51.09,52.48,50.38199999999999
0.5,0.0,0.3,40.23,57.14,51.59,51.46,50.376
0.7,0.0,0.4,40.23,57.14,52.2,50.48,50.376
1.0,0.0,0.6,40.23,57.14,51.59,51.46,50.376
0.7,0.2,0.4,39.65,57.5,52.0,53.61,50.36
0.7,0.1,0.6,39.36,57.65,50.69,51.04,50.333999999999996
0.5,0.1,0.5,39.07,57.81,50.35,51.52,50.314
0.8,0.3,0.7,39.07,57.81,52.14,54.64,50.314
1.0,0.2,1.0,39.07,57.81,50.35,51.52,50.314
0.6,0.2,0.7,38.19,58.38,51.49,54.64,50.304
0.7,0.1,0.8,38.19,58.38,51.05,50.0,50.304
0.8,0.3,0.9,38.19,58.38,51.91,55.1,50.304
0.8,0.1,0.5,39.94,57.21,51.92,50.51,50.302
0.8,0.2,0.4,39.36,57.58,51.66,51.02,50.291999999999994
