pro_mix,fii_mix,tilt,dev202_ex,dev202_sg,val202_ex,val202_sg,confir_ex,confir_sg
bal,bal,-0.1,45.19,58.49,43.55,55.1,47.59,58.09
bal,bal,0.0,44.02,56.98,41.53,52.55,46.99,57.35
bal,bal,0.1,43.73,56.6,41.13,52.04,46.39,56.62
futonly,futonly,0.0,43.73,56.6,40.32,51.02,43.98,53.68
fut,fut,0.1,43.15,55.85,41.13,52.04,45.18,55.15
futonly,fut,0.0,42.57,55.09,41.13,52.04,44.58,54.41
bal,opt,0.1,42.27,54.72,43.95,55.61,46.39,56.62
bal,opt,0.0,42.27,54.72,43.15,54.59,45.18,55.15
fut,fut,0.0,42.27,54.72,40.32,51.02,45.78,55.88
bal,fut,0.1,42.27,54.72,39.92,50.51,49.4,60.29
futonly,fut,0.1,42.27,54.72,41.53,52.55,45.18,55.15
futonly,futonly,0.1,42.27,54.72,39.92,50.51,43.37,52.94
fut,futonly,0.1,41.98,54.34,39.11,49.49,46.39,56.62
fut,futonly,0.0,41.98,54.34,41.13,52.04,43.98,53.68
futonly,fut,-0.1,41.98,54.34,41.94,53.06,43.98,53.68
opt,futonly,-0.1,41.98,54.34,39.11,49.49,45.78,55.88
fut,fut,-0.1,41.98,54.34,41.94,53.06,44.58,54.41
bal,futonly,-0.1,41.98,54.34,38.71,48.98,48.8,59.56
futonly,futonly,-0.1,41.98,54.34,41.94,53.06,42.77,52.21
opt,fut,-0.1,41.69,53.96,40.73,51.53,46.39,56.62
bal,fut,0.0,41.69,53.96,38.31,48.47,48.8,59.56
fut,futonly,-0.1,41.69,53.96,39.92,50.51,44.58,54.41
bal,futonly,0.0,41.69,53.96,37.9,47.96,48.8,59.56
bal,fut,-0.1,41.69,53.96,37.9,47.96,48.8,59.56
opt,futonly,0.0,41.4,53.58,39.52,50.0,45.78,55.88
bal,opt,-0.1,41.4,53.58,43.95,55.61,43.37,52.94
opt,bal,-0.1,41.4,53.58,40.73,51.53,45.78,55.88
opt,futonly,0.1,41.11,53.21,39.52,50.0,46.99,57.35
opt,opt,-0.1,41.11,53.21,42.34,53.57,43.98,53.68
opt,opt,0.1,40.82,52.83,42.74,54.08,42.77,52.21
opt,fut,0.0,40.82,52.83,40.32,51.02,47.59,58.09
opt,fut,0.1,40.82,52.83,40.32,51.02,47.59,58.09
fut,bal,0.1,40.82,52.83,44.76,56.63,45.78,55.88
bal,futonly,0.1,40.82,52.83,37.5,47.45,48.19,58.82
opt,opt,0.0,40.52,52.45,42.74,54.08,43.37,52.94
opt,bal,0.1,40.52,52.45,40.73,51.53,46.39,56.62
futonly,bal,0.0,40.52,52.45,42.34,53.57,41.57,50.74
futonly,bal,-0.1,40.52,52.45,41.53,52.55,42.77,52.21
futonly,opt,0.0,40.52,52.45,41.94,53.06,40.36,49.26
fut,opt,0.0,40.23,52.08,41.13,52.04,40.96,50.0
opt,bal,0.0,39.94,51.7,40.73,51.53,45.18,55.15
futonly,opt,0.1,39.94,51.7,42.74,54.08,40.36,49.26
fut,opt,0.1,39.65,51.32,41.53,52.55,43.98,53.68
fut,opt,-0.1,39.65,51.32,41.94,53.06,40.96,50.0
fut,bal,-0.1,39.65,51.32,42.34,53.57,43.98,53.68
futonly,bal,0.1,39.36,50.94,41.94,53.06,43.98,53.68
fut,bal,0.0,39.07,50.57,41.13,52.04,44.58,54.41
futonly,opt,-0.1,38.48,49.81,41.94,53.06,39.16,47.79
