w_pro,w_fii,w_contra,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign,conf_sign_n,dev_score
0.25,0.2,-0.3,23.62,1.75,80.0,22.18,42.86,19.28,50.0,6,57.448
0.25,0.25,-0.25,24.49,2.33,75.0,22.18,80.0,18.67,50.0,4,54.796
0.15,0.15,-0.15,24.49,2.33,75.0,22.18,80.0,18.67,50.0,4,54.796
0.2,0.2,-0.2,24.49,2.33,75.0,22.18,80.0,18.67,50.0,4,54.796
0.05,0.05,-0.05,24.49,2.33,75.0,22.18,80.0,18.67,50.0,4,54.796
0.3,0.3,-0.3,24.49,2.33,75.0,22.18,80.0,18.67,50.0,4,54.796
0.1,0.1,-0.1,24.49,2.33,75.0,22.18,80.0,18.67,50.0,4,54.796
0.2,0.2,-0.25,23.62,1.17,75.0,21.37,40.0,18.07,33.33,3,54.448
0.25,0.35,-0.3,23.62,1.17,75.0,21.77,75.0,19.28,60.0,5,54.448
0.2,0.25,-0.3,23.91,2.33,71.43,22.18,44.44,18.67,20.0,5,52.422000000000004
0.3,0.2,-0.25,24.49,4.66,69.23,23.79,80.0,18.67,75.0,4,51.334
0.25,0.2,-0.2,24.49,6.12,68.75,24.19,76.92,19.88,70.0,10,51.046
0.55,1.0,-0.3,30.32,32.07,63.86,34.27,55.56,28.92,50.0,64,50.443999999999996
0.4,0.75,-0.2,32.07,36.15,62.5,35.48,57.3,30.12,50.72,69,50.328
0.1,0.2,-0.05,32.07,38.48,62.38,34.27,56.82,31.33,51.39,72,50.256
0.5,1.0,-0.25,32.07,38.48,62.38,34.27,56.82,31.33,51.39,72,50.256
0.4,0.8,-0.2,32.07,38.48,62.38,34.27,56.82,31.33,51.39,72,50.256
0.2,0.4,-0.1,32.07,38.48,62.38,34.27,56.82,31.33,51.39,72,50.256
0.3,0.6,-0.15,32.07,38.48,62.38,34.27,56.82,31.33,51.39,72,50.256
0.3,0.5,-0.15,30.61,33.53,63.22,35.89,57.47,29.52,50.0,66,50.175999999999995
0.4,0.65,-0.2,30.61,33.53,63.22,35.48,57.65,28.92,49.23,65,50.175999999999995
0.6,1.0,-0.3,30.61,33.53,63.22,35.89,57.47,29.52,50.0,66,50.175999999999995
0.5,0.85,-0.25,30.61,33.53,63.22,35.89,57.47,29.52,50.0,66,50.175999999999995
0.5,0.95,-0.25,32.07,37.03,62.24,35.08,57.3,29.52,50.0,68,50.172000000000004
0.45,0.0,0.2,39.65,76.09,57.14,39.11,53.9,37.95,52.34,107,50.144
0.25,0.25,-0.15,27.99,22.16,64.91,29.84,56.0,25.3,48.78,41,50.141999999999996
0.5,0.5,-0.3,27.99,22.16,64.91,29.84,56.0,25.3,48.78,41,50.141999999999996
0.6,0.05,0.2,39.36,74.64,57.29,39.11,54.61,36.75,51.43,105,50.117999999999995
0.75,0.05,0.25,39.36,74.64,57.29,39.11,54.61,37.35,51.89,106,50.117999999999995
0.5,0.05,0.15,39.36,74.64,57.29,39.11,54.61,36.75,51.92,104,50.117999999999995
1.0,0.1,0.3,39.36,74.64,57.29,39.11,54.61,36.75,51.92,104,50.117999999999995
0.4,0.85,-0.2,32.36,39.94,61.9,34.27,56.18,31.93,52.0,75,50.084
0.7,0.95,-0.3,31.78,37.32,62.24,35.48,56.67,28.31,49.23,65,50.056000000000004
0.45,0.05,0.15,39.07,74.93,57.29,39.11,54.61,36.75,51.92,104,50.001999999999995
0.7,0.1,0.25,39.07,74.93,57.29,38.71,54.97,37.35,52.38,105,50.001999999999995
0.95,0.1,0.3,39.07,74.93,57.29,39.11,54.61,36.75,51.92,104,50.001999999999995
0.65,0.1,0.2,39.07,74.93,57.29,38.71,54.97,37.35,52.38,105,50.001999999999995
0.95,0.15,0.3,39.07,74.93,57.29,38.31,54.67,37.35,52.38,105,50.001999999999995
0.8,0.05,0.25,39.07,74.93,57.29,39.11,54.25,37.35,51.89,106,50.001999999999995
0.9,0.1,0.3,39.07,74.93,57.29,39.11,54.61,36.75,51.92,104,50.001999999999995
1.0,0.15,0.3,39.07,74.93,57.29,39.11,54.97,36.75,51.92,104,50.001999999999995
0.75,0.1,0.25,39.07,74.93,57.29,38.71,54.61,37.95,52.83,106,50.001999999999995
0.85,0.1,0.3,39.07,74.93,57.29,38.71,54.61,37.95,52.83,106,50.001999999999995
0.85,0.1,0.25,39.07,74.93,57.29,39.11,54.61,36.75,51.92,104,50.001999999999995
0.8,0.1,0.25,39.07,74.93,57.29,39.11,54.61,36.75,51.92,104,50.001999999999995
0.45,0.0,0.25,39.65,76.38,56.86,39.11,54.19,37.95,52.34,107,49.976
0.35,0.0,0.2,39.65,76.38,56.86,39.11,54.55,37.95,52.34,107,49.976
0.55,0.7,-0.25,30.9,34.99,62.64,34.68,55.42,28.31,50.79,63,49.943999999999996
0.7,0.05,0.25,39.36,74.93,57.0,39.11,54.61,37.35,51.89,106,49.943999999999996
0.65,0.05,0.2,39.36,74.93,57.0,39.11,54.61,36.75,51.43,105,49.943999999999996
0.85,0.05,0.3,39.36,74.93,57.0,39.11,54.61,37.35,51.89,106,49.943999999999996
