config,thr,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign
v2,0.0,41.4,100.0,53.58,43.15,54.59,42.77,52.21
v2,0.025,40.52,91.55,53.69,43.95,54.3,43.98,54.26
v2,0.05,39.65,84.84,55.11,41.53,53.71,42.17,54.55
v2,0.075,38.78,77.55,55.07,39.52,54.04,39.76,53.15
v2,0.1,37.9,72.3,56.25,37.5,54.55,37.95,53.0
v2,0.125,34.99,66.76,56.65,36.69,53.85,36.14,54.44
v2,0.15,34.11,59.77,57.42,34.68,54.87,34.34,52.38
v2,0.175,31.78,52.19,56.72,34.68,56.31,31.93,50.63
v2,0.2,32.07,45.48,56.67,34.27,58.06,31.93,51.32
v2,0.225,32.07,41.69,57.66,34.68,57.78,29.52,51.47
v2,0.25,31.49,37.03,57.0,32.26,57.53,29.52,50.82
v2,0.275,30.9,32.65,60.92,30.24,56.25,27.71,48.21
v2,0.3,29.74,26.82,61.11,30.65,55.93,27.71,51.02
v2,0.325,28.57,22.74,60.66,30.65,58.18,27.71,51.06
v2,0.35,28.86,20.7,61.4,27.82,56.1,27.11,51.22
v2,0.375,27.7,18.08,61.22,26.61,57.58,25.3,50.0
v2,0.4,26.24,14.58,63.16,26.61,60.0,24.1,50.0
v2,0.425,25.36,11.37,60.0,25.81,60.0,24.1,50.0
v2,0.45,25.66,10.2,60.71,24.6,60.0,21.08,42.86
v2,0.475,24.78,8.16,59.09,23.79,58.82,19.88,43.75
v2,0.5,24.2,7.0,52.63,21.37,44.44,19.28,46.15
v2_fresh,0.0,39.65,100.0,51.32,43.55,55.1,43.37,52.94
v2_fresh,0.025,40.52,93.88,52.59,44.35,54.79,42.77,53.08
v2_fresh,0.05,40.82,88.34,54.66,42.74,53.93,43.37,54.84
v2_fresh,0.075,39.07,83.67,54.5,40.32,53.99,40.36,54.39
v2_fresh,0.1,37.9,74.05,55.33,38.31,54.11,39.76,54.81
v2_fresh,0.125,37.9,71.14,55.79,37.9,53.62,38.55,54.17
v2_fresh,0.15,36.15,66.47,56.57,36.69,56.56,34.94,51.69
v2_fresh,0.175,33.53,60.64,55.06,35.89,57.27,32.53,50.6
v2_fresh,0.2,32.36,53.35,55.4,35.08,56.31,32.53,51.95
v2_fresh,0.225,32.36,49.56,56.15,35.08,58.33,31.33,52.78
v2_fresh,0.25,30.61,44.9,53.39,33.87,56.47,31.33,52.94
v2_fresh,0.275,30.32,39.36,54.81,29.84,52.78,30.12,52.38
v2_fresh,0.3,30.32,34.69,57.61,29.44,53.73,28.31,50.0
v2_fresh,0.325,31.2,30.32,58.33,30.24,53.97,27.11,50.98
v2_fresh,0.35,30.9,27.11,59.21,28.63,50.94,25.9,50.0
v2_fresh,0.375,30.03,24.2,58.82,28.23,54.35,26.51,50.0
v2_fresh,0.4,28.57,20.99,58.62,27.42,54.76,25.9,47.62
v2_fresh,0.425,27.99,16.91,61.7,28.23,61.11,26.51,50.0
v2_fresh,0.45,27.7,14.29,65.0,27.42,62.5,24.1,50.0
v2_fresh,0.475,25.95,11.95,62.5,26.21,57.14,22.29,48.0
v2_fresh,0.5,24.78,9.04,52.0,25.0,56.52,20.48,45.0
fii_only,0.0,40.23,100.0,52.08,41.94,53.06,44.58,54.41
fii_only,0.025,39.07,90.96,53.33,43.15,54.35,43.98,55.04
fii_only,0.05,37.9,82.22,52.51,42.34,53.8,41.57,54.55
fii_only,0.075,37.9,72.89,54.87,41.53,53.46,39.76,54.55
fii_only,0.1,37.9,65.01,54.49,39.92,54.01,37.95,53.47
fii_only,0.125,36.15,57.43,56.77,37.1,53.72,36.14,53.68
fii_only,0.15,33.24,46.65,55.56,35.89,56.07,35.54,56.47
fii_only,0.175,30.61,39.36,54.29,33.47,55.81,33.13,54.55
fii_only,0.2,29.15,31.49,56.63,31.05,56.16,28.92,50.75
fii_only,0.225,27.41,22.16,55.93,29.84,55.0,27.71,49.21
fii_only,0.25,25.95,18.37,54.17,29.03,54.9,27.11,45.45
fii_only,0.275,23.32,12.54,50.0,28.23,57.78,27.71,47.92
fii_only,0.3,22.74,9.33,45.45,27.42,56.76,28.31,51.11
fii_only,0.325,22.45,7.0,43.75,26.61,60.71,26.51,51.28
fii_only,0.35,23.32,4.08,60.0,25.4,60.87,25.9,52.94
fii_only,0.375,22.74,1.75,50.0,24.6,60.0,25.9,53.57
fii_only,0.4,22.45,1.17,50.0,25.0,68.75,25.3,54.17
fii_only,0.425,22.45,1.17,50.0,23.39,63.64,24.1,50.0
fii_only,0.45,22.45,1.17,50.0,21.77,50.0,23.49,47.37
fii_only,0.475,23.03,0.58,50.0,21.77,50.0,23.49,56.25
fii_only,0.5,23.03,0.58,50.0,21.77,60.0,22.29,53.85
pro_fii_5050,0.0,41.4,100.0,53.58,42.34,53.57,45.18,55.15
pro_fii_5050,0.025,40.82,90.38,54.36,41.94,54.44,45.18,55.12
pro_fii_5050,0.05,38.48,78.13,54.07,40.73,53.89,45.18,56.2
pro_fii_5050,0.075,36.15,71.43,53.97,37.1,52.74,40.36,54.63
pro_fii_5050,0.1,33.82,62.68,56.17,36.29,54.62,36.75,52.69
pro_fii_5050,0.125,33.24,55.1,57.34,35.08,55.65,34.34,53.01
pro_fii_5050,0.15,30.9,48.4,56.45,35.48,56.44,31.33,51.35
pro_fii_5050,0.175,31.2,42.57,57.66,33.87,53.85,30.12,49.3
pro_fii_5050,0.2,31.49,35.28,60.64,33.06,57.33,28.31,49.23
pro_fii_5050,0.225,29.74,29.74,61.54,31.85,57.58,26.51,46.43
pro_fii_5050,0.25,27.99,23.32,60.66,30.24,60.0,25.9,48.0
pro_fii_5050,0.275,27.41,20.41,62.26,29.44,60.0,25.9,50.0
pro_fii_5050,0.3,27.11,17.78,61.7,28.23,60.53,27.11,50.0
pro_fii_5050,0.325,26.53,14.58,61.54,26.61,58.62,25.3,53.12
pro_fii_5050,0.35,25.07,9.91,61.54,25.81,57.69,22.29,45.83
pro_fii_5050,0.375,24.49,8.45,59.09,25.0,59.09,21.08,40.91
pro_fii_5050,0.4,23.91,6.12,47.06,23.39,64.29,21.08,47.37
pro_fii_5050,0.425,23.62,4.37,50.0,22.18,60.0,19.88,46.67
pro_fii_5050,0.45,23.32,3.5,55.56,21.77,66.67,18.67,45.45
pro_fii_5050,0.475,22.74,2.62,50.0,21.37,60.0,19.88,50.0
pro_fii_5050,0.5,22.16,1.46,50.0,21.37,66.67,20.48,66.67
