config,dev202_tests,dev202_hold,val202_tests,val202_hold,confir_tests,confir_hold,full_tests,full_hold
nearest|w=0.0|argmax,210,50.0,182,50.55,108,50.0,501,50.3
nearest|w=0.0|top3nearest,346,54.05,256,46.48,138,55.8,741,51.82
nearest|w=0.25|argmax,214,51.4,176,49.43,101,53.47,492,51.22
nearest|w=0.25|top3nearest,335,54.03,252,45.63,140,53.57,728,51.1
nearest|w=0.5|argmax,199,52.76,159,48.43,92,50.0,450,50.67
nearest|w=0.5|top3nearest,325,52.62,246,45.53,139,50.36,711,49.79
nearest|w=0.6|argmax,189,53.97,147,49.66,82,50.0,418,51.67
nearest|w=0.6|top3nearest,323,52.01,239,45.19,139,49.64,702,49.29
nearest|w=0.75|argmax,175,54.29,122,49.18,83,48.19,380,51.32
nearest|w=0.75|top3nearest,306,50.0,227,44.93,137,48.18,671,47.99
nearest|w=1.0|argmax,164,54.88,109,44.04,70,48.57,343,50.15
nearest|w=1.0|top3nearest,284,48.59,206,45.63,130,49.23,621,47.83
all|w=0.0|argmax,212,49.06,174,48.28,97,48.45,484,48.76
all|w=0.0|top3nearest,355,54.93,266,46.99,148,52.7,770,51.82
all|w=0.25|argmax,209,50.24,162,47.53,88,48.86,459,49.02
all|w=0.25|top3nearest,347,53.89,256,45.7,142,52.82,746,50.94
all|w=0.5|argmax,185,52.97,132,49.24,74,48.65,391,50.9
all|w=0.5|top3nearest,327,53.21,234,46.15,140,52.86,702,50.85
all|w=0.6|argmax,164,54.27,123,48.78,69,52.17,356,51.97
all|w=0.6|top3nearest,315,52.38,226,46.02,132,50.76,674,50.0
all|w=0.75|argmax,140,52.86,89,47.19,63,52.38,292,51.03
all|w=0.75|top3nearest,292,50.0,222,47.75,125,51.2,640,49.53
all|w=1.0|argmax,109,55.05,70,45.71,51,56.86,230,52.61
all|w=1.0|top3nearest,259,48.26,176,47.73,110,53.64,546,49.27
