protocol,block,model,period,n,exact,baseline,cov,sign,sign_n
walkforward,F1_index_q,logreg,dev2023_24,91,32.97,36.26,74.73,46.0,50
walkforward,F1_index_q,logreg,val2025,248,34.68,39.52,64.52,53.97,126
walkforward,F1_index_q,logreg,confirm2026,166,34.94,42.77,65.66,53.93,89
walkforward,F1_index_q,gbt,dev2023_24,91,34.07,36.26,82.42,50.0,54
walkforward,F1_index_q,gbt,val2025,248,40.32,39.52,87.1,54.39,171
walkforward,F1_index_q,gbt,confirm2026,166,42.77,42.77,93.37,55.56,126
walkforward,F1_index_q,ridge,dev2023_24,91,31.87,36.26,91.21,47.46,59
walkforward,F1_index_q,ridge,val2025,248,41.13,39.52,91.13,53.33,180
walkforward,F1_index_q,ridge,confirm2026,166,34.34,42.77,89.16,45.83,120
walkforward,F2_+fresh+sums,logreg,dev2023_24,91,31.87,36.26,71.43,43.75,48
walkforward,F2_+fresh+sums,logreg,val2025,248,33.06,39.52,58.06,52.63,114
walkforward,F2_+fresh+sums,logreg,confirm2026,166,36.75,42.77,66.87,52.69,93
walkforward,F2_+fresh+sums,gbt,dev2023_24,91,27.47,36.26,89.01,37.29,59
walkforward,F2_+fresh+sums,gbt,val2025,248,39.52,39.52,91.13,54.55,176
walkforward,F2_+fresh+sums,gbt,confirm2026,166,34.34,42.77,89.76,46.67,120
walkforward,F2_+fresh+sums,ridge,dev2023_24,91,36.26,36.26,97.8,49.23,65
walkforward,F2_+fresh+sums,ridge,val2025,248,41.53,39.52,93.55,52.97,185
walkforward,F2_+fresh+sums,ridge,confirm2026,166,43.98,42.77,88.55,57.02,121
walkforward,F3_+stock,logreg,dev2023_24,91,37.36,36.26,57.14,64.86,37
walkforward,F3_+stock,logreg,val2025,248,30.24,39.52,55.65,49.07,108
walkforward,F3_+stock,logreg,confirm2026,166,31.33,42.77,73.49,45.45,99
walkforward,F3_+stock,gbt,dev2023_24,91,29.67,36.26,81.32,40.74,54
walkforward,F3_+stock,gbt,val2025,248,38.31,39.52,89.52,50.57,176
walkforward,F3_+stock,gbt,confirm2026,166,33.13,42.77,98.8,41.04,134
walkforward,F3_+stock,ridge,dev2023_24,91,43.96,36.26,98.9,61.54,65
walkforward,F3_+stock,ridge,val2025,248,38.71,39.52,96.37,49.74,189
walkforward,F3_+stock,ridge,confirm2026,166,38.55,42.77,95.18,48.84,129
walkforward,F4_+price,logreg,dev2023_24,91,37.36,36.26,61.54,58.54,41
walkforward,F4_+price,logreg,val2025,248,37.1,39.52,70.56,56.93,137
walkforward,F4_+price,logreg,confirm2026,166,39.76,42.77,80.12,57.94,107
walkforward,F4_+price,gbt,dev2023_24,91,27.47,36.26,84.62,42.59,54
walkforward,F4_+price,gbt,val2025,248,38.71,39.52,89.11,52.3,174
walkforward,F4_+price,gbt,confirm2026,166,36.75,42.77,96.39,46.92,130
walkforward,F4_+price,ridge,dev2023_24,91,34.07,36.26,98.9,47.69,65
walkforward,F4_+price,ridge,val2025,248,43.95,39.52,98.79,55.67,194
