band,model,period,exact,sign,sign_n
0.1,v2,dev2023_24,37.03,54.98,211
0.1,v2,val2025,39.11,54.78,157
0.1,v2,confirm2026,37.35,51.82,110
0.1,v3c,dev2023_24,48.98,56.95,295
0.1,v3c,val2025,47.98,55.87,213
0.1,v3c,confirm2026,50.6,55.63,151
0.15,v2,dev2023_24,37.9,56.25,192
0.15,v2,val2025,37.9,54.86,144
0.15,v2,confirm2026,37.95,53.0,100
0.15,v3c,dev2023_24,45.19,58.49,265
0.15,v3c,val2025,43.55,55.1,196
0.15,v3c,confirm2026,47.59,58.09,136
0.2,v2,dev2023_24,37.03,56.57,175
0.2,v2,val2025,36.69,55.73,131
0.2,v2,confirm2026,37.95,53.68,95
0.2,v3c,dev2023_24,41.98,59.5,242
0.2,v3c,val2025,40.32,55.56,180
0.2,v3c,confirm2026,45.78,58.91,129
