feature,ic_cc_dev,ic_oc_dev,ic_cc_val,ic_oc_val,ic_cc_confirm,ic_oc_confirm,signacc_p50_dev,signacc_n_dev,signacc_p50_val,signacc_n_val,signacc_p50_confirm,signacc_n_confirm,abs_ic_dev
Pro_icall_rflow_sum3,0.1628,0.0873,0.0008,-0.0277,0.0155,-0.0087,60.63,127,51.4,107,52.46,61,0.1628
Client_icall_rflow_sum3,-0.1611,-0.098,0.0609,0.0616,-0.0364,-0.0016,40.16,127,52.94,102,52.46,61,0.1611
DII_ifut_ds,-0.1604,-0.1746,-0.0427,-0.0465,-0.0445,-0.0646,40.88,137,46.67,120,47.3,74,0.1604
Pro_icall_qflow_sum3,0.1534,0.0813,0.041,0.0079,0.0473,0.0009,60.0,130,53.7,108,51.72,58,0.1534
Pro_index_rflow_sum5,0.1505,0.0425,0.1285,0.0313,-0.0274,-0.123,64.29,126,60.29,68,46.34,41,0.1505
Pro_icall_rflow_sum5,0.1467,0.0649,0.0332,-0.017,0.0208,-0.0859,63.91,133,48.28,87,55.81,43,0.1467
Pro_ifut_lvl,0.1438,0.0735,0.009,-0.0287,0.0474,0.0178,55.88,136,52.44,82,50.82,61,0.1438
Pro_index_rflow_sum3,0.1434,0.0417,0.0375,-0.0331,0.0302,-0.0285,59.17,120,55.17,87,49.23,65,0.1434
Client_icall_rflow_sum2,-0.1407,-0.0425,0.0484,0.0349,-0.0212,-0.0326,41.27,126,51.43,105,51.47,68,0.1407
Pro_index_rflow_sum2,0.1398,0.0073,0.0807,-0.0061,0.0614,-0.0025,58.27,127,53.68,95,49.25,67,0.1398
Pro_icall_dvol,0.137,0.0421,0.0902,0.0427,0.0927,-0.0241,55.3,132,55.78,147,50.54,93,0.137
Client_icall_qflow_sum3,-0.1355,-0.0932,0.0057,0.0058,-0.0647,-0.0005,42.19,128,47.9,119,46.58,73,0.1355
DII_scall_rflow_sum5,0.1341,0.1059,-0.0093,-0.0036,0.116,0.0947,55.73,131,47.12,104,57.14,84,0.1341
Client_scall_rflow_sum5,-0.1325,-0.1004,-0.0198,0.0126,-0.1175,-0.0695,38.81,134,52.33,86,41.43,70,0.1325
