feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
Client_sput_rflow_sum3,-0.052585,-1,up_tail,0.9,0.05263075,,35,10.2,45.71,25,64.0,35,0,16,6.45,62.5,13,76.92,16,0,11,6.63,81.82,11,81.82,11,0,62.5,76.92,6.54
px_rv20_chg15,0.059954,1,up_tail,0.85,4.816894476000002,,47,13.7,55.32,35,74.29,47,0,15,6.05,60.0,12,75.0,15,0,30,18.07,63.33,26,73.08,30,0,60.0,73.08,12.06
pro_fii_agreement_v3inst_lvl_sum7,0.070948,1,up_tail,0.9,7.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_sum7,0.070948,1,up_tail,0.925,7.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_sum7,0.070948,1,up_tail,0.95,7.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_mean7,0.075674,1,up_tail,0.9,1.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_mean7,0.075674,1,up_tail,0.925,1.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_mean7,0.075674,1,up_tail,0.95,1.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_posdays7,0.076126,1,up_tail,0.9,1.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_posdays7,0.076126,1,up_tail,0.925,1.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
pro_fii_agreement_v3inst_lvl_posdays7,0.076126,1,up_tail,0.95,1.0,,35,10.2,51.43,28,64.29,35,0,32,12.9,71.88,31,74.19,32,0,11,6.63,63.64,10,70.0,11,0,63.64,70.0,9.765
Client_sput_rflow_sum3,-0.052585,-1,up_tail,0.85,0.04264043,,52,15.16,46.15,39,61.54,52,0,29,11.69,48.28,20,70.0,29,0,13,7.83,69.23,12,75.0,13,0,48.28,70.0,9.76
