feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct,dev_minus_confirm_exact_pct
Pro_v3inst_rflow_chg7,0.129854,1,up_tail,0.925,0.027271547375,,26,7.58,73.08,23,82.61,26,0,10,4.03,40.0,9,44.44,10,0,14,8.43,14.29,12,16.67,14,0,14.29,16.67,6.23,58.79
Pro_optheavy_lvl,0.111804,1,up_tail,0.925,0.011480553350000002,,26,7.58,73.08,23,82.61,26,0,137,55.24,37.23,108,47.22,137,0,105,63.25,36.19,83,45.78,105,0,36.19,45.78,59.245000000000005,36.89
Client_icall_qflow_mean7,-0.164881,-1,up_tail,0.9,0.006034585714285712,,35,10.2,71.43,31,80.65,35,0,34,13.71,52.94,28,64.29,34,0,25,15.06,36.0,20,45.0,25,0,36.0,45.0,14.385000000000002,35.43000000000001
Client_icall_qflow_sum7,-0.16371,-1,up_tail,0.9,0.042242099999999984,,35,10.2,71.43,31,80.65,35,0,34,13.71,52.94,28,64.29,34,0,25,15.06,36.0,20,45.0,25,0,36.0,45.0,14.385000000000002,35.43000000000001
oc_pcr_near_atm_z21,0.092233,1,up_tail,0.9,1.2530620586620125,,34,9.91,70.59,31,77.42,34,0,31,12.5,38.71,22,54.55,31,0,19,11.45,36.84,16,43.75,19,0,36.84,43.75,11.975,33.75
DII_v2inst_lvl,0.127871,1,up_tail,0.925,0.013980740100000003,,26,7.58,73.08,24,79.17,26,0,218,87.9,40.37,173,50.87,218,0,164,98.8,39.63,135,48.15,164,0,39.63,48.15,93.35,33.449999999999996
Pro_v3inst_rflow,0.117984,1,up_tail,0.925,0.018296270150000002,,26,7.58,73.08,20,95.0,26,0,13,5.24,46.15,10,60.0,13,0,10,6.02,40.0,7,57.14,10,0,40.0,57.14,5.63,33.08
pro_fii_spread_v2inst_rflow,0.074514,1,up_tail,0.9,0.018740888400000003,,35,10.2,71.43,32,78.12,35,0,13,5.24,46.15,11,54.55,13,0,15,9.04,40.0,10,60.0,15,0,40.0,54.55,7.14,31.430000000000007
Pro_scall_lvl_z21,-0.079529,-1,up_tail,0.925,1.3390032031282333,,26,7.58,73.08,23,82.61,26,0,28,11.29,32.14,20,45.0,28,0,16,9.64,43.75,12,58.33,16,0,32.14,45.0,10.465,29.33
Pro_scall_lvl_z63,-0.045581,-1,up_tail,0.925,1.3079629495055038,,25,7.29,72.0,20,90.0,25,0,21,8.47,38.1,15,53.33,21,0,11,6.63,45.45,9,55.56,11,0,38.1,53.33,7.550000000000001,26.549999999999997
Client_optheavy_lvl_mean21,0.123839,1,up_tail,0.9,-0.0038320607833333335,,34,9.91,70.59,30,80.0,34,0,22,8.87,9.09,13,15.38,22,0,20,12.05,45.0,17,52.94,20,0,9.09,15.38,10.46,25.590000000000003
Client_optheavy_lvl_sum21,0.124464,1,up_tail,0.9,-0.08047327645,,34,9.91,70.59,30,80.0,34,0,22,8.87,9.09,13,15.38,22,0,20,12.05,45.0,17,52.94,20,0,9.09,15.38,10.46,25.590000000000003
smart_optheavy_lvl_posdays21,-0.137113,-1,up_tail,0.95,-0.42857142857142855,,24,7.0,70.83,21,80.95,24,0,27,10.89,44.44,24,50.0,27,0,60,36.14,46.67,52,53.85,60,0,44.44,50.0,23.515,24.159999999999997
oc_pcr_oi_chg4,0.135888,1,up_tail,0.925,0.44984665,,26,7.58,73.08,23,82.61,26,0,18,7.26,27.78,11,45.45,18,0,14,8.43,50.0,12,58.33,14,0,27.78,45.45,7.845,23.08
px_atr5_sum15,0.041493,1,up_tail,0.9,0.7999349069999999,,34,9.91,70.59,29,82.76,34,0,0,0.0,,0,,0,0,25,15.06,48.0,22,54.55,25,0,48.0,54.55,7.53,22.590000000000003
