feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
Client_sfut_rflow_sum4,0.037871,1,up_tail,0.925,0.02506410325000002,,26,7.58,53.85,24,58.33,26,0,1,0.4,100.0,1,100.0,1,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.5
Client_sfut_rflow_mean4,0.035584,1,up_tail,0.925,0.006266025812500005,,26,7.58,53.85,24,58.33,26,0,1,0.4,100.0,1,100.0,1,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.5
Client_sput_lvl_sum4,-0.057602,-1,up_tail,0.9,0.9154141580000004,,35,10.2,60.0,28,75.0,35,0,2,0.81,100.0,2,100.0,2,0,0,0.0,,0,,0,0,100.0,100.0,0.405
Client_sput_lvl_mean4,-0.048816,-1,up_tail,0.9,0.2288535395000001,,35,10.2,60.0,28,75.0,35,0,2,0.81,100.0,2,100.0,2,0,0,0.0,,0,,0,0,100.0,100.0,0.405
FII_sfut_rflow_sum5,-0.077267,-1,two_tail,0.925,0.02963630400000001,-0.042152290500000016,52,15.16,51.92,42,64.29,26,26,0,0.0,,0,,0,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.3
FII_sfut_rflow_sum5,-0.077267,-1,up_tail,0.925,0.02963630400000001,,26,7.58,69.23,25,72.0,26,0,0,0.0,,0,,0,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.3
dow_sum21,0.060095,1,up_tail,0.95,47.0,,21,6.12,42.86,15,60.0,21,0,0,0.0,,0,,0,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.3
dow_mean21,0.070452,1,up_tail,0.95,2.238095238095238,,21,6.12,42.86,15,60.0,21,0,0,0.0,,0,,0,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.3
px_dow_sum21,0.060095,1,up_tail,0.95,47.0,,21,6.12,42.86,15,60.0,21,0,0,0.0,,0,,0,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.3
px_dow_mean21,0.070452,1,up_tail,0.95,2.238095238095238,,21,6.12,42.86,15,60.0,21,0,0,0.0,,0,,0,0,1,0.6,100.0,1,100.0,1,0,100.0,100.0,0.3
FII_sfut_qflow_sum5,-0.058691,-1,two_tail,0.95,0.028067899999999972,-0.035908423999999994,34,9.91,50.0,29,58.62,17,17,1,0.4,100.0,1,100.0,0,1,0,0.0,,0,,0,0,100.0,100.0,0.2
FII_scall_lvl_mean21,0.128641,1,up_tail,0.925,-0.008570129119047618,,25,7.29,60.0,21,71.43,25,0,1,0.4,100.0,1,100.0,1,0,0,0.0,,0,,0,0,100.0,100.0,0.2
Pro_scall_lvl_sum7,-0.073109,-1,up_tail,0.6,1.5017874299999998,,137,39.94,47.45,108,60.19,137,0,1,0.4,100.0,1,100.0,1,0,0,0.0,,0,,0,0,100.0,100.0,0.2
Pro_scall_lvl_sum7,-0.073109,-1,up_tail,0.7,1.5399352000000002,,103,30.03,48.54,82,60.98,103,0,1,0.4,100.0,1,100.0,1,0,0,0.0,,0,,0,0,100.0,100.0,0.2
