feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
Client_sfut_lvl_z63,-0.050092,-1,up_tail,0.9,1.728840985578812,,33,9.62,42.42,23,60.87,33,0,30,12.1,66.67,28,71.43,30,0,20,12.05,60.0,20,60.0,20,0,60.0,60.0,12.075
DII_v2inst_lvl_chg21,0.129052,1,up_tail,0.925,0.013178922850000004,,25,7.29,60.0,20,75.0,25,0,37,14.92,59.46,34,64.71,37,0,31,18.67,61.29,28,67.86,31,0,59.46,64.71,16.795
DII_v2inst_lvl_chg21,0.129052,1,two_tail,0.925,0.013178922850000004,-0.018376523100000004,50,14.58,52.0,41,63.41,25,25,51,20.56,58.82,46,65.22,37,14,53,31.93,58.49,47,65.96,31,22,58.49,65.22,26.244999999999997
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.85,0.007030294124999989,,49,14.29,65.31,40,80.0,49,0,38,15.32,57.89,35,62.86,38,0,31,18.67,58.06,28,64.29,31,0,57.89,62.86,16.995
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.9,0.008064218700000004,,33,9.62,57.58,25,76.0,33,0,35,14.11,57.14,32,62.5,35,0,23,13.86,60.87,21,66.67,23,0,57.14,62.5,13.985
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.7,0.004657245000000001,,97,28.28,51.55,80,62.5,97,0,51,20.56,56.86,48,60.42,51,0,48,28.92,58.33,42,66.67,48,0,56.86,60.42,24.740000000000002
DII_optheavy_lvl_chg21,0.109279,1,two_tail,0.925,0.008663670925,-0.012956772300000006,50,14.58,54.0,40,67.5,25,25,44,17.74,56.82,40,62.5,32,12,34,20.48,58.82,32,62.5,21,13,56.82,62.5,19.11
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.8,0.0057645390999999995,,65,18.95,56.92,52,71.15,65,0,44,17.74,56.82,41,60.98,44,0,39,23.49,58.97,35,65.71,39,0,56.82,60.98,20.615
DII_optheavy_lvl_chg15,0.087038,1,two_tail,0.95,0.008695009425000002,-0.013290742424999993,34,9.91,50.0,27,62.96,17,17,30,12.1,56.67,28,60.71,22,8,21,12.65,61.9,20,65.0,15,6,56.67,60.71,12.375
DII_v2inst_lvl_chg21,0.129052,1,up_tail,0.9,0.011820228,,33,9.62,60.61,28,71.43,33,0,39,15.73,56.41,36,61.11,39,0,32,19.28,62.5,29,68.97,32,0,56.41,61.11,17.505000000000003
DII_optheavy_lvl_z63,0.115981,1,up_tail,0.75,1.348610380715089,,81,23.62,56.79,66,69.7,81,0,55,22.18,56.36,50,62.0,55,0,22,13.25,59.09,21,61.9,22,0,56.36,61.9,17.715
DII_ifut_lvl_chg21,0.102775,1,up_tail,0.85,0.04515560699999999,,49,14.29,57.14,41,68.29,49,0,64,25.81,56.25,57,63.16,64,0,41,24.7,58.54,37,64.86,41,0,56.25,63.16,25.255
DII_v3inst_lvl_chg21,0.119278,1,two_tail,0.95,0.027089337400000003,-0.039228727099999985,34,9.91,52.94,29,62.07,17,17,48,19.35,56.25,43,62.79,35,13,50,30.12,60.0,46,65.22,31,19,56.25,62.79,24.735
DII_optheavy_lvl_chg21,0.109279,1,two_tail,0.9,0.008064218700000004,-0.010631249650000004,66,19.24,50.0,52,63.46,33,33,48,19.35,56.25,43,62.79,35,13,44,26.51,56.82,39,64.1,23,21,56.25,62.79,22.93
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.925,0.008663670925,,25,7.29,60.0,20,75.0,25,0,32,12.9,56.25,29,62.07,32,0,21,12.65,57.14,19,63.16,21,0,56.25,62.07,12.775
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.75,0.0051909776250000025,,81,23.62,53.09,67,64.18,81,0,48,19.35,56.25,45,60.0,48,0,45,27.11,57.78,39,66.67,45,0,56.25,60.0,23.23
px_rv20_chg15,0.059954,1,up_tail,0.7,2.3864820959999995,,93,27.11,50.54,73,64.38,93,0,23,9.27,60.87,19,73.68,23,0,41,24.7,56.1,37,62.16,41,0,56.1,62.16,16.985
DII_v2inst_lvl_chg21,0.129052,1,two_tail,0.95,0.014118237599999998,-0.022361324899999993,34,9.91,58.82,31,64.52,17,17,47,18.95,61.7,44,65.91,36,11,43,25.9,55.81,39,61.54,29,14,55.81,61.54,22.424999999999997
px_rv20_z21,0.043604,1,up_tail,0.8,1.4296700587723536,,64,18.66,48.44,50,62.0,64,0,27,10.89,55.56,20,75.0,27,0,37,22.29,56.76,34,61.76,37,0,55.56,61.76,16.59
DII_v2inst_lvl_chg21,0.129052,1,up_tail,0.85,0.0104135923,,49,14.29,57.14,40,70.0,49,0,45,18.15,55.56,41,60.98,45,0,36,21.69,66.67,33,72.73,36,0,55.56,60.98,19.92
DII_index_qflow_sum21,0.04586,1,two_tail,0.95,0.012792947499999988,-0.018579064,34,9.91,50.0,27,62.96,17,17,33,13.31,60.61,29,68.97,23,10,27,16.27,55.56,25,60.0,27,0,55.56,60.0,14.79
DII_index_qflow_mean21,0.046345,1,two_tail,0.95,0.0006091879761904756,-0.0008847173333333333,34,9.91,50.0,27,62.96,17,17,33,13.31,60.61,29,68.97,23,10,27,16.27,55.56,25,60.0,27,0,55.56,60.0,14.79
DII_v2inst_qflow_sum21,0.04586,1,two_tail,0.95,0.012792956799999988,-0.0185790587,34,9.91,50.0,27,62.96,17,17,33,13.31,60.61,29,68.97,23,10,27,16.27,55.56,25,60.0,27,0,55.56,60.0,14.79
