left_feature,left_mode,left_quantile,right_feature,right_mode,right_quantile,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_val_confirm_exact_pct,min_val_confirm_sign_pct
Pro_futheavy_qflow_z21,up_tail,0.85,Pro_ifut_ds,up_tail,0.85,21,6.12,21,0,80.95,18,94.44,10,4.03,10,0,70.0,9,77.78,1,0.6,1,0,100.0,1,100.0,70.0,77.78
Pro_sput_lvl_chg7,up_tail,0.9,Pro_sput_lvl_chg7,up_tail,0.925,26,7.58,26,0,69.23,24,75.0,10,4.03,10,0,60.0,8,75.0,1,0.6,1,0,100.0,1,100.0,60.0,75.0
DII_scall_lvl_z21,up_tail,0.925,Pro_scall_volshare,up_tail,0.8,19,5.54,19,0,78.95,17,88.24,10,4.03,10,0,70.0,10,70.0,8,4.82,8,0,75.0,7,85.71,70.0,70.0
Client_v3inst_rflow_sum4,up_tail,0.75,DII_ifut_ds,up_tail,0.85,16,4.66,16,0,62.5,11,90.91,10,4.03,10,0,70.0,9,77.78,4,2.41,4,0,75.0,4,75.0,70.0,75.0
Client_v3inst_rflow_mean4,up_tail,0.75,DII_ifut_ds,up_tail,0.85,16,4.66,16,0,62.5,11,90.91,10,4.03,10,0,70.0,9,77.78,4,2.41,4,0,75.0,4,75.0,70.0,75.0
Client_v3inst_rflow_sum4,up_tail,0.75,pro_fii_agreement_v2inst_rflow_z63,up_tail,0.8,17,4.96,17,0,70.59,12,100.0,10,4.03,10,0,60.0,8,75.0,8,4.82,8,0,75.0,8,75.0,60.0,75.0
Client_v3inst_rflow_mean4,up_tail,0.75,pro_fii_agreement_v2inst_rflow_z63,up_tail,0.8,17,4.96,17,0,70.59,12,100.0,10,4.03,10,0,60.0,8,75.0,8,4.82,8,0,75.0,8,75.0,60.0,75.0
Client_index_qflow_sum4,up_tail,0.9,oc_near_call_doi_pct_sum15,up_tail,0.75,15,4.37,15,0,80.0,14,85.71,10,4.03,10,0,40.0,5,80.0,4,2.41,4,0,75.0,4,75.0,40.0,75.0
Client_v2inst_qflow_sum4,up_tail,0.9,oc_near_call_doi_pct_sum15,up_tail,0.75,15,4.37,15,0,80.0,14,85.71,10,4.03,10,0,40.0,5,80.0,4,2.41,4,0,75.0,4,75.0,40.0,75.0
smart_vs_client_v2inst_qflow_sum4,up_tail,0.9,oc_near_call_doi_pct_sum15,up_tail,0.75,15,4.37,15,0,73.33,13,84.62,10,4.03,10,0,40.0,5,80.0,4,2.41,4,0,75.0,4,75.0,40.0,75.0
smart_vs_client_v2inst_qflow_mean4,up_tail,0.9,oc_near_call_doi_pct_sum15,up_tail,0.75,15,4.37,15,0,73.33,13,84.62,10,4.03,10,0,40.0,5,80.0,4,2.41,4,0,75.0,4,75.0,40.0,75.0
DII_sput_qflow_z63,up_tail,0.7,Pro_ifut_ds,up_tail,0.85,15,4.37,15,0,66.67,12,83.33,10,4.03,10,0,70.0,10,70.0,7,4.22,7,0,71.43,7,71.43,70.0,70.0
Client_sput_rflow_z63,up_tail,0.925,Client_scall_dvol,up_tail,0.85,15,4.37,15,0,80.0,12,100.0,11,4.44,11,0,72.73,10,80.0,6,3.61,6,0,66.67,5,80.0,66.67,80.0
FII_ifut_volshare,up_tail,0.75,Pro_ifut_ds,up_tail,0.9,18,5.25,18,0,66.67,13,92.31,13,5.24,13,0,69.23,12,75.0,9,5.42,9,0,66.67,8,75.0,66.67,75.0
pro_fii_agreement_futheavy_rflow_chg4,up_tail,0.8,Pro_sput_volshare,up_tail,0.85,15,4.37,15,0,73.33,13,84.62,15,6.05,15,0,40.0,7,85.71,31,18.67,31,0,64.52,29,68.97,40.0,68.97
DII_iput_lvl_chg15,up_tail,0.8,px_ret2_chg4,up_tail,0.6,24,7.0,24,0,66.67,19,84.21,10,4.03,10,0,70.0,9,77.78,8,4.82,8,0,62.5,8,62.5,62.5,62.5
FII_scall_volshare,up_tail,0.8,FII_iput_dl,up_tail,0.9,17,4.96,17,0,82.35,15,93.33,10,4.03,10,0,70.0,10,70.0,13,7.83,13,0,61.54,10,80.0,61.54,70.0
px_rv20,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,18,5.25,18,0,72.22,14,92.86,15,6.05,15,0,73.33,15,73.33,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20_sum4,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,14,5.65,14,0,71.43,14,71.43,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20_mean4,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,14,5.65,14,0,71.43,14,71.43,15,9.04,15,0,60.0,13,69.23,60.0,69.23
pro_fii_spread_v2inst_rflow_z21,up_tail,0.85,pro_fii_agreement_optheavy_rflow_chg15,up_tail,0.8,19,5.54,19,0,63.16,15,80.0,11,4.44,11,0,54.55,8,75.0,10,6.02,10,0,60.0,9,66.67,54.55,66.67
Pro_sput_volshare,up_tail,0.8,v3_smart_money_conflict_z21,up_tail,0.8,20,5.83,20,0,85.0,18,94.44,13,5.24,13,0,61.54,10,80.0,25,15.06,25,0,60.0,24,62.5,60.0,62.5
Client_v3inst_rflow_sum4,up_tail,0.75,Client_scall_dl,up_tail,0.8,25,7.29,25,0,68.0,20,85.0,10,4.03,10,0,70.0,10,70.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
Client_v3inst_rflow_mean4,up_tail,0.75,Client_scall_dl,up_tail,0.8,25,7.29,25,0,68.0,20,85.0,10,4.03,10,0,70.0,10,70.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
Pro_icall_qflow_sum7,up_tail,0.9,Pro_sfut_qflow_chg4,up_tail,0.7,17,4.96,17,0,70.59,14,85.71,11,4.44,11,0,63.64,9,77.78,5,3.01,5,0,60.0,5,60.0,60.0,60.0
client_opposes_smart_optheavy_qflow_mean4,up_tail,0.9,client_opposes_smart_optheavy_rflow_mean4,up_tail,0.925,31,9.04,31,0,54.84,24,70.83,15,6.05,15,0,60.0,12,75.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
client_opposes_smart_optheavy_qflow_mean4,up_tail,0.9,client_opposes_smart_optheavy_rflow_mean4,up_tail,0.95,31,9.04,31,0,54.84,24,70.83,15,6.05,15,0,60.0,12,75.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
client_opposes_smart_optheavy_qflow_mean4,up_tail,0.925,client_opposes_smart_optheavy_rflow_mean4,up_tail,0.925,31,9.04,31,0,54.84,24,70.83,15,6.05,15,0,60.0,12,75.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
client_opposes_smart_optheavy_qflow_mean4,up_tail,0.925,client_opposes_smart_optheavy_rflow_mean4,up_tail,0.95,31,9.04,31,0,54.84,24,70.83,15,6.05,15,0,60.0,12,75.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
client_opposes_smart_optheavy_qflow_mean4,up_tail,0.95,client_opposes_smart_optheavy_rflow_mean4,up_tail,0.925,31,9.04,31,0,54.84,24,70.83,15,6.05,15,0,60.0,12,75.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
client_opposes_smart_optheavy_qflow_mean4,up_tail,0.95,client_opposes_smart_optheavy_rflow_mean4,up_tail,0.95,31,9.04,31,0,54.84,24,70.83,15,6.05,15,0,60.0,12,75.0,5,3.01,5,0,60.0,5,60.0,60.0,60.0
smart_vs_client_futheavy_qflow_sum4,up_tail,0.85,FII_v2inst_qflow_sum4,up_tail,0.85,43,12.54,43,0,60.47,34,76.47,17,6.85,17,0,35.29,8,75.0,5,3.01,5,0,60.0,5,60.0,35.29,60.0
pro_fii_agreement_futheavy_rflow_chg4,up_tail,0.8,Pro_sput_volshare,up_tail,0.8,20,5.83,20,0,65.0,16,81.25,19,7.66,19,0,52.63,11,90.91,37,22.29,37,0,59.46,34,64.71,52.63,64.71
FII_sput_volshare,up_tail,0.85,FII_iput_dl,up_tail,0.9,16,4.66,16,0,81.25,14,92.86,10,4.03,10,0,70.0,10,70.0,12,7.23,12,0,58.33,9,77.78,58.33,70.0
FII_sput_volshare,up_tail,0.8,Pro_ifut_ds,up_tail,0.9,15,4.37,15,0,66.67,13,76.92,10,4.03,10,0,60.0,8,75.0,12,7.23,12,0,58.33,10,70.0,58.33,70.0
v3_smart_money_conflict_z21,up_tail,0.8,px_ret2_chg4,up_tail,0.6,34,9.91,34,0,61.76,26,80.77,11,4.44,11,0,54.55,7,85.71,7,4.22,7,0,57.14,6,66.67,54.55,66.67
DII_optheavy_lvl_chg21,up_tail,0.85,px_ret2_chg4,up_tail,0.6,18,5.25,18,0,72.22,14,92.86,18,7.26,18,0,72.22,17,76.47,14,8.43,14,0,57.14,13,61.54,57.14,61.54
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.75,Client_ifut_dl,up_tail,0.8,16,4.66,16,0,62.5,12,83.33,12,4.84,12,0,66.67,10,80.0,9,5.42,9,0,55.56,6,83.33,55.56,80.0
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.8,Client_ifut_dl,up_tail,0.8,16,4.66,16,0,62.5,12,83.33,12,4.84,12,0,66.67,10,80.0,9,5.42,9,0,55.56,6,83.33,55.56,80.0
pro_fii_spread_v2inst_qflow_z21,up_tail,0.85,pro_fii_agreement_optheavy_rflow_chg15,up_tail,0.8,18,5.25,18,0,61.11,14,78.57,13,5.24,13,0,53.85,9,77.78,9,5.42,9,0,55.56,8,62.5,53.85,62.5
Pro_sput_volshare,up_tail,0.8,v3_smart_money_conflict_z21,up_tail,0.7,27,7.87,27,0,88.89,25,96.0,17,6.85,17,0,64.71,14,78.57,38,22.89,38,0,52.63,33,60.61,52.63,60.61
Pro_scall_ds,up_tail,0.8,Client_sput_dvol,up_tail,0.85,15,4.37,15,0,66.67,11,90.91,11,4.44,11,0,54.55,8,75.0,6,3.61,6,0,50.0,4,75.0,50.0,75.0
pro_fii_spread_v2inst_qflow_z21,up_tail,0.85,v3_smart_money_conflict_z21,up_tail,0.8,21,6.12,21,0,61.9,18,72.22,11,4.44,11,0,54.55,8,75.0,12,7.23,12,0,50.0,10,60.0,50.0,60.0
FII_sput_volshare,up_tail,0.85,pro_fii_agreement_optheavy_qflow_z63,up_tail,0.75,15,4.37,15,0,60.0,11,81.82,23,9.27,23,0,52.17,16,75.0,36,21.69,36,0,50.0,30,60.0,50.0,60.0
FII_sput_volshare,up_tail,0.85,pro_fii_agreement_optheavy_qflow_z63,up_tail,0.8,15,4.37,15,0,60.0,11,81.82,23,9.27,23,0,52.17,16,75.0,36,21.69,36,0,50.0,30,60.0,50.0,60.0
pro_fii_spread_v2inst_qflow_z21,up_tail,0.85,v3_smart_money_conflict_z21,up_tail,0.7,29,8.45,29,0,62.07,24,75.0,12,4.84,12,0,58.33,9,77.78,14,8.43,14,0,50.0,12,58.33,50.0,58.33
pro_fii_agreement_v3inst_rflow_z21,up_tail,0.8,Pro_sfut_qflow_chg4,up_tail,0.7,25,7.29,25,0,64.0,20,80.0,10,4.03,10,0,50.0,6,83.33,8,4.82,8,0,50.0,7,57.14,50.0,57.14
Client_ifut_rflow,up_tail,0.9,Client_ifut_lvl_chg4,up_tail,0.7,31,9.04,31,0,58.06,21,85.71,11,4.44,11,0,72.73,11,72.73,4,2.41,4,0,50.0,4,50.0,50.0,50.0
Client_ifut_rflow,up_tail,0.9,Client_v3inst_rflow_sum4,up_tail,0.75,29,8.45,29,0,55.17,19,84.21,10,4.03,10,0,70.0,10,70.0,8,4.82,8,0,50.0,8,50.0,50.0,50.0
Client_ifut_rflow,up_tail,0.9,Client_v3inst_rflow_mean4,up_tail,0.75,29,8.45,29,0,55.17,19,84.21,10,4.03,10,0,70.0,10,70.0,8,4.82,8,0,50.0,8,50.0,50.0,50.0
Pro_optheavy_qflow_posdays21,up_tail,0.85,Client_scall_dvol,up_tail,0.8,15,4.37,15,0,66.67,11,90.91,10,4.03,10,0,70.0,9,77.78,8,4.82,8,0,50.0,8,50.0,50.0,50.0
Client_v3inst_rflow_sum4,up_tail,0.75,Client_ifut_dl,up_tail,0.8,31,9.04,31,0,61.29,22,86.36,16,6.45,16,0,62.5,13,76.92,12,7.23,12,0,50.0,12,50.0,50.0,50.0
Client_v3inst_rflow_mean4,up_tail,0.75,Client_ifut_dl,up_tail,0.8,31,9.04,31,0,61.29,22,86.36,16,6.45,16,0,62.5,13,76.92,12,7.23,12,0,50.0,12,50.0,50.0,50.0
FII_futheavy_qflow,up_tail,0.85,Pro_sfut_qflow_chg4,up_tail,0.7,23,6.71,23,0,52.17,15,80.0,10,4.03,10,0,60.0,8,75.0,2,1.2,2,0,50.0,2,50.0,50.0,50.0
Client_sput_dvol,up_tail,0.8,Pro_iput_rflow_chg4,up_tail,0.8,29,8.45,29,0,51.72,20,75.0,16,6.45,16,0,56.25,12,75.0,4,2.41,4,0,50.0,4,50.0,50.0,50.0
Client_sput_dvol,up_tail,0.85,Pro_iput_rflow_chg4,up_tail,0.8,24,7.0,24,0,54.17,18,72.22,10,4.03,10,0,50.0,6,83.33,4,2.41,4,0,50.0,4,50.0,50.0,50.0
smart_vs_client_futheavy_qflow_sum4,up_tail,0.85,oc_near_call_doi_pct_sum15,up_tail,0.75,19,5.54,19,0,84.21,17,94.12,12,4.84,12,0,41.67,6,83.33,2,1.2,2,0,50.0,2,50.0,41.67,50.0
oc_oi_total_chg15,up_tail,0.85,Pro_sput_volshare,up_tail,0.75,24,7.0,24,0,75.0,22,81.82,10,4.03,10,0,70.0,10,70.0,29,17.47,29,0,48.28,25,56.0,48.28,56.0
FII_futheavy_qflow,up_tail,0.85,px_ret2_chg4,up_tail,0.6,31,9.04,31,0,51.61,20,80.0,14,5.65,14,0,71.43,13,76.92,13,7.83,13,0,46.15,12,50.0,46.15,50.0
Client_v3inst_rflow_sum4,up_tail,0.75,FII_v2inst_qflow_sum4,up_tail,0.85,47,13.7,47,0,63.83,38,78.95,22,8.87,22,0,45.45,12,83.33,13,7.83,13,0,46.15,13,46.15,45.45,46.15
Client_v3inst_rflow_mean4,up_tail,0.75,FII_v2inst_qflow_sum4,up_tail,0.85,47,13.7,47,0,63.83,38,78.95,22,8.87,22,0,45.45,12,83.33,13,7.83,13,0,46.15,13,46.15,45.45,46.15
smart_vs_client_v3inst_rflow_sum4,up_tail,0.75,FII_v2inst_qflow_sum4,up_tail,0.85,46,13.41,46,0,63.04,37,78.38,22,8.87,22,0,40.91,11,81.82,13,7.83,13,0,46.15,13,46.15,40.91,46.15
smart_vs_client_v2inst_rflow_posdays21,up_tail,0.9,FII_futheavy_lvl_sum21,up_tail,0.9,16,4.66,16,0,75.0,13,92.31,13,5.24,13,0,69.23,12,75.0,11,6.63,11,0,45.45,9,55.56,45.45,55.56
smart_vs_client_v2inst_rflow_posdays21,up_tail,0.925,FII_futheavy_lvl_sum21,up_tail,0.9,16,4.66,16,0,75.0,13,92.31,13,5.24,13,0,69.23,12,75.0,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_qflow_sum4,up_tail,0.925,Client_optheavy_rflow_sum4,up_tail,0.9,22,6.41,22,0,68.18,18,83.33,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_qflow_sum4,up_tail,0.925,Client_optheavy_rflow_mean4,up_tail,0.9,22,6.41,22,0,68.18,18,83.33,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_qflow_mean4,up_tail,0.925,Client_optheavy_rflow_sum4,up_tail,0.9,22,6.41,22,0,68.18,18,83.33,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_qflow_mean4,up_tail,0.925,Client_optheavy_rflow_mean4,up_tail,0.9,22,6.41,22,0,68.18,18,83.33,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_rflow_sum4,up_tail,0.9,smart_vs_client_optheavy_qflow_sum4,up_tail,0.925,23,6.71,23,0,65.22,19,78.95,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_rflow_sum4,up_tail,0.9,smart_vs_client_optheavy_qflow_mean4,up_tail,0.925,23,6.71,23,0,65.22,19,78.95,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_rflow_mean4,up_tail,0.9,smart_vs_client_optheavy_qflow_sum4,up_tail,0.925,23,6.71,23,0,65.22,19,78.95,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_rflow_mean4,up_tail,0.9,smart_vs_client_optheavy_qflow_mean4,up_tail,0.925,23,6.71,23,0,65.22,19,78.95,13,5.24,13,0,46.15,7,85.71,11,6.63,11,0,45.45,9,55.56,45.45,55.56
Client_optheavy_qflow_sum4,up_tail,0.925,px_ret2_chg4,up_tail,0.6,24,7.0,24,0,66.67,19,84.21,14,5.65,14,0,42.86,8,75.0,11,6.63,11,0,45.45,9,55.56,42.86,55.56
Client_optheavy_qflow_mean4,up_tail,0.925,px_ret2_chg4,up_tail,0.6,24,7.0,24,0,66.67,19,84.21,14,5.65,14,0,42.86,8,75.0,11,6.63,11,0,45.45,9,55.56,42.86,55.56
Client_futheavy_qflow_sum4,up_tail,0.8,FII_v2inst_qflow_sum4,up_tail,0.85,48,13.99,48,0,62.5,38,78.95,22,8.87,22,0,45.45,12,83.33,11,6.63,11,0,45.45,11,45.45,45.45,45.45
Client_optheavy_rflow_sum4,up_tail,0.9,px_ret2_chg4,up_tail,0.6,29,8.45,29,0,65.52,23,82.61,16,6.45,16,0,50.0,9,88.89,20,12.05,20,0,45.0,18,50.0,45.0,50.0
Client_optheavy_rflow_mean4,up_tail,0.9,px_ret2_chg4,up_tail,0.6,29,8.45,29,0,65.52,23,82.61,16,6.45,16,0,50.0,9,88.89,20,12.05,20,0,45.0,18,50.0,45.0,50.0
Client_index_qflow_sum4,up_tail,0.9,px_ret2_chg4,up_tail,0.6,29,8.45,29,0,62.07,22,81.82,11,4.44,11,0,54.55,7,85.71,9,5.42,9,0,44.44,7,57.14,44.44,57.14
Client_v2inst_qflow_sum4,up_tail,0.9,px_ret2_chg4,up_tail,0.6,29,8.45,29,0,62.07,22,81.82,11,4.44,11,0,54.55,7,85.71,9,5.42,9,0,44.44,7,57.14,44.44,57.14
Client_index_qflow_sum4,up_tail,0.925,Client_index_qflow_mean4,up_tail,0.925,26,7.58,26,0,69.23,20,90.0,10,4.03,10,0,50.0,6,83.33,9,5.42,9,0,44.44,7,57.14,44.44,57.14
Client_index_qflow_sum4,up_tail,0.925,Client_v2inst_qflow_sum4,up_tail,0.925,26,7.58,26,0,69.23,20,90.0,10,4.03,10,0,50.0,6,83.33,9,5.42,9,0,44.44,7,57.14,44.44,57.14
Client_index_qflow_sum4,up_tail,0.925,Client_v2inst_qflow_mean4,up_tail,0.925,26,7.58,26,0,69.23,20,90.0,10,4.03,10,0,50.0,6,83.33,9,5.42,9,0,44.44,7,57.14,44.44,57.14
