feature,mode,quantile,rho_train2010_22,train2010_22_n,train2010_22_coverage_pct,train2010_22_up_calls,train2010_22_down_calls,train2010_22_exact_pct,train2010_22_sign_n,train2010_22_sign_pct,val2023_24_n,val2023_24_coverage_pct,val2023_24_up_calls,val2023_24_down_calls,val2023_24_exact_pct,val2023_24_sign_n,val2023_24_sign_pct,confirm2025_26_n,confirm2025_26_coverage_pct,confirm2025_26_up_calls,confirm2025_26_down_calls,confirm2025_26_exact_pct,confirm2025_26_sign_n,confirm2025_26_sign_pct,min_val_confirm_exact_pct,min_val_confirm_sign_pct
range_mean15,up_tail,0.6,0.029197,1288,39.93,1288,0,48.45,1144,54.55,34,6.88,34,0,61.76,27,77.78,32,7.69,32,0,59.38,28,67.86,59.38,67.86
ret_z60,up_tail,0.95,0.082304,160,4.96,160,0,56.88,135,67.41,24,4.86,24,0,58.33,19,73.68,23,5.53,23,0,56.52,21,61.9,56.52,61.9
gap_sum3,up_tail,0.85,0.060479,484,15.0,484,0,48.76,413,57.14,39,7.89,39,0,61.54,32,75.0,36,8.65,36,0,55.56,30,66.67,55.56,66.67
gap_sum2,up_tail,0.9,0.070809,323,10.01,323,0,52.94,278,61.51,20,4.05,20,0,55.0,17,64.71,20,4.81,20,0,65.0,17,76.47,55.0,64.71
range_mean20,up_tail,0.55,0.025657,1448,44.89,1448,0,47.72,1286,53.73,42,8.5,42,0,57.14,33,72.73,40,9.62,40,0,55.0,36,61.11,55.0,61.11
range_mean20,up_tail,0.6,0.025657,1287,39.89,1287,0,47.94,1142,54.03,29,5.87,29,0,65.52,22,86.36,31,7.45,31,0,54.84,28,60.71,54.84,60.71
ret4,up_tail,0.85,0.029993,484,15.0,484,0,47.31,407,56.27,37,7.49,37,0,62.16,29,79.31,33,7.93,33,0,54.55,28,64.29,54.55,64.29
ret_z40,up_tail,0.95,0.080477,161,4.99,161,0,59.01,139,68.35,22,4.45,22,0,54.55,17,70.59,21,5.05,21,0,57.14,19,63.16,54.55,63.16
rv15,up_tail,0.7,0.030132,966,29.94,966,0,48.65,860,54.65,27,5.47,27,0,62.96,20,85.0,66,15.87,66,0,54.55,59,61.02,54.55,61.02
range_mean2,up_tail,0.8,0.023696,646,20.02,646,0,49.85,582,55.33,24,4.86,24,0,54.17,18,72.22,24,5.77,24,0,62.5,21,71.43,54.17,71.43
rv10,up_tail,0.7,0.03961,967,29.98,967,0,49.64,856,56.07,37,7.49,37,0,54.05,29,68.97,57,13.7,57,0,56.14,53,60.38,54.05,60.38
gap_sum5,up_tail,0.9,0.042944,323,10.01,323,0,45.51,272,54.04,26,5.26,26,0,53.85,21,66.67,21,5.05,21,0,57.14,17,70.59,53.85,66.67
rv7,up_tail,0.75,0.045101,806,24.98,806,0,49.13,716,55.31,26,5.26,26,0,53.85,20,70.0,46,11.06,46,0,56.52,42,61.9,53.85,61.9
rv15,up_tail,0.65,0.030132,1127,34.93,1127,0,49.51,1000,55.8,47,9.51,47,0,55.32,35,74.29,73,17.55,73,0,53.42,66,59.09,53.42,59.09
high_break10,up_tail,0.925,0.021083,242,7.5,242,0,51.65,191,65.45,34,6.88,34,0,52.94,26,69.23,20,4.81,20,0,55.0,18,61.11,52.94,61.11
rv20,up_tail,0.85,0.025148,483,14.97,483,0,49.69,436,55.05,20,4.05,20,0,70.0,16,87.5,36,8.65,36,0,52.78,30,63.33,52.78,63.33
rv15,up_tail,0.6,0.030132,1288,39.93,1288,0,48.6,1137,55.06,50,10.12,50,0,54.0,38,71.05,80,19.23,80,0,52.5,72,58.33,52.5,58.33
high_break2,up_tail,0.925,0.039709,242,7.5,242,0,58.26,196,71.94,21,4.25,21,0,52.38,15,73.33,20,4.81,20,0,60.0,18,66.67,52.38,66.67
gap_sum3,up_tail,0.9,0.060479,323,10.01,323,0,50.15,281,57.65,21,4.25,21,0,52.38,17,64.71,23,5.53,23,0,65.22,21,71.43,52.38,64.71
high_break7,up_tail,0.925,0.027013,242,7.5,242,0,52.07,193,65.28,33,6.68,33,0,60.61,26,76.92,21,5.05,21,0,52.38,18,61.11,52.38,61.11
rv10,up_tail,0.65,0.03961,1128,34.97,1128,0,49.38,997,55.87,44,8.91,44,0,52.27,34,67.65,67,16.11,67,0,56.72,61,62.3,52.27,62.3
range_mean7,up_tail,0.7,0.038249,967,29.98,967,0,48.09,870,53.45,23,4.66,23,0,52.17,16,75.0,33,7.93,33,0,63.64,32,65.62,52.17,65.62
ret_z30,up_tail,0.95,0.078319,161,4.99,161,0,57.76,138,67.39,23,4.66,23,0,52.17,17,70.59,22,5.29,22,0,59.09,20,65.0,52.17,65.0
high_break4,up_tail,0.925,0.032702,242,7.5,242,0,55.79,200,67.5,31,6.28,31,0,51.61,21,76.19,25,6.01,25,0,56.0,19,73.68,51.61,73.68
ret_z60,up_tail,0.925,0.082304,240,7.44,240,0,57.08,203,67.49,31,6.28,31,0,51.61,23,69.57,29,6.97,29,0,51.72,24,62.5,51.61,62.5
ma_dev3,up_tail,0.85,0.05973,484,15.0,484,0,52.69,398,64.07,32,6.48,32,0,53.12,23,73.91,35,8.41,35,0,51.43,30,60.0,51.43,60.0
ret_z40,two_tail,0.95,0.080477,322,9.98,161,161,48.76,276,56.88,45,9.11,22,23,53.33,37,64.86,35,8.41,21,14,51.43,32,56.25,51.43,56.25
gap_sum2,up_tail,0.85,0.070809,484,15.0,484,0,51.86,411,61.07,44,8.91,44,0,59.09,37,70.27,37,8.89,37,0,51.35,30,63.33,51.35,63.33
range_mean10,up_tail,0.6,0.033945,1289,39.96,1289,0,47.94,1144,54.02,43,8.7,43,0,51.16,33,66.67,47,11.3,47,0,59.57,43,65.12,51.16,65.12
gap_sum3,up_tail,0.8,0.060479,645,19.99,645,0,50.39,547,59.41,66,13.36,66,0,62.12,54,75.93,47,11.3,47,0,51.06,38,63.16,51.06,63.16
rv20,up_tail,0.8,0.025148,644,19.96,644,0,49.38,577,55.11,20,4.05,20,0,70.0,16,87.5,47,11.3,47,0,51.06,40,60.0,51.06,60.0
gap_sum3,up_tail,0.75,0.060479,807,25.02,807,0,48.7,670,58.66,95,19.23,95,0,54.74,73,71.23,57,13.7,57,0,50.88,45,64.44,50.88,64.44
rv20,up_tail,0.65,0.025148,1126,34.9,1126,0,47.78,1001,53.75,24,4.86,24,0,66.67,18,88.89,75,18.03,75,0,50.67,66,57.58,50.67,57.58
rv20,up_tail,0.6,0.025148,1287,39.89,1287,0,47.55,1143,53.54,38,7.69,38,0,63.16,28,85.71,85,20.43,85,0,50.59,75,57.33,50.59,57.33
high_break3,up_tail,0.925,0.039306,242,7.5,242,0,54.96,196,67.86,27,5.47,27,0,55.56,19,78.95,24,5.77,24,0,50.0,17,70.59,50.0,70.59
high_break2,up_tail,0.9,0.039709,323,10.01,323,0,55.73,264,68.18,36,7.29,36,0,50.0,24,75.0,28,6.73,28,0,50.0,21,66.67,50.0,66.67
high_break3,up_tail,0.9,0.039306,323,10.01,323,0,53.25,264,65.15,39,7.89,39,0,58.97,29,79.31,30,7.21,30,0,50.0,23,65.22,50.0,65.22
gap_sum2,up_tail,0.8,0.070809,645,19.99,645,0,50.85,548,59.85,70,14.17,70,0,52.86,55,67.27,44,10.58,44,0,50.0,34,64.71,50.0,64.71
gap_sum5,up_tail,0.8,0.042944,645,19.99,645,0,46.36,536,55.78,65,13.16,65,0,58.46,55,69.09,46,11.06,46,0,50.0,36,63.89,50.0,63.89
high_break5,up_tail,0.925,0.031877,242,7.5,242,0,53.72,198,65.66,29,5.87,29,0,51.72,21,71.43,20,4.81,20,0,50.0,16,62.5,50.0,62.5
range_mean7,up_tail,0.65,0.038249,1129,35.0,1129,0,48.18,1012,53.75,36,7.29,36,0,50.0,25,72.0,42,10.1,42,0,54.76,37,62.16,50.0,62.16
gap_sum15,up_tail,0.75,0.018576,807,25.02,807,0,48.7,676,58.14,76,15.38,76,0,53.95,58,70.69,32,7.69,32,0,50.0,26,61.54,50.0,61.54
rv10,up_tail,0.75,0.03961,806,24.98,806,0,50.62,718,56.82,28,5.67,28,0,50.0,21,66.67,53,12.74,53,0,56.6,49,61.22,50.0,61.22
rv7,up_tail,0.7,0.045101,967,29.98,967,0,49.22,854,55.74,36,7.29,36,0,50.0,30,60.0,54,12.98,54,0,53.7,48,60.42,50.0,60.0
ret_z30,up_tail,0.925,0.078319,241,7.47,241,0,56.85,202,67.82,35,7.09,35,0,54.29,27,70.37,30,7.21,30,0,50.0,25,60.0,50.0,60.0
