variant,max_bars,touch_pts,close_buffer_pts,institutional_only,calls,unique_signal_days,post_entry_hit_rate,post_entry_avg_signed_ret_pct,post_entry_median_signed_ret_pct,oc_direction_n,oc_direction_hit_rate,cc_direction_n,cc_direction_hit_rate,first15_direction_n,first15_direction_hit_rate,train_jul_aug_calls,confirm_sep_calls,train_jul_aug_post_hit_rate,confirm_sep_post_hit_rate
first1_bars_touch5_buf10_all,1,5.0,10.0,False,13,13,69.23076923076923,0.22988184816006235,0.20773312797829502,12,91.66666666666666,12,75.0,9,88.88888888888889,6,7,50.0,85.71428571428571
first1_bars_touch0_buf10_all,1,0.0,10.0,False,12,12,66.66666666666666,0.21107551840475677,0.18286117799274126,11,90.9090909090909,11,72.72727272727273,8,87.5,5,7,40.0,85.71428571428571
first1_bars_touch5_buf0_all,1,5.0,0.0,False,20,20,60.0,0.17821543529452105,0.11888357003112524,16,87.5,18,66.66666666666666,12,91.66666666666666,11,9,45.45454545454545,77.77777777777779
first2_bars_touch5_buf0_all,2,5.0,0.0,False,22,22,59.09090909090909,0.16772869162760107,0.1096529093319196,17,82.35294117647058,19,63.1578947368421,14,78.57142857142857,13,9,46.15384615384615,77.77777777777779
first4_bars_touch5_buf0_all,4,5.0,0.0,False,22,22,59.09090909090909,0.16772869162760107,0.1096529093319196,17,82.35294117647058,19,63.1578947368421,14,78.57142857142857,13,9,46.15384615384615,77.77777777777779
first8_bars_touch5_buf0_all,8,5.0,0.0,False,24,24,58.333333333333336,0.149052475173461,0.08979975594091094,18,83.33333333333334,21,61.904761904761905,14,78.57142857142857,15,9,46.666666666666664,77.77777777777779
first25_bars_touch5_buf0_all,25,5.0,0.0,False,24,24,58.333333333333336,0.149052475173461,0.08979975594091094,18,83.33333333333334,21,61.904761904761905,14,78.57142857142857,15,9,46.666666666666664,77.77777777777779
first1_bars_touch0_buf0_all,1,0.0,0.0,False,19,19,57.89473684210527,0.1636184684561417,0.07977791205506299,15,86.66666666666667,17,64.70588235294117,11,90.9090909090909,10,9,40.0,77.77777777777779
first2_bars_touch0_buf0_all,2,0.0,0.0,False,19,19,57.89473684210527,0.1636184684561417,0.07977791205506299,15,86.66666666666667,17,64.70588235294117,11,90.9090909090909,10,9,40.0,77.77777777777779
first8_bars_touch0_buf10_all,8,0.0,10.0,False,23,23,56.52173913043478,0.055574515113604055,0.08632457627642788,18,77.77777777777779,20,60.0,14,71.42857142857143,14,9,42.857142857142854,77.77777777777779
first8_bars_touch5_buf10_all,8,5.0,10.0,False,23,23,56.52173913043478,0.06048375431509514,0.08632457627642788,18,77.77777777777779,20,60.0,14,71.42857142857143,14,9,42.857142857142854,77.77777777777779
first4_bars_touch0_buf0_all,4,0.0,0.0,False,20,20,55.00000000000001,0.14925723866090984,0.06876303916764798,16,87.5,17,64.70588235294117,12,91.66666666666666,11,9,36.36363636363637,77.77777777777779
first4_bars_touch5_buf10_all,4,5.0,10.0,False,22,22,54.54545454545454,0.058695670428201334,0.08305124416574544,17,76.47058823529412,19,57.89473684210527,14,71.42857142857143,13,9,38.46153846153847,77.77777777777779
first8_bars_touch0_buf0_all,8,0.0,0.0,False,24,24,54.166666666666664,0.11096525644603288,0.06876303916764798,18,83.33333333333334,21,57.14285714285714,14,78.57142857142857,15,9,40.0,77.77777777777779
first25_bars_touch0_buf0_all,25,0.0,0.0,False,24,24,54.166666666666664,0.11096525644603288,0.06876303916764798,18,83.33333333333334,21,57.14285714285714,14,78.57142857142857,15,9,40.0,77.77777777777779
first25_bars_touch0_buf10_all,25,0.0,10.0,False,24,24,54.166666666666664,0.037480725001504574,0.08305124416574544,18,77.77777777777779,21,61.904761904761905,14,71.42857142857143,15,9,40.0,77.77777777777779
first25_bars_touch5_buf10_all,25,5.0,10.0,False,24,24,54.166666666666664,0.047045511176342404,0.08305124416574544,18,77.77777777777779,21,57.14285714285714,14,71.42857142857143,15,9,40.0,77.77777777777779
first4_bars_touch0_buf10_all,4,0.0,10.0,False,20,20,50.0,0.03619168219020984,0.04679356078968097,16,75.0,17,58.82352941176471,12,75.0,11,9,27.27272727272727,77.77777777777779
first1_bars_touch10_buf10_all,1,10.0,10.0,False,16,16,62.5,0.14979281079494397,0.1638409192105304,14,78.57142857142857,15,66.66666666666666,10,80.0,8,8,50.0,75.0
first1_bars_touch5_buf5_all,1,5.0,5.0,False,17,17,58.82352941176471,0.1764378531505149,0.15798922800718748,14,85.71428571428571,15,66.66666666666666,11,90.9090909090909,9,8,44.44444444444444,75.0
first1_bars_touch15_buf10_all,1,15.0,10.0,False,17,17,58.82352941176471,0.1417579336466893,0.15798922800718748,15,73.33333333333333,15,66.66666666666666,11,72.72727272727273,9,8,44.44444444444444,75.0
first1_bars_touch0_buf5_all,1,0.0,5.0,False,16,16,56.25,0.158992856145939,0.11888357003112524,13,84.61538461538461,14,64.28571428571429,10,90.0,8,8,37.5,75.0
first2_bars_touch5_buf10_all,2,5.0,10.0,False,21,21,52.38095238095239,0.04986411194576757,0.07977791205506299,16,75.0,18,55.55555555555556,14,71.42857142857143,13,8,38.46153846153847,75.0
first2_bars_touch0_buf10_all,2,0.0,10.0,False,18,18,50.0,0.025881446428921526,0.004722923569074347,14,78.57142857142857,16,56.25,11,81.81818181818183,10,8,30.0,75.0
first1_bars_touch10_buf0_inst,1,10.0,0.0,True,11,11,63.63636363636363,0.1503145967938211,0.16969261041387335,9,88.88888888888889,10,70.0,7,71.42857142857143,7,4,57.14285714285714,75.0
first1_bars_touch15_buf0_inst,1,15.0,0.0,True,11,11,63.63636363636363,0.1503145967938211,0.16969261041387335,9,88.88888888888889,10,70.0,7,71.42857142857143,7,4,57.14285714285714,75.0
first8_bars_touch10_buf0_inst,8,10.0,0.0,True,13,13,61.53846153846154,0.09561912188771365,0.15798922800718748,11,81.81818181818183,12,66.66666666666666,8,62.5,9,4,55.55555555555556,75.0
first1_bars_touch0_buf0_inst,1,0.0,0.0,True,10,10,60.0,0.14837679543181587,0.18286117799274126,9,88.88888888888889,9,66.66666666666666,6,83.33333333333334,6,4,50.0,75.0
first1_bars_touch5_buf0_inst,1,5.0,0.0,True,10,10,60.0,0.14837679543181587,0.18286117799274126,9,88.88888888888889,9,66.66666666666666,6,83.33333333333334,6,4,50.0,75.0
first2_bars_touch0_buf0_inst,2,0.0,0.0,True,10,10,60.0,0.14837679543181587,0.18286117799274126,9,88.88888888888889,9,66.66666666666666,6,83.33333333333334,6,4,50.0,75.0
first2_bars_touch5_buf0_inst,2,5.0,0.0,True,10,10,60.0,0.14837679543181587,0.18286117799274126,9,88.88888888888889,9,66.66666666666666,6,83.33333333333334,6,4,50.0,75.0
first4_bars_touch0_buf0_inst,4,0.0,0.0,True,10,10,60.0,0.14837679543181587,0.18286117799274126,9,88.88888888888889,9,66.66666666666666,6,83.33333333333334,6,4,50.0,75.0
first2_bars_touch10_buf0_inst,2,10.0,0.0,True,12,12,58.333333333333336,0.09526891539279324,0.1638409192105304,10,80.0,11,63.63636363636363,8,62.5,8,4,50.0,75.0
first2_bars_touch15_buf0_inst,2,15.0,0.0,True,12,12,58.333333333333336,0.09526891539279324,0.1638409192105304,10,80.0,11,63.63636363636363,8,62.5,8,4,50.0,75.0
first4_bars_touch10_buf0_inst,4,10.0,0.0,True,12,12,58.333333333333336,0.09526891539279324,0.1638409192105304,10,80.0,11,63.63636363636363,8,62.5,8,4,50.0,75.0
first8_bars_touch0_buf0_inst,8,0.0,0.0,True,12,12,58.333333333333336,0.10038304005344544,0.1289054139169732,11,81.81818181818183,11,63.63636363636363,7,71.42857142857143,8,4,50.0,75.0
