variant,calls,unique_signal_days,post_entry_hit_rate,post_entry_avg_signed_ret_pct,train_jul_aug_calls,confirm_sep_calls,train_jul_aug_post_hit_rate,confirm_sep_post_hit_rate
first25_bars_touch10_buf0_inst,3,3,66.66666666666666,0.13145483657597998,2,1,100.0,0.0
first25_bars_touch15_buf0_inst,3,3,66.66666666666666,0.11162073900102172,2,1,100.0,0.0
first25_bars_touch25_buf0_inst,3,3,66.66666666666666,0.126093819507229,2,1,100.0,0.0
first25_bars_touch0_buf0_inst,2,2,50.0,0.11233594965703324,1,1,100.0,0.0
first25_bars_touch0_buf5_inst,4,4,50.0,-0.04887939233774303,3,1,66.66666666666666,0.0
first25_bars_touch5_buf0_inst,2,2,50.0,0.11233594965703324,1,1,100.0,0.0
first25_bars_touch5_buf5_inst,4,4,50.0,-0.04887939233774303,3,1,66.66666666666666,0.0
first25_bars_touch10_buf5_inst,4,4,50.0,-0.0873963657629642,3,1,66.66666666666666,0.0
first25_bars_touch15_buf5_inst,4,4,50.0,-0.10227193894418288,3,1,66.66666666666666,0.0
first25_bars_touch25_buf5_inst,4,4,50.0,-0.09141712856452741,3,1,66.66666666666666,0.0
first25_bars_touch0_buf10_inst,5,5,40.0,-0.18136092828026168,4,1,50.0,0.0
first25_bars_touch5_buf10_inst,5,5,40.0,-0.18136092828026168,4,1,50.0,0.0
first25_bars_touch10_buf10_inst,5,5,40.0,-0.20437687366700988,4,1,50.0,0.0
first25_bars_touch15_buf10_inst,5,5,40.0,-0.2162773322119848,4,1,50.0,0.0
first25_bars_touch25_buf10_inst,5,5,40.0,-0.20759348390826043,4,1,50.0,0.0
first1_bars_touch0_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch0_buf5_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch0_buf10_all,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch0_buf10_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch5_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch5_buf5_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch5_buf10_all,2,2,100.0,0.40380738779657493,2,0,100.0,
first1_bars_touch5_buf10_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first1_bars_touch10_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch10_buf5_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch10_buf10_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch15_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch15_buf5_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch15_buf10_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch25_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch25_buf5_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch25_buf10_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first2_bars_touch0_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first2_bars_touch5_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first2_bars_touch10_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first2_bars_touch15_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first2_bars_touch25_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first4_bars_touch0_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first4_bars_touch5_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first4_bars_touch10_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first4_bars_touch15_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first4_bars_touch25_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first8_bars_touch0_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first8_bars_touch5_buf0_inst,1,1,100.0,0.3520569703694203,1,0,100.0,
first8_bars_touch10_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first8_bars_touch15_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first8_bars_touch25_buf0_inst,2,2,100.0,0.26087479039164685,2,0,100.0,
first1_bars_touch10_buf5_all,4,4,75.0,0.24120712828691804,4,0,75.0,
first1_bars_touch10_buf10_all,4,4,75.0,0.09710587336496201,4,0,75.0,
first1_bars_touch15_buf5_all,4,4,75.0,0.24120712828691804,4,0,75.0,
first1_bars_touch15_buf10_all,4,4,75.0,0.09710587336496201,4,0,75.0,
first1_bars_touch5_buf5_all,3,3,66.66666666666666,0.24358659663744486,3,0,66.66666666666666,
first2_bars_touch10_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first2_bars_touch15_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first2_bars_touch25_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first4_bars_touch10_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first4_bars_touch15_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first4_bars_touch25_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first8_bars_touch0_buf5_inst,3,3,66.66666666666666,-0.022710832765206097,3,0,66.66666666666666,
first8_bars_touch5_buf5_inst,3,3,66.66666666666666,-0.022710832765206097,3,0,66.66666666666666,
first8_bars_touch10_buf0_all,6,6,66.66666666666666,0.20964064987914446,6,0,66.66666666666666,
first8_bars_touch10_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first8_bars_touch15_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first8_bars_touch25_buf5_inst,3,3,66.66666666666666,-0.07406679733216766,3,0,66.66666666666666,
first25_bars_touch10_buf0_all,6,6,66.66666666666666,0.20964064987914446,6,0,66.66666666666666,
first1_bars_touch10_buf0_all,5,5,60.0,0.16780473748905814,5,0,60.0,
first1_bars_touch15_buf0_all,5,5,60.0,0.16780473748905814,5,0,60.0,
first2_bars_touch5_buf0_all,5,5,60.0,0.14889657416374585,5,0,60.0,
first2_bars_touch10_buf0_all,5,5,60.0,0.16780473748905814,5,0,60.0,
first2_bars_touch15_buf0_all,5,5,60.0,0.16780473748905814,5,0,60.0,
first4_bars_touch5_buf0_all,5,5,60.0,0.14889657416374585,5,0,60.0,
first4_bars_touch10_buf0_all,5,5,60.0,0.16780473748905814,5,0,60.0,
first4_bars_touch15_buf0_all,5,5,60.0,0.16780473748905814,5,0,60.0,
first8_bars_touch5_buf0_all,5,5,60.0,0.14889657416374585,5,0,60.0,
first25_bars_touch5_buf0_all,5,5,60.0,0.14889657416374585,5,0,60.0,
first8_bars_touch10_buf5_all,7,7,57.14285714285714,0.06379270981484879,7,0,57.14285714285714,
first8_bars_touch15_buf0_all,7,7,57.14285714285714,0.17626386574825573,7,0,57.14285714285714,
first25_bars_touch10_buf5_all,7,7,57.14285714285714,0.06379270981484879,7,0,57.14285714285714,
first25_bars_touch15_buf0_all,7,7,57.14285714285714,0.17626386574825573,7,0,57.14285714285714,
first8_bars_touch10_buf10_all,9,9,55.55555555555556,-0.01291945427158382,9,0,55.55555555555556,
first25_bars_touch10_buf10_all,9,9,55.55555555555556,-0.01291945427158382,9,0,55.55555555555556,
first1_bars_touch0_buf5_all,2,2,50.0,0.13760099234430248,2,0,50.0,
first1_bars_touch5_buf0_all,4,4,50.0,0.15123874105248825,4,0,50.0,
