family,interval_min,signal_date,target_date,year,rule,mode,direction,v3_direction,entry_after_bars,entry_timestamp,entry_price,first_window_ret_pct,v3_composite,v3_confidence,target_pct,stop_pct,exit_type,exit_bar_index,exit_timestamp,exit_price,pnl_pts,win,ambiguous,target_px,stop_px,target_pts,stop_pts
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_any_conf0_abs0_after10m,any,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.1,0.1,TARGET,1,2023-08-09 09:25:00,19525.9545,19.5455,True,False,19525.9545,19565.0455,19.5455,19.5455
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_any_conf0_abs0_after10m,any,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.15,0.15,TARGET,1,2023-08-09 09:25:00,19516.18175,29.31825,True,False,19516.18175,19574.81825,29.31825,29.31825
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_any_conf0_abs0_after10m,any,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.2,0.2,TARGET,2,2023-08-09 09:35:00,19506.409,39.091,True,False,19506.409,19584.591,39.091,39.091
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_any_conf0_abs0_after10m,any,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.3,0.3,TARGET,6,2023-08-09 10:15:00,19486.8635,58.6365,True,False,19486.8635,19604.1365,58.6365,58.6365
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_align_first10m_gt0.03_conf0_abs0,align,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.1,0.1,TARGET,1,2023-08-09 09:25:00,19525.9545,19.5455,True,False,19525.9545,19565.0455,19.5455,19.5455
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_align_first10m_gt0.03_conf0_abs0,align,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.15,0.15,TARGET,1,2023-08-09 09:25:00,19516.18175,29.31825,True,False,19516.18175,19574.81825,29.31825,29.31825
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_align_first10m_gt0.03_conf0_abs0,align,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.2,0.2,TARGET,2,2023-08-09 09:35:00,19506.409,39.091,True,False,19506.409,19584.591,39.091,39.091
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_align_first10m_gt0.03_conf0_abs0,align,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.3,0.3,TARGET,6,2023-08-09 10:15:00,19486.8635,58.6365,True,False,19486.8635,19604.1365,58.6365,58.6365
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_align_first10m_gt0.05_conf0_abs0,align,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.1,0.1,TARGET,1,2023-08-09 09:25:00,19525.9545,19.5455,True,False,19525.9545,19565.0455,19.5455,19.5455
v3_oi_intraday_confirmation,10,2023-08-08,2023-08-09,2023,v3_align_first10m_gt0.05_conf0_abs0,align,DOWN,DOWN,1,2023-08-09 09:15:00,19545.5,-0.1700819253478215,-0.094,20.8,0.15,0.15,TARGET,1,2023-08-09 09:25:00,19516.18175,29.31825,True,False,19516.18175,19574.81825,29.31825,29.31825
